page,item,before,after,source,status
luxury-travel/indian-ocean/mauritius,Le Saint Géran tenure,"Six decades of legend, beautifully renewed","Five decades of legend, beautifully renewed",Opened 1975 by Sol Kerzner (https://www.the50.com/discovery/Establishments/Mauritius/Poste-de-Flacq/OneandOnly-Le-Saint-G%C3%A9ran.html; https://en.wikipedia.org/wiki/Sol_Kerzner) = 51 years in 2026,fixed
luxury-travel/indian-ocean/seychelles,Mauritius combination flight time (same error as Mauritius page),Ninety minutes apart —,Under three hours apart —,As Mauritius item: nonstop SEZ–MRU ~2h35–2h50,fixed
luxury-travel/indian-ocean/seychelles,Hero: granite age,"Billion-year-old granite, jungle down to the tideline…","Granite 750 million years in the making, jungle down to the tideline…","Inner-island granites dated c.748–755 Ma, late Precambrian (https://en.wikipedia.org/wiki/Geology_of_Seychelles; https://www.sciencedirect.com/science/article/abs/pii/S0301926819304607)",fixed
luxury-travel/north-america/florida,The Breakers tenure (intro body),an institution with 140 years of practice.,an institution with 130 years of practice.,https://www.thebreakers.com/about/look-back/ (founded 1896 as the Palm Beach Inn = 130 years in 2026; page's own card says 'since 1896'),fixed
luxury-travel/north-america/california,'Four hotels' snippet,(meta/og/JSON-LD already name only Post Ranch Inn and Auberge du Soleil; no 'four hotels' text remains),(unchanged),"Internal check of meta, og, JSON-LD and body",no-change-needed
luxury-travel/north-america/california,"'Pink palace' (LA hotel not offered) — og:description, hero, itinerary","og: Big Sur’s cliff, Napa’s hillside and the pink palace — California, tailored. / hero: …and the pink palace under the palms. / itin: The pink palace in Los Angeles, two nights at Big Sur…","og: Big Sur’s cliff and Napa’s hillside — California, tailored. / hero: …and Los Angeles under the palms. / itin: Los Angeles to start, two nights at Big Sur…",Internal: only Post Ranch Inn and Auberge du Soleil are listed; The Beverly Hills Hotel reference removed,fixed
luxury-travel/north-america/california,Big Sur drive direction (band vs itinerary/panel 'coast northbound'),"Drive Big Sur north to south — the ocean sits on your side of the road, and every pull-out faces the light.","Drive Big Sur northbound from Los Angeles — the Pacific stays on your left the whole way, and every pull-out faces the light.",Internal: itinerary (LA → Big Sur → Napa) and essentials panel ('coast northbound') both run north; heading north on Highway 1 the ocean is on the driver's left,fixed
luxury-travel/north-america/new-england,Wequassett acreage (facilities list vs ht-pos '27 acres'),twenty-eight acres,twenty-seven acres,https://wequassett.com/about/ ('27 acres of pristine waterfront on Pleasant Bay'),fixed
luxury-travel/north-america/new-england,og description 'four hotels',"(og now reads 'Boston, the shingled shore and October’s colour — hand-picked addresses.'; no count remains)",(unchanged),"Internal check: 2 hotels (Ocean House, Wequassett); no hotel count in meta/og",no-change-needed
luxury-travel/north-america/arizona,Amangiri presented as Arizona property?,"All mentions (meta, JSON-LD, intro, card location, itinerary, Getting There, FAQ) already say Canyon Point, southern Utah / extension across the state line",(unchanged),"https://www.aman.com/resorts/amangiri (Canyon Point, Utah)",no-change-needed
luxury-travel/europe/italy,Verdura coastline (facilities vs ht-pos 'nearly two kilometres'),"Three golf courses, four-kilometre private coast, Verdura Spa","Three golf courses, nearly two kilometres of private coast, Verdura Spa",https://www.roccofortehotels.com/hotels-and-resorts/verdura-resort/ (230 hectares and 1.8 km of private coastline),fixed
luxury-travel/europe/italy,Forte Village hotel count (why-selected vs facilities 'Eight hotels'),a dozen hotels in one estate,eight hotels in one estate,"https://www.fortevillageresort.com/hotels-suites/ (Forte Village: 8 hotels, plus villas and suites)",fixed
luxury-travel/europe/france,George V Michelin stars (ht-line vs facilities),"ht-line: three restaurants, three stars between them / facilities: Three restaurants with five Michelin stars","ht-line: three restaurants, six stars between them / facilities: Three restaurants with six Michelin stars","https://press.fourseasons.com/paris/hotel-news/2026/six-michelin-stars/ (Michelin Guide France 2026: Le Cinq 3, L'Orangerie 2, Le George 1 = 6)",fixed
luxury-travel/europe/france,La Réserve Paris room count,A duke’s mansion turned twenty-six-suite hideaway.,A duke’s mansion turned forty-room hideaway.,https://www.lareserve-paris.com/en/luxury-accommodations/ ('The 25 suites and 15 rooms at La Réserve Paris'),fixed
luxury-travel/europe/greece,Corfu–Porto Montenegro 'short coastal drive' (Albania lies between),pair Corfu with Porto Montenegro via a short coastal drive north.,"pair Corfu with Porto Montenegro further up the Adriatic, and we arrange the connection.","Geography: the Corfu–Tivat route by road requires a ferry to the mainland and a long drive through Albania; no verified short connection, so the specific claim was removed rather than replaced",softened
luxury-travel/europe/montenegro,Lazure building history (facilities vs ht-line '18th-century lazaretto'),"19th-century arsenal building, Meljine beachfront","18th-century lazaretto building, Meljine beachfront",https://www.lazure.me/lazure-hotel-marina-history?lng=en (lazaret at Meljine built 1729–1732 as a quarantine station; no arsenal),fixed
luxury-travel/europe/montenegro,SIRO facilities list 'Portonovi marina',"recovery labs, rooftop pool, Portonovi marina","recovery labs, rooftop pool, Porto Montenegro marina","https://portomontenegro.com/siro-boka-place-reservations/ (SIRO Boka Place is at Porto Montenegro, Tivat; 20m rooftop pool); page's own ht-pos already says Porto Montenegro marina, Tivat",fixed
luxury-travel/europe,SIRO naming vs Montenegro page,dest-desc/dest-hotels: SIRO Porto Montenegro (matches Montenegro page card name); mega-menu: SIRO Boka Place,(name unchanged — already matches the Montenegro page),https://portomontenegro.com/siro-boka-place-reservations/ — the hotel's official name is SIRO Boka Place (at Porto Montenegro). Client to decide whether to adopt 'SIRO Boka Place' on the Montenegro card + Europe page (the menu already uses it),client-to-confirm
luxury-travel/europe,Montenegro card hotel list (leftovers not on Montenegro page),One&amp;Only Portonovi · SIRO Porto Montenegro · Lazure Hotel &amp; Marina · Regent Porto Montenegro · The Chedi Luštica Bay · and one more,One&amp;Only Portonovi · SIRO Porto Montenegro · Lazure Hotel &amp; Marina,Internal: the Montenegro page lists exactly these three hotels,fixed
luxury-travel/europe,Lazure location on Montenegro card,Lazure sits in Herceg Novi old town.,"Lazure sits on the water at Meljine, just outside Herceg Novi.","https://www.lazure.me/lazure-hotel-marina-history?lng=en (Meljine, near Herceg Novi); Montenegro page ht-pos says 'Meljine, near Herceg Novi'",fixed
luxury-travel/europe/croatia,Lede split vs hotels listed,"Two on Dubrovnik’s waterline, two on Hvar —","Three on Dubrovnik’s waterline, one on Hvar —","Internal: Excelsior (Ploče), Villa Dubrovnik (Sv. Jakov), Hotel Bellevue (Miramare Bay, Dubrovnik — https://www.adriaticluxuryhotels.com/hotel-bellevue-dubrovnik/) and Maslina (Stari Grad, Hvar)",fixed
luxury-travel/europe/portugal,Vila Vita Parc grounds (22 acres vs Portuguese GP page '22-hectare'),The Algarve benchmark — 22 acres of clifftop gardens.,The Algarve benchmark — 22 hectares of clifftop gardens.,"https://vilavitaparc.com/en/about-us (set in 22 hectares of sub-tropical gardens, c.54 acres)",fixed
formula-one/portuguese-grand-prix,Vila Vita Parc grounds,A 22-hectare clifftop estate…,(unchanged),https://vilavitaparc.com/en/about-us — the GP page was already correct; file not edited,no-change-needed
luxury-travel/caribbean/grenada,Hotel count (og:description + intro),"three hand-picked addresses / three addresses, each family-scaled","two hand-picked addresses / two addresses, each family-scaled","Internal: page lists two hotels (Silversands Grand Anse, Spice Island Beach Resort)",fixed
luxury-travel/caribbean/mexico,'Chablé Yucatán' in intro (hotel listed is Chablé Maroma),Chablé Yucatán sets a spa in a hacienda around its own cenote;,Chablé Maroma brings Maya-rooted wellness to the beach at Punta Maroma;,"https://maroma.chablehotels.com/ ; Chablé Maroma is at Punta Maroma, Riviera Maya (Chablé Yucatán is a separate inland hotel not offered on the page)",fixed
luxury-travel/caribbean/mexico,"Los Cabos framing (only Pacific hotel is One&Only Mandarina, Riviera Nayarit) — title, meta + JSON-LD description, hero, FAQ (+JSON-LD), when-to-travel lede, essentials panel, Getting There, North America combo","title '…Maya Coast &amp; Cabo'; desc '…Riviera Maya to Los Cabos… Beach, reef and desert'; hero 'desert-meets-Pacific drama at Los Cabos'; FAQ 'Riviera Maya or Los Cabos? … Cabo for desert drama, whales and glamour'; lede 'Cabo adds grey whales January to March'; panel 'Whales (Cabo) January – March'; 'Los Cabos and Puerto Vallarta connect over the US or Mexico City'; combo 'Cabo pairs neatly with California’s coast and desert'","title '…Maya Coast &amp; Pacific'; desc '…Riviera Maya to the Riviera Nayarit… Beach, reef and jungle'; hero 'jungle-meets-Pacific drama on the Riviera Nayarit'; FAQ 'Riviera Maya or the Pacific coast? … the Riviera Nayarit for jungle, surf and winter whales'; lede 'the Pacific adds humpback whales December to March'; panel 'Whales (Pacific) December – March'; 'Puerto Vallarta, under an hour from Mandarina, is usually reached over the US or Mexico City'; combo 'the Pacific side pairs neatly with California’s coast and desert'",https://www.oneandonlyresorts.com/mandarina (Riviera Nayarit); ~45 min / under an hour from Puerto Vallarta airport and whale season Dec–Mar per https://www.caribtours.co.uk/regions/mexico/baja-california-riviera-nayarit/oneonly-mandarina-riviera-nayarit/ and https://www.kidandcoe.com/destinations/riviera-nayarit/one-only-mandarina,fixed
luxury-travel/africa/south-africa,Ellerman House room count (ht-line 'eleven rooms' vs facilities '13 rooms only'),"ht-line: A cliffside mansion of South African art, eleven rooms. / facilities: 13 rooms only","ht-line: A cliffside mansion of South African art, thirteen rooms and suites. / facilities: 13 rooms and suites only",https://www.ellerman.co.za/ (search of ellerman.co.za: the House has 13 bedrooms and suites — 11 rooms + 2 suites — plus two separate villas),fixed
luxury-travel/africa/south-africa,Cape Town tier count,"The city under the mountain — four addresses, four temperaments.","The city under the mountain — three addresses, three temperaments.","Internal: Cape Town tier lists Ellerman House, One&Only Cape Town, Cape Grace",fixed
luxury-travel/africa/south-africa,Hotel count in meta description + JSON-LD,"Four areas, ten addresses, one route.","Four areas, eight addresses, one route.","Internal: 8 hotels listed (3 Cape Town, 1 Winelands, 2 Whale Coast, 2 Safari)",fixed
luxury-travel/africa/south-africa,Test Match Route: Wanderers placed in 'the western legs',"a Test at Newlands or the Wanderers folded into the western legs,","a Test at Newlands folded into the Cape legs, or the Wanderers timed around the safari connection through Johannesburg,","The Wanderers is in Johannesburg (Highveld); Newlands is Cape Town. Site's own England tour page lists Tests at the Wanderers, Centurion and Newlands",fixed
luxury-travel/africa,JSON-LD TouristDestination description destination count,six destinations from the Sabi Sand and the Okavango Delta to the Masai Mara,"three destinations — South Africa, Kenya and Botswana — from the Sabi Sand and the Okavango Delta to the Masai Mara","Internal: page cards, ItemList JSON-LD, includesAttraction, enquiry form and panel all list three destinations",fixed
luxury-travel/africa,Region figcaption (Volcanoes / four countries — Rwanda leftover),"The Sabi Sand, the Okavango, the Mara and the Volcanoes &mdash; four countries, one routing.","The Sabi Sand, the Okavango and the Mara &mdash; three countries, one routing.",Internal: Rwanda (Volcanoes NP) is not offered. NOTE: the image above this caption (assets/img/luxury/africa/index/africa-about-01.jpg) is a Moroccan riad interior — image left untouched per image policy; needs replacing,fixed
luxury-travel/africa,Region intro: Zanzibar (Tanzania leftover),"Cape Town, Zanzibar, Diani, the Winelands","Cape Town, the Winelands, Diani",Internal: Tanzania not offered; Diani is covered on the Kenya page (Alfajiri Villas),fixed
luxury-travel/africa,FAQ 'Can we add a beach or a city to a safari?' (FAQ + JSON-LD),"Zanzibar or Diani after east Africa,","Diani after Kenya,",Internal: Tanzania/Zanzibar not offered,fixed
luxury-travel/africa,South Africa card hotel list tail,Delaire Graff Estate &middot; and five more,Delaire Graff Estate &middot; and three more,Internal: South Africa page lists 8 hotels (5 named + 3),fixed
luxury-travel/africa,When to Travel: Serengeti calving (Tanzania leftover),"November to March brings dramatic skies, newborn game, the calving on the southern Serengeti and materially lower rates.","November to March brings dramatic skies, newborn game and materially lower rates.",Internal: Tanzania not offered,fixed
luxury-travel/africa,"Month table leftovers (Jan/Feb Ndutu + Serengeti calving, Oct gorilla trekking, Nov calving)","Jan: Ndutu calving, Cape Town / Feb: Peak calving, southern Serengeti / Oct: Big game, gorilla trekking / Nov: Value, birding, calving begins","Jan: Cape Town, the Winelands / Feb: Cape Town, quieter camps / Oct: Big game, late dry season / Nov: Value, birding, newborn game","Internal: Tanzania and Rwanda not offered; replacements restate facts already on the page (Cape Town Dec–Mar peak, green season quieter/lower rates, June–October dry season, 'newborn game' Nov–Mar)",fixed
luxury-travel/africa,Month table March 'The Cape green season',The Cape green season,Cape Town late summer,"Internal: the page itself says Cape Town is best December to March (southern-hemisphere summer); the Cape's rainy 'green' season is its winter, not March",fixed
luxury-travel/africa,Getting There: Kigali and Marrakech flights,"Nairobi is eight and a half hours direct, Kigali around nine via Nairobi or Doha, and Marrakech three and a half.",Nairobi is eight and a half hours direct.,Internal: Rwanda and Morocco not offered,fixed
luxury-travel/africa,"At a glance panel leftovers (flight range, RwandAir, time zones, currencies)",3.5 &ndash; 12 hours / BA · Virgin · Kenya Airways · RwandAir / GMT +1 to +3 / ZAR · KES · BWP · RWF · MAD · TZS,8.5 &ndash; 12 hours / BA · Virgin · Kenya Airways / GMT +2 to +3 / ZAR · KES · BWP,"Internal: 3.5h and GMT+1 were Marrakech; RWF/MAD/TZS were Rwanda/Morocco/Tanzania. South Africa and Botswana are GMT+2, Kenya GMT+3; flight range from the page's own 8.5h (Nairobi) and 11–12h (Johannesburg/Cape Town)",fixed
luxury-travel/africa,FAQ 'Do you arrange flights and internal transfers?' Kigali (FAQ + JSON-LD),"into Johannesburg, Cape Town, Nairobi and Kigali","into Johannesburg, Cape Town and Nairobi",Internal: Rwanda not offered,fixed
luxury-travel/africa,Why-book block: gorilla permits,"including the light aircraft legs, the gorilla permits, the baggage limits and the beach extension at the end.","including the light aircraft legs, the baggage limits and the beach extension at the end.",Internal: gorilla trekking (Rwanda/Uganda) not offered,fixed
luxury-travel/africa,Visa line (kept) — Kenya eTA,eTA needed for Kenya · visa-free elsewhere,(unchanged),https://www.gov.uk/foreign-travel-advice/kenya/entry-requirements (British citizens must apply online for an eTA before travel),no-change-needed
luxury-travel/africa,Featured Camps section is empty,'Camps we recommend' heading + lede with an empty feat-grid (no cards),(unchanged — cards need images; out of scope for a copy fix),Internal observation,client-to-confirm
