page,location,before,after,reason
"formula-one/dutch-grand-prix/index.html","FAQ answer (HTML + JSON-LD): packing","Late August on the Dutch coast: 17–22°C, sea breeze, rain always possible. Layers, waterproof shell, sunscreen for the dunes.","Late August on the Dutch coast is typically 17–22°C with a sea breeze, and rain is always possible. Pack layers, a waterproof shell and sunscreen for the dunes.","Note-style fragments"
"formula-one/dutch-grand-prix/index.html","Climate card note","17–22°C, sea breeze, rain always possible. Layers, waterproof shell, sunscreen for the dunes.","Expect a sea breeze, and rain is always possible. Pack layers, a waterproof shell and sunscreen for the dunes.","Note-style fragments; repeated the temperature shown above"
"formula-one/dutch-grand-prix/index.html","Package card: Grandstand Experience","Alternative: Arena Grandstands (Turn 12) for pure party atmosphere.","For pure party atmosphere, the Arena Grandstands at Turn 12 are the alternative.","Note-style fragment"
"formula-one/dutch-grand-prix/index.html","Package card: Hospitality Experience","Corporate Lounge sits one step above with finer dining.","The Corporate Lounge sits one step above, with finer dining.","Clipped phrasing"
"formula-one/dutch-grand-prix/index.html","Package card: Premium Zandvoort hotel row","<dd>Entry 5* Amsterdam</dd>","<dd>5* Amsterdam hotel</dd>","Internal shorthand ('Entry 5*')"
"formula-one/dutch-grand-prix/index.html","Experience card body: Martin Garrix","<p class=""au-b"">the send-off party for the final edition</p>","<p class=""au-b"">The send-off party for the final Dutch Grand Prix, at the circuit itself.</p>","Brief fragment rewritten as a sentence"
"formula-one/dutch-grand-prix/index.html","Experience card body: Canal-side Amsterdam","<p class=""au-b"">Rijksmuseum, Van Gogh, Jordaan district dining</p>","<p class=""au-b"">The Rijksmuseum and the Van Gogh Museum by day, then dinner in the Jordaan.</p>","Brief fragment (list of notes) rewritten as a sentence"
"formula-one/dutch-grand-prix/index.html","Experience card body: Beach clubs","<p class=""au-b"">pre- and post-race parties steps from the track</p>","<p class=""au-b"">Pre- and post-race parties on the beach, a few steps from the track.</p>","Brief fragment rewritten as a sentence"
"formula-one/dutch-grand-prix/index.html","Experience card body: Haarlem","<p class=""au-b"">10 min from the circuit, the smart dinner alternative to Amsterdam</p>","<p class=""au-b"">Ten minutes from the circuit, and the smart alternative to Amsterdam for dinner.</p>","Brief fragment rewritten as a sentence"
"formula-one/dutch-grand-prix/index.html","Extend your trip: Bruges or Antwerp","<strong>Bruges or Antwerp by rail (2 nts).</strong> effortless add-on before Eurostar home","<strong>Bruges or Antwerp by rail (2 nights).</strong> An effortless addition before the Eurostar home.","Brief shorthand ('nts', lower-case fragment)"
"formula-one/dutch-grand-prix/index.html","Extend your trip: Amsterdam","<strong>Amsterdam city extension.</strong> most guests simply add nights; demand will empty the city this weekend","<strong>Amsterdam city extension.</strong> Most guests simply add nights in the city; book early, as race-weekend demand fills Amsterdam’s hotels.","Brief note; original wording ('demand will empty the city') was garbled"
"formula-one/hungarian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
"formula-one/hungarian-grand-prix/index.html","Circuit section lede","The full ticket ladder follows below.","The full ticket guide follows below.","Internal jargon ('ticket ladder')"
"formula-one/hungarian-grand-prix/index.html","Ticket Guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","The four tiers are the same at every race we sell. What changes is the grandstands and the circuit’s own hospitality, and those for this race are set out below.","Writer's note ('named here rather than described generically') and internal jargon"
"formula-one/hungarian-grand-prix/index.html","Climate section lede","Guidance based on historical seasonal conditions for this race slot rather than a forecast.","Based on typical conditions at this time of year, rather than a forecast.","Internal jargon ('race slot'); stiff phrasing"
"formula-one/hungarian-grand-prix/index.html","Climate card label",">Race slot<",">Race weekend<","Internal jargon ('race slot')"
"formula-one/hungarian-grand-prix/index.html","Hero format line","conventional race weekend (no sprint) · summer-break closer","conventional race weekend (no Sprint) · the last race before the summer break","Internal shorthand ('summer-break closer')"
"formula-one/hungarian-grand-prix/index.html","Circuit body + FAQ answer (HTML + JSON-LD): race-day travel","Hungaroring is ~25 min northeast: private transfers premium tiers; entry tier suburban rail to Mogyoród + shuttle or organised coach. Sunday exit queues notorious — premium departure timing matters.","The Hungaroring is around 25 minutes north-east of Budapest. Premium tiers travel by private transfer; on the Grandstand tier you take the suburban train to Mogyoród and a shuttle, or an organised coach. Queues to leave on Sunday are notorious, so on premium tiers we time your departure to avoid the worst of them.","Brief shorthand fragments rewritten as customer copy"
"formula-one/hungarian-grand-prix/index.html","Vedere Says band quote","Hungaroring is ~25 min northeast: private transfers premium tiers; entry tier suburban rail to Mogyoród + shuttle or organised coach.","The Hungaroring is only around 25 minutes north-east of Budapest, but Sunday exit queues are notorious, so how you travel to and from the circuit matters.","Brief shorthand fragment rewritten as customer copy"
"formula-one/hungarian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): flights","LHR–BUD direct (BA, ~2h30). Strong regionals: Jet2/Ryanair/Wizz direct from MAN, BHX, EDI, LBA.","British Airways flies direct from London Heathrow to Budapest in around 2 hours 30 minutes. There are good regional options too, with Jet2, Ryanair and Wizz Air flying direct from Manchester, Birmingham, Edinburgh and Leeds Bradford.","Airport-code shorthand rewritten as customer copy"
"formula-one/hungarian-grand-prix/index.html","At a glance: flights","LHR–BUD direct (BA, ~2h30).","Direct from London Heathrow with BA, around 2h 30m.","Airport-code shorthand"
"formula-one/hungarian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): packing","Late July Budapest: 28–34°C, proper heat, storms possible. Hats, water discipline in the stands.","Late July in Budapest is properly hot, typically 28–34°C, and storms are possible. Bring a hat and keep drinking water in the stands.","Note-style fragments"
"formula-one/hungarian-grand-prix/index.html","Climate card note","28–34°C, proper heat, storms possible. Hats, water discipline in the stands.","Properly hot, and storms are possible. Bring a hat and keep drinking water in the stands.","Note-style fragments; repeated the temperature shown above"
"formula-one/hungarian-grand-prix/index.html","Package card + ticket guide: circuit hospitality","Hungaroring's own suites within the rebuilt paddock structure — all-inclusive, with final product names confirmed with your quotation.","The Hungaroring's own hospitality suites in the rebuilt pit building, all-inclusive. We confirm the exact suite with your quotation.","Internal note ('final product names confirmed')"
"formula-one/hungarian-grand-prix/index.html","Package card + ticket guide: Official Team Hospitality","Official Team Hospitality — preferred team's suite in the new-generation facilities.","Official Team Hospitality — your preferred team's own suite in the new-generation facilities.","Clipped phrasing"
"formula-one/hungarian-grand-prix/index.html","Packages lede","including flights and hotel. 3 nights.","including flights and three nights’ hotel.","Fragment"
"formula-one/hungarian-grand-prix/index.html","What is included: on request","Széchenyi baths morning and ruin bars of the Jewish Quarter","A morning at the Széchenyi baths and an evening in the ruin bars of the Jewish Quarter","Note-style fragment"
"formula-one/hungarian-grand-prix/index.html","Hotels lede","each mapped to a package tier","each matched to a package tier","Internal phrasing"
"formula-one/hungarian-grand-prix/index.html","Experience card body: Széchenyi baths","<p class=""au-b"">Gellért for the architecture</p>","<p class=""au-b"">Or the Gellért baths, for the architecture.</p>","Brief fragment rewritten as a sentence"
"formula-one/hungarian-grand-prix/index.html","Experience card body: Ruin bars","<p class=""au-b"">Szimpla Kert and beyond</p>","<p class=""au-b"">Start at Szimpla Kert and carry on from there.</p>","Brief fragment rewritten as a sentence"
"formula-one/hungarian-grand-prix/index.html","Extend your trip: Vienna","<strong>Vienna by rail (2&ndash;3 nts).</strong> 2h30, twin-city classic","<strong>Vienna by rail (2&ndash;3 nights).</strong> Two and a half hours by train, and the classic twin-city pairing.","Brief shorthand fragment"
"formula-one/hungarian-grand-prix/index.html","Extend your trip: Lake Balaton","<strong>Lake Balaton (2 nts) for the Hungarian-summer version of the Riviera</strong>","<strong>Lake Balaton (2 nights).</strong> Hungary’s summer answer to the Riviera.","Brief shorthand fragment"
"formula-one/sao-paulo-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
"formula-one/sao-paulo-grand-prix/index.html","Circuit section lede","The full ticket ladder follows below.","The full ticket guide follows below.","Internal jargon ('ticket ladder')"
"formula-one/sao-paulo-grand-prix/index.html","Ticket Guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","The four tiers are the same at every race we sell. What changes is the grandstands and the circuit’s own hospitality, and those for this race are set out below.","Writer's note ('named here rather than described generically') and internal jargon"
"formula-one/sao-paulo-grand-prix/index.html","Climate section lede","Guidance based on historical seasonal conditions for this race slot rather than a forecast.","Based on typical conditions at this time of year, rather than a forecast.","Internal jargon ('race slot'); stiff phrasing"
"formula-one/sao-paulo-grand-prix/index.html","Climate card label",">Race slot<",">Race weekend<","Internal jargon ('race slot')"
"formula-one/sao-paulo-grand-prix/index.html","Hero format line","Format: Standard weekend (sprint status to be confirmed)","Format: Standard weekend","Internal TBC note ('sprint status to be confirmed')"
"formula-one/sao-paulo-grand-prix/index.html","Circuit body + FAQ answer (HTML + JSON-LD): race-day travel","Entry: race-day trains from Luz/Pinheiros to Autódromo station — the fast way in. Premium: private transfers with local drivers who know the Interlagos approach roads; allow 60–90 min.","On the entry tier you take the race-day trains from Luz or Pinheiros to Autódromo station, which is the fastest way in. On premium tiers you travel by private transfer with local drivers who know the Interlagos approach roads; allow 60–90 minutes.","Brief shorthand fragments rewritten as customer copy"
"formula-one/sao-paulo-grand-prix/index.html","Vedere Says band quote","Entry: race-day trains from Luz/Pinheiros to Autódromo station — the fast way in.","On race day the trains from Luz or Pinheiros to Autódromo station are the fastest way into Interlagos.","Brief shorthand fragment rewritten as customer copy"
"formula-one/sao-paulo-grand-prix/index.html","FAQ answer (HTML + JSON-LD): flights","LHR–GRU direct (BA and LATAM daily, ~11h45). Regionals via Lisbon (TAP from MAN/regional) or Madrid.","British Airways and LATAM both fly daily and direct from London Heathrow to São Paulo, in around 11 hours 45 minutes. From the UK regions, connect via Lisbon with TAP (including from Manchester) or via Madrid.","Airport-code shorthand rewritten as customer copy"
"formula-one/sao-paulo-grand-prix/index.html","At a glance: flights","LHR–GRU direct (BA and LATAM daily, ~11h45).","Daily direct from London Heathrow with BA and LATAM, around 11h 45m.","Airport-code shorthand"
"formula-one/sao-paulo-grand-prix/index.html","FAQ answer (HTML + JSON-LD): packing","November SP: 25°C, humid, and rain is practically part of the show — Interlagos downpours are sudden and biblical. Ponchos over umbrellas.","November in São Paulo is around 25°C and humid, and rain is practically part of the show: Interlagos downpours are sudden and heavy. Pack a poncho rather than an umbrella.","Note-style fragments and abbreviation ('SP')"
"formula-one/sao-paulo-grand-prix/index.html","Climate card note","25°C, humid, and rain is practically part of the show — Interlagos downpours are sudden and biblical. Ponchos over umbrellas.","Humid, and rain is practically part of the show: Interlagos downpours are sudden and heavy. Pack a poncho rather than an umbrella.","Note-style fragment; repeated the temperature shown above"
"formula-one/sao-paulo-grand-prix/index.html","Climate card value",">November SP<",">November in São Paulo<","Internal abbreviation ('SP')"
"formula-one/sao-paulo-grand-prix/index.html","Package card + ticket guide: Official Team Hospitality","Official Team Hospitality — preferred team's suite; Brazilian crowds make garage visits here electric.","Official Team Hospitality in your preferred team’s own suite. With the Brazilian crowd behind it, a garage visit here is electric.","Clipped phrasing"
"formula-one/sao-paulo-grand-prix/index.html","Packages lede","including flights and hotel. 4 nights.","including flights and four nights’ hotel.","Fragment"
"formula-one/sao-paulo-grand-prix/index.html","Package card: Premium São Paulo hotel row","<dd>Luxury 5* São Paulo</dd>","<dd>Luxury 5* São Paulo hotel</dd>","Clipped shorthand"
"formula-one/sao-paulo-grand-prix/index.html","Race Weekend body","F1's great drama — rain, comebacks, Senna's home crowd.","Formula One at its most dramatic: rain, comebacks and Senna’s home crowd.","Fragment opening"
"formula-one/sao-paulo-grand-prix/index.html","Experience card body: Steak","<p class=""au-b"">plus A Casa do Porco (world's-best-list) if bookable</p>","<p class=""au-b"">Plus A Casa do Porco, a regular on the world’s best restaurant lists, if a table can be booked.</p>","Brief note ('if bookable', '(world's-best-list)') rewritten as customer copy"
"formula-one/sao-paulo-grand-prix/index.html","Experience card body: Football","<p class=""au-b"">Morumbi or Neo Química Arena fixture, or the Museu do Futebol</p>","<p class=""au-b"">A fixture at Morumbi or the Neo Química Arena, or the Museu do Futebol.</p>","Brief fragment rewritten as a sentence"
"formula-one/sao-paulo-grand-prix/index.html","Extend your trip: Rio","<strong>Rio de Janeiro (3&ndash;4 nts).</strong> Copacabana Palace &mdash; the classic pairing","<strong>Rio de Janeiro (3&ndash;4 nights).</strong> The classic pairing, with a stay at the Copacabana Palace.","Brief shorthand fragment"
"formula-one/sao-paulo-grand-prix/index.html","Extend your trip: Iguazú","<strong>Iguazú Falls (2 nts).</strong> Belmond Hotel das Cataratas inside the park","<strong>Iguazú Falls (2 nights).</strong> Stay at the Belmond Hotel das Cataratas, inside the national park.","Brief shorthand fragment"
"formula-one/saudi-arabian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
"formula-one/saudi-arabian-grand-prix/index.html","Circuit section lede","The full ticket ladder follows below.","The full ticket guide follows below.","Internal jargon ('ticket ladder')"
"formula-one/saudi-arabian-grand-prix/index.html","Ticket Guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","The four tiers are the same at every race we sell. What changes is the grandstands and the circuit’s own hospitality, and those for this race are set out below.","Writer's note ('named here rather than described generically') and internal jargon"
"formula-one/saudi-arabian-grand-prix/index.html","Climate section lede","Guidance based on historical seasonal conditions for this race slot rather than a forecast.","Based on typical conditions at this time of year, rather than a forecast.","Internal jargon ('race slot'); stiff phrasing"
"formula-one/saudi-arabian-grand-prix/index.html","Climate card label",">Race slot<",">Race weekend<","Internal jargon ('race slot')"
"formula-one/saudi-arabian-grand-prix/index.html","Circuit body + band quote + FAQ answer (HTML + JSON-LD): race-day travel","Corniche hotels sit minutes from the gates; private transfers premium tiers, circuit shuttles entry.","The corniche hotels sit minutes from the circuit gates. Premium tiers travel by private transfer, and the entry tier uses the circuit shuttles.","Brief shorthand fragments rewritten as customer copy"
"formula-one/saudi-arabian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): flights","LHR–JED direct (BA/Saudia, ~6h30). MAN via Riyadh/Doha.","British Airways and Saudia fly direct from London Heathrow to Jeddah in around 6 hours 30 minutes. From Manchester, you connect via Riyadh or Doha.","Airport-code shorthand rewritten as customer copy"
"formula-one/saudi-arabian-grand-prix/index.html","At a glance: flights","LHR–JED direct (BA/Saudia, ~6h30).","Direct from London Heathrow with BA or Saudia, around 6h 30m.","Airport-code shorthand"
"formula-one/saudi-arabian-grand-prix/index.html","FAQ answer (HTML + JSON-LD): packing","March Jeddah: 30°C, humid on the water; night sessions comfortable.","Jeddah in March is typically around 30°C and humid on the water, but the evenings are comfortable for the night sessions.","Note-style fragment"
"formula-one/saudi-arabian-grand-prix/index.html","Climate card note","30°C, humid on the water; night sessions comfortable.","Humid on the water, with comfortable evenings for the night sessions.","Note-style fragment; repeated the temperature shown above"
"formula-one/saudi-arabian-grand-prix/index.html","Package card: Hospitality Experience access row","Circuit hospitality on the pit complex, all-inclusive (2027 product names confirmed on release)","Circuit hospitality on the pit complex, all-inclusive","Internal TBC note ('confirmed on release')"
"formula-one/saudi-arabian-grand-prix/index.html","Package card + ticket guide: circuit hospitality","Jeddah Corniche Circuit hospitality suites — all-inclusive (verify naming on release).","The Jeddah Corniche Circuit’s own hospitality suites, all-inclusive. We confirm the exact suite with your quotation.","Internal instruction ('verify naming on release')"
"formula-one/saudi-arabian-grand-prix/index.html","Package card + ticket guide: Official Team Hospitality","Official Team Hospitality — preferred team's suite.","Official Team Hospitality in your preferred team’s own suite, with garage visits and pit lane access.","Clipped fragment"
"formula-one/saudi-arabian-grand-prix/index.html","Packages lede","including flights and hotel. 4 nights.","including flights and four nights’ hotel.","Fragment"
"formula-one/saudi-arabian-grand-prix/index.html","Race Weekend body","We keep you informed at every step before anything becomes committed.","We keep you informed at every step before anything is confirmed.","Robotic phrasing"
"formula-one/saudi-arabian-grand-prix/index.html","Hotel card: Shangri-La Jeddah (why we selected it)","and the shortest transfer of the three.","and the shortest transfer of the four.","Copy error: four hotels are listed"
"formula-one/saudi-arabian-grand-prix/index.html","Experience card body: Al-Balad","<p class=""au-b"">UNESCO old town coral houses</p>","<p class=""au-b"">Jeddah’s UNESCO-listed old town and its coral-stone merchant houses.</p>","Brief fragment rewritten as a sentence"
"formula-one/saudi-arabian-grand-prix/index.html","Experience card heading (au-t): concerts - typo only","<h3 class=""au-t"">Race-week concerts (MDLBEAST programming</h3>","<h3 class=""au-t"">Race-week concerts (MDLBEAST programming)</h3>","Obvious typo: unclosed bracket (heading wording otherwise unchanged)"
"formula-one/saudi-arabian-grand-prix/index.html","Experience card body: concerts","<p class=""au-b"">confirm lineup)</p>","<p class=""au-b"">Concerts run alongside the race each year; we share the line-up as soon as it is announced.</p>","Internal instruction ('confirm lineup')"
"formula-one/saudi-arabian-grand-prix/index.html","Extend your trip: AlUla","<strong>AlUla (3 nts).</strong> Banyan Tree/Habitas &mdash; the hero add-on; direct JED&ndash;ULH hop","<strong>AlUla (3 nights).</strong> Banyan Tree AlUla or Habitas AlUla, a short direct flight from Jeddah.","Brief/staff note ('the hero add-on', airport codes)"
"formula-one/saudi-arabian-grand-prix/index.html","Extend your trip: Red Sea","<strong>Red Sea Project resorts (3&ndash;4 nts).</strong> St. Regis Red Sea/Nujuma","<strong>Red Sea Project resorts (3&ndash;4 nights).</strong> The St. Regis Red Sea Resort or Nujuma, a Ritz-Carlton Reserve.","Brief shorthand fragment"
"formula-one/singapore-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
"formula-one/singapore-grand-prix/index.html","Circuit section lede","The full ticket ladder follows below.","The full ticket guide follows below.","Internal jargon ('ticket ladder')"
"formula-one/singapore-grand-prix/index.html","Ticket Guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","The four tiers are the same at every race we sell. What changes is the grandstands and the circuit’s own hospitality, and those for this race are set out below.","Writer's note ('named here rather than described generically') and internal jargon"
"formula-one/singapore-grand-prix/index.html","Climate section lede","Guidance based on historical seasonal conditions for this race slot rather than a forecast.","Based on typical conditions at this time of year, rather than a forecast.","Internal jargon ('race slot'); stiff phrasing"
"formula-one/singapore-grand-prix/index.html","Climate card label",">Race slot<",">Race weekend<","Internal jargon ('race slot')"
"formula-one/singapore-grand-prix/index.html","FAQ answer (HTML + JSON-LD): race-day travel","Circuit is downtown: all four hotels are walkable to the gates — no transfer needed for the race itself, a luxury in its own right. Private airport transfers all tiers (Changi ~20 min); road closures from Thursday, brief guests on gate routing.","The circuit is downtown and all four of our hotels are within walking distance of the gates, so there is no transfer at all for the race itself, which is a luxury in its own right. Every tier includes private transfers from Changi airport (around 20 minutes). Roads around the circuit close from Thursday, and we brief you on the best route to your gate.","Staff note ('brief guests on gate routing') and shorthand fragments"
"formula-one/singapore-grand-prix/index.html","Circuit body: race-day travel","Circuit is downtown: every hotel we recommend is walkable to the gates — no transfer needed for the race itself, a luxury in its own right. Private airport transfers all tiers (Changi ~20 min); road closures from Thursday, brief guests on gate routing.","The circuit is downtown and every hotel we recommend is within walking distance of the gates, so there is no transfer at all for the race itself, which is a luxury in its own right. Every tier includes private transfers from Changi airport (around 20 minutes). Roads around the circuit close from Thursday, and we brief you on the best route to your gate.","Staff note ('brief guests on gate routing') and shorthand fragments"
"formula-one/singapore-grand-prix/index.html","Vedere Says band quote","Circuit is downtown: all four hotels are walkable to the gates — no transfer needed for the race itself, a luxury in its own right.","The circuit is downtown and all four of our hotels are within walking distance of the gates: no race-day transfer at all, which is a luxury in its own right.","Shorthand fragment"
"formula-one/singapore-grand-prix/index.html","FAQ answer (HTML + JSON-LD): flights","LHR–SIN direct (Singapore Airlines A380 / BA, ~13h). Manchester–SIN DIRECT with Singapore Airlines — a genuine regional trump card; Birmingham/Scotland connect via Doha/Dubai.","Singapore Airlines (on the A380) and British Airways fly direct from London Heathrow to Singapore in around 13 hours. Singapore Airlines also flies direct from Manchester, which is a real advantage for guests in the north. From Birmingham and Scotland, you connect via Doha or Dubai.","Airport-code shorthand, capitals and internal phrasing ('regional trump card')"
"formula-one/singapore-grand-prix/index.html","At a glance: flights","LHR–SIN direct (Singapore Airlines A380 / BA, ~13h).","Direct from London Heathrow with Singapore Airlines or BA, around 13h.","Airport-code shorthand"
"formula-one/singapore-grand-prix/index.html","FAQ answer (HTML + JSON-LD): packing","October Singapore: 27–32°C, humid, daily shower risk; the race runs at night when it drops to ~28°C. Breathable fabrics, portable fan, light rain shell.","Singapore in October is typically 27–32°C and humid, with a chance of a shower every day. The race runs at night, when it drops to around 28°C. Pack breathable fabrics, a portable fan and a light rain shell.","Note-style fragments"
"formula-one/singapore-grand-prix/index.html","Climate card note","27–32°C, humid, daily shower risk; the race runs at night when it drops to ~28°C. Breathable fabrics, portable fan, light rain shell.","Humid, with a chance of a shower every day. The race runs at night, when it drops to around 28°C. Pack breathable fabrics, a portable fan and a light rain shell.","Note-style fragments; repeated the temperature shown above"
"formula-one/singapore-grand-prix/index.html","Climate card value",">October Singapore<",">October in Singapore<","Clipped shorthand"
"formula-one/singapore-grand-prix/index.html","Packages lede","including flights and hotel. 4 nights (long-haul standard).","including flights and four nights’ hotel.","Internal note ('long-haul standard') and fragment"
"formula-one/singapore-grand-prix/index.html","Package card: Premium Marina Bay hotel row","Entry 5* downtown, walking distance of the circuit","5* downtown hotel within walking distance of the circuit","Internal shorthand ('Entry 5*')"
"formula-one/singapore-grand-prix/index.html","Package card + ticket guide: Pit Grandstand","with grid, pit stop and podium views (Super Pit the elevated step above).","with grid, pit stop and podium views. The Super Pit Grandstand is the elevated step above.","Parenthetical shorthand"
"formula-one/singapore-grand-prix/index.html","Package card + ticket guide: circuit hospitality","Singapore GP's own suites: TWENTY3, Lounge Plus, Vista Suite and the Singapore Flyer suites — air-conditioned lounges above the action; inventory historically sells out months ahead, so secure allocations early.","Singapore GP’s own suites: TWENTY3, Lounge Plus, Vista Suite and the Singapore Flyer suites, all air-conditioned lounges above the action. They have historically sold out months ahead, so we recommend booking early.","Staff note ('inventory', 'secure allocations early')"
"formula-one/singapore-grand-prix/index.html","Package card + ticket guide: Official Team Hospitality","Official Team Hospitality — preferred team's suite; celebrity-chef dining and the most theatrical setting of the season. Price with confidence.","Official Team Hospitality in your preferred team’s own suite, with celebrity-chef dining and the most theatrical setting of the season.","Staff note ('Price with confidence') and clipped phrasing"
"formula-one/singapore-grand-prix/index.html","Experience card body: The concerts","<p class=""au-b"">The Killers Saturday post-qualifying, Lana Del Rey Sunday, Janet Jackson, JJ Lin, DJ Snake and more, all included with tickets</p>","<p class=""au-b"">The Killers after qualifying on Saturday and Lana Del Rey on Sunday, with Janet Jackson, JJ Lin, DJ Snake and more, all included with your race ticket.</p>","Note-style list rewritten as a sentence"
"formula-one/singapore-grand-prix/index.html","Experience card body: Hawker-to-Michelin dining","<p class=""au-b"">Lau Pa Sat satay street to Odette</p>","<p class=""au-b"">From the satay street at Lau Pa Sat to a table at Odette.</p>","Brief fragment rewritten as a sentence"
"formula-one/singapore-grand-prix/index.html","Experience card body: After-parties","<p class=""au-b"">Amber Lounge-style circuit-adjacent nightlife and CÉ LA VI &mdash; book ahead</p>","<p class=""au-b"">Late-night parties close to the circuit in the Amber Lounge mould, and CÉ LA VI. Both need booking ahead.</p>","Brief note rewritten as customer copy"
"formula-one/singapore-grand-prix/index.html","Extend your trip: Maldives","<strong>Maldives (4&ndash;5 nts) via SQ.</strong> the flagship pairing; Conrad Rangali, Waldorf Astoria Ithaafushi","<strong>Maldives (4&ndash;5 nights) with Singapore Airlines.</strong> Our favourite pairing, at Conrad Rangali or the Waldorf Astoria Ithaafushi.","Brief shorthand ('nts', 'SQ', 'the flagship pairing')"
"formula-one/singapore-grand-prix/index.html","Extend your trip: Bali","<strong>Bali (4&ndash;5 nts).</strong> Four Seasons Sayan / Uluwatu &mdash; shorter hop, strong value","<strong>Bali (4&ndash;5 nights).</strong> Four Seasons at Sayan or Uluwatu: a shorter flight and strong value.","Brief shorthand fragment"
"formula-one/singapore-grand-prix/index.html","Extend your trip: Langkawi or Phuket","<strong>Langkawi or Phuket (3&ndash;4 nts) for a softer add-on</strong>","<strong>Langkawi or Phuket (3&ndash;4 nights).</strong> A gentler beach add-on, close to Singapore.","Brief shorthand fragment"
"formula-one/turkish-grand-prix/index.html","FAQ answer (HTML + JSON-LD): package tiers","Every Formula One package ladders the same way.","Our Formula One packages follow the same four tiers at every race.","Internal jargon ('ladders')"
