page,type,slot,old_or_subject,status,new_file,width,height,alt,credit,licence,source_url,image_url,note
"/sports-travel/us-sports/nba","large","replace","/assets/img/sports/us-sports/index/us-sports-league-nba.jpg","sourced","/assets/img/sourced/nba/madison-square-garden-basketball-01.jpg","2400","1800","A sold-out Madison Square Garden beneath its centre-hung scoreboard during a basketball game","Emmanuel Milou from Montreal, Canada","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Madison_Square_Garden_sold-out_(4905954113).jpg","https://upload.wikimedia.org/wikipedia/commons/5/57/Madison_Square_Garden_sold-out_%284905954113%29.jpg","Same arena (the Madison Square Garden bowl and centre-hung scoreboard), now shown during a basketball game. The photo is from 2010, before the latest renovation. Commons file: Madison Square Garden sold-out (4905954113).jpg."
"/team-travel","large","replace","/assets/img/sports/football/index/football-band-como-01.jpg","sourced","/assets/img/sourced/team-travel/stadio-sinigaglia-matchday-01.jpg","2400","1200","A packed Stadio Sinigaglia on matchday, with the hills above Lake Como beyond","Vale93b","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Stadio_Sinigaglia_Como_16-07-2025.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cd/Stadio_Sinigaglia_Como_16-07-2025.jpg","Same ground (Stadio Sinigaglia, Como). A matchday view from the stands rather than an aerial, which suits the alt ""Matchday atmosphere"". Cropped from a 9554px panorama. Commons file: Stadio Sinigaglia Como 16-07-2025.jpg."
"/about-us","card","replace","/assets/img/site/about/about-alex-catton-01.jpg","not-found","","","","","","","","","Portrait of the founder, Alex Catton, at Yas Marina. It is not in the client library, and only the client holds the original. Ask the client for the full-resolution file."
"/formula-one/abu-dhabi-grand-prix","card","replace","/assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-package-premium-yas-marina.jpg","library","/assets/img/sports/library/f1-abu-dhabi-2025/f1-abu-dhabi-2025-04.jpg","2000","1333","Max Verstappen leads the field away at the start of the 2025 Abu Dhabi Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/23 Abu Dhabi - 2025/race-day--max-verstappen-race-start--f1-914ff3bba9bf.jpg","","Same circuit and scene (race start on the main straight). Client-library image not used elsewhere, 2000px."
"/formula-one/abu-dhabi-grand-prix","card","replace","/assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-package-hospitality-experience.jpg","not-found","","","","","","","","","Shows a trackside hospitality lounge interior. The client library has no hospitality-lounge photography for this circuit, and there is no licensed high-resolution photo of this venue's suites on Commons."
"/formula-one/abu-dhabi-grand-prix","card","replace","/assets/img/sports/f1/abu-dhabi-grand-prix-2026/f1-abu-dhabi-package-luxury-race-weekend.jpg","not-found","","","","","","","","","Shows the Yas Marina Circuit entrance sign with supercars (a driving-experience scene). No sharper genuine image of this was found in the library or on Commons."
"/formula-one/austin-grand-prix","card","replace","/assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","not-found","","","","","","","","","The image is a wood-panelled dining room (filename: Masters Map & Flag). It does not match the client-library Map & Flag photos (a bright modern hall), and it is an Augusta venue shown on a non-golf page. No sharper genuine source was found."
"/formula-one/australian-grand-prix","card","replace","/assets/img/sports/f1/australian-grand-prix-2027/f1-australian-package-grandstand-experience.jpg","sourced","/assets/img/sourced/australian-grand-prix/albert-park-grandstand-01.jpg","1600","1067","A packed main grandstand beside the track at Albert Park during the Australian Grand Prix","thomasrdotorg","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Albert_Park_main_Grandstand_2010.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f9/Albert_Park_main_Grandstand_2010.jpg","Same circuit and scene (a full grandstand at Albert Park, 2010). Cropped from a portrait original. Commons file: Albert Park main Grandstand 2010.jpg."
"/formula-one/australian-grand-prix","card","replace","/assets/img/sports/f1/australian-grand-prix-2027/f1-australian-package-premium-melbourne.jpg","not-found","","","","","","","","","Shows a red Ferrari road car on display, not the Jones Grandstand. No sharper genuine image of this subject was found, and the unused library frames for this race show cars on track, a team celebration and a panning shot."
"/formula-one/australian-grand-prix","card","replace","/assets/img/sports/f1/australian-grand-prix-2027/f1-australian-package-hospitality-experience.jpg","not-found","","","","","","","","","Shows a trackside hospitality lounge interior. The client library has no hospitality-lounge photography for this circuit, and there is no licensed high-resolution photo of this venue's suites on Commons."
"/formula-one/austrian-grand-prix","card","replace","/assets/img/sports/f1/austrian-grand-prix-2027/f1-austrian-package-grandstand-experience.jpg","library","/assets/img/sports/library/f1-austria-2026/f1-austria-2026-04.jpg","2000","1333","Formula 1 cars through a corner at the Red Bull Ring during the 2026 Austrian Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/08 Austria - 2026/race-day--max-verstappen-oscar-piastri-track-action--f1-49e052d83072.jpg","","Same kind of image (cars on track at the Red Bull Ring). Client-library image not used elsewhere, 2000px."
"/formula-one/austrian-grand-prix","card","replace","/assets/img/sports/f1/austrian-grand-prix-2027/f1-austrian-package-premium-spielberg.jpg","not-found","","","","","","","","","No unused client-library or licensed Commons photograph of this circuit shows the same kind of view (grandstand or pit-straight scene) at 1400px or more. Every unused library frame for this race is a tight car close-up, pit stop or podium."
"/formula-one/austrian-grand-prix","card","replace","/assets/img/sports/f1/austrian-grand-prix-2027/f1-austrian-package-hospitality-experience.jpg","not-found","","","","","","","","","A lit hospitality building at night. No sharper genuine image of this venue was found."
"/formula-one/azerbaijan-grand-prix","card","replace","/assets/img/sports/f1/azerbaijan-grand-prix-2026/f1-azerbaijan-package-grandstand-experience.jpg","library","/assets/img/sports/library/f1-azerbaijan-2025/f1-azerbaijan-2025-03.jpg","2000","1285","Formula 1 cars on the Baku City Circuit beneath the city's towers during the 2025 Azerbaijan Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/15 Azerbaijan - 2025/race-day--max-verstappen-carlos-sainz-race-start--f1-adada7de31a4.jpg","","Same circuit and kind of view (cars on the Baku street circuit with the city behind). Client-library image not used elsewhere, 2000px."
"/formula-one/azerbaijan-grand-prix","card","replace","/assets/img/sports/f1/azerbaijan-grand-prix-2026/f1-azerbaijan-package-premium-baku.jpg","library","/assets/img/sports/library/f1-azerbaijan-2025/f1-azerbaijan-2025-05.jpg","2000","1333","The Baku City Circuit main straight, pit building and grandstands from above during the 2025 Azerbaijan Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/15 Azerbaijan - 2025/race-day--max-verstappen-race-start--f1-ef4ae596375d.jpg","","Matches the card copy (Absheron Grandstand on the main straight, opposite the garages). Client-library image not used elsewhere, 2000px."
"/formula-one/azerbaijan-grand-prix","card","replace","/assets/img/sports/f1/azerbaijan-grand-prix-2026/f1-azerbaijan-package-hospitality-experience.jpg","not-found","","","","","","","","","Shows a trackside hospitality lounge interior. The client library has no hospitality-lounge photography for this circuit, and there is no licensed high-resolution photo of this venue's suites on Commons."
"/formula-one/bahrain-grand-prix","card","replace","/assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-premium-bahrain.jpg","sourced","/assets/img/sourced/bahrain-grand-prix/bahrain-main-grandstand-01.jpg","1600","1067","The covered main grandstand and its tent-roof towers at Bahrain International Circuit","Andrew Griffith from United Kingdom","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Bahrain_Grandstands_2010.jpg","https://upload.wikimedia.org/wikipedia/commons/0/09/Bahrain_Grandstands_2010.jpg","Same structure (the Sakhir main grandstand), in daylight rather than under floodlights; update the alt. Commons file: Bahrain Grandstands 2010.jpg."
"/formula-one/bahrain-grand-prix","card","replace","/assets/img/sports/f1/bahrain-grand-prix-2027/f1-bahrain-package-hospitality-experience.jpg","not-found","","","","","","","","","A floodlit hospitality building at dusk. No sharper genuine image of it was found."
"/formula-one/belgian-grand-prix","card","replace","/assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-package-premium-spa.jpg","library","/assets/img/sports/library/f1-belgium-2026/f1-belgium-2026-02.jpg","2000","1333","A Mercedes on track at speed during the 2026 Belgian Grand Prix at Spa-Francorchamps","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/10 Belgium - 2026/practice--kimi-antonelli-track-action--f1-3ab0ad5173f2.jpg","","Same kind of image (a car on track at Spa). The only client-library Spa image not yet on this page, 2000px."
"/formula-one/belgian-grand-prix","card","replace","/assets/img/sports/f1/belgian-grand-prix-2027/f1-belgian-package-luxury-race-weekend.jpg","not-found","","","","","","","","","A car on the Spa kerbs. The only unused library Spa frame is taken by the Premium Spa card, and no licensed Commons alternative at 1400px or more was found."
"/formula-one/british-grand-prix","card","replace","/assets/img/sports/f1/british-grand-prix-2027/f1-british-package-grandstand-experience.jpg","library","/assets/img/sports/library/f1-great-britain-2026/f1-great-britain-2026-06.jpg","2000","1333","Spectators above the pit straight and the Silverstone Wing during the 2026 British Grand Prix","Vedere Travel client image library","client library","client library original: Selected originals/Sport/Formula 1/09 Great Britain - 2026/race-day--race-start--f1-6a0f0da128e5.jpg","","Same kind of view (fans in the stands overlooking the track at Silverstone). Client-library image not used elsewhere, 2000px."
"/formula-one/british-grand-prix","card","replace","/assets/img/sports/f1/british-grand-prix-2027/f1-british-package-premium-silverstone.jpg","not-found","","","","","","","","","A hospitality terrace overlooking the Silverstone straight. No sharper genuine image of the same kind of view was found."
"/formula-one/british-grand-prix","card","replace","/assets/img/sports/f1/british-grand-prix-2027/f1-british-package-hospitality-experience.jpg","not-found","","","","","","","","","Shows a trackside hospitality lounge interior. The client library has no hospitality-lounge photography for this circuit, and there is no licensed high-resolution photo of this venue's suites on Commons."
"/formula-one/british-grand-prix","card","replace","/assets/img/sports/f1/index/f1-favourite-silverstone.jpg","not-found","","","","","","","","","The race start at Silverstone. The matching client-library frame (f1-great-britain-2026-01) is already on this page, and the other unused frames show a single car at night or a pit stop."
"/formula-one/canadian-grand-prix","card","replace","/assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-package-grandstand-experience.jpg","not-found","","","","","","","","","No unused client-library or licensed Commons photograph of this circuit shows the same kind of view (grandstand or pit-straight scene) at 1400px or more. Every unused library frame for this race is a tight car close-up, pit stop or podium."
"/formula-one/canadian-grand-prix","card","replace","/assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-package-hospitality-experience.jpg","not-found","","","","","","","","","Shows a trackside hospitality lounge interior. The client library has no hospitality-lounge photography for this circuit, and there is no licensed high-resolution photo of this venue's suites on Commons."
"/formula-one/chinese-grand-prix","card","replace","/assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-premium-shanghai.jpg","not-found","","","","","","","","","No unused client-library or licensed Commons photograph of this circuit shows the same kind of view (grandstand or pit-straight scene) at 1400px or more. Every unused library frame for this race is a tight car close-up, pit stop or podium."
"/formula-one/chinese-grand-prix","card","replace","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","not-found","","","","","","","","","The image is a Roland-Garros hospitality restaurant hall, used here as a generic dining stand-in on a non-tennis page. The client-library Roland-Garros hospitality photos show a different space (Club des Loges terraces), and a Paris venue would misrepresent local dining anyway. Recommend a city-specific restaurant image instead."
