reference,page,image,action,resolution,new_image,notes
"420","hungarian-grand-prix-2027.html","assets/img/sports/f1/hungarian-grand-prix-2027/f1-hungarian-band-01.jpg","Caption / replace","replaced","assets/img/sports/library/f1-hungary-2026/f1-hungary-2026-01.jpg","The old file is the Hungarian Parliament on the Danube, not the Hungaroring. The circuit figure now carries genuine 2026 Hungarian Grand Prix photography; the Parliament photograph was moved to the Danube cruise card (ref 423)."
"421","hungarian-grand-prix-2027.html","assets/img/luxury/europe/nordics/nordics-about-01.jpg","Replace","removed-gap-recorded","","Icelandic geothermal lagoon under 'Szechenyi baths morning'. GAP: Szechenyi or Gellert thermal baths, Budapest."
"423","hungarian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-band-01.jpg","Replace","replaced","assets/img/sports/f1/hungarian-grand-prix-2027/f1-hungarian-band-01.jpg","Montenegro bay replaced with the page's own genuine photograph of the Hungarian Parliament reflected in the Danube at sunset - exactly the named subject."
"424","hungarian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-about-01.jpg","Replace","removed-gap-recorded","","Perast, Montenegro under 'Fisherman's Bastion and Buda Castle'. The page's other Budapest photograph is taken FROM the Buda side, so it cannot show the Bastion. GAP: Fisherman's Bastion / Buda Castle at golden hour."
"775","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-package-melbourne.jpg","Replace","removed-gap-recorded","","Melbourne skyline under 'Brisbane'. Only Sydney, Melbourne, Great Ocean Road and Great Barrier Reef photography genuinely exists. GAP: Brisbane."
"777","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-package-beyond.jpg","Replace","removed-gap-recorded","","Twelve Apostles (Victoria) under 'Perth'. GAP: Perth / Western Australia / Margaret River."
"778","rugby-world-cup-2027.html","assets/img/sports/tennis/australian-open-2027/australian-open-section-crown-towers.jpg","Replace","removed-gap-recorded","","Melbourne Yarra towers under 'Adelaide'. GAP: Adelaide Oval / the Torrens / Barossa."
"779","rugby-world-cup-2027.html","assets/img/luxury/indian-ocean/maldives/maldives-hero-01.jpg","Replace","removed-gap-recorded","","Maldives island under 'Newcastle & Townsville'. GAP: Newcastle NSW and Townsville / tropical north Queensland."
"299","euro-2028.html","assets/img/sports/football/euro-2028/euro-2028-band-01.jpg","Verify / replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-07.jpg","The unverified bowl could not be authenticated to a named Euro 2028 venue (it reads as the Etihad, but nothing in the repo confirms the stadium or its renovation date). The band now uses the verified Wembley match photograph; the second placement of the same file (the 'Twenty-four nations' figure) now uses the verified Villa Park photograph."
"315","euro-2028.html","assets/img/sports/golf/the-open-2027/the-open-band-01.jpg","Replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-02.jpg","St Andrews West Sands under 'Glasgow' replaced with the verified aerial of Hampden Park, the card's own named subject."
"316","euro-2028.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-01.jpg","Galway pub street under 'Dublin' replaced with the verified Aviva Stadium, Dublin photograph."
"550","mexico-city-grand-prix-2026.html","assets/img/sports/f1/mexico-city-grand-prix-2026/f1-mexico-city-package-hospitality-experience.jpg","Replace","already-resolved","","Package cards on the deployed page no longer carry images; the file is unreferenced."
"554","mexico-city-grand-prix-2026.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-village.jpg","Verify / replace","removed-gap-recorded","","Wimbledon Village flower stall under 'Dia de Muertos'. GAP: Dia de Muertos ofrendas / parade in Mexico City."
"557","mexico-city-grand-prix-2026.html","assets/img/luxury/caribbean/mexico/mexico-band-01.jpg","Replace","removed-gap-recorded","","Riviera Maya beach under 'Teotihuacan pyramids; Frida Kahlo's Casa Azul'. GAP: Teotihuacan at sunrise / Casa Azul, Coyoacan."
"661","nhl.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","already-resolved","","Package cards on the deployed page no longer carry images; the Masters lounge file is no longer referenced on this page."
"664","nhl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","removed-gap-recorded","","Wembley football-hospitality lounge captioned 'Club access - the arena's own lounges' on an NHL page. Figure removed (same treatment as boxing.html ref 165). GAP: NHL arena club-lounge photography."
"669","nhl.html","assets/img/luxury/north-america/new-england/new-england-about-01.jpg","Replace","replaced","assets/img/sports/f1/canadian-grand-prix-2027/f1-canadian-section-beyond.jpg","New England autumn lake under 'Montreal and Toronto' replaced with the repo's genuine downtown Montreal skyline photograph."
"875","sports-travel.html","assets/img/sports/index/sports-hero-02.jpg","Caption / replace","already-resolved","","Superseded by the approved seven-slide hero installed since the review; the file is no longer referenced on this page."
"876","sports-travel.html","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg","Quality","already-resolved","","No longer referenced on this page; the approved sharp Monaco hero slide is used instead."
"888","sports-travel.html","assets/img/sports/index/sports-card-formula-one.jpg","Caption / replace","caption-corrected","","The photograph is Yas Marina Circuit, Abu Dhabi - the shade canopies over the pit straight at dusk, with Etihad branding - not a car on track. Alt corrected to describe it."
"288","england-tour-of-south-africa-2026-27.html","assets/img/site/entry/entry-stadium-01.jpg","Quality","already-resolved","","The empty-seat close-up is no longer referenced on this page."
"292","england-tour-of-south-africa-2026-27.html","assets/img/sports/library/cricket-south-africa/cricket-south-africa-02.jpg","Caption / replace","replaced","assets/img/sports/library/cricket-south-africa/cricket-south-africa-04.jpg","Tight batting crop replaced with the library's genuine wide Newlands view with the Table Mountain range behind, which is what the caption promises. Separately, the page hero's alt now dates the Barmy Army photograph (January 2020) so it cannot be read as the forthcoming tour."
"394","grenada.html","assets/img/luxury/caribbean/grenada/grenada-about-01.jpg","Verify / replace","replaced","assets/img/destinations/grenada/grenada-01.jpg","The twin-cascade waterfall is the same unverified asset used for Coo in the Ardennes and could not be authenticated to Grenada. Replaced with the verified Grenada destination photograph (hillside village above its bay), which also fits the 'green hills, quiet sand' caption. The verified Grenada waterfall is Concord Falls, a different photograph (see ref 395)."
"395","grenada.html","assets/img/luxury/caribbean/index/caribbean-band-01.jpg","Verify / replace","replaced","assets/img/destinations/grenada/grenada-02.jpg","Unverified legacy Caribbean band image replaced with the verified Concord Waterfall photograph from the Grenada destination folder, matching the band's copy about the island's falls."
"821","saudi-arabian-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-emirates-palace-ext-01.jpg","Verify / replace","removed-gap-recorded","","Abu Dhabi's Emirates Palace under 'Al-Balad'. GAP: Al-Balad coral houses, Jeddah (UNESCO)."
"822","saudi-arabian-grand-prix-2027.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-conrad-etihad-towers-ext-01.jpg","Replace","removed-gap-recorded","","Abu Dhabi's Etihad Towers under 'King Fahd Fountain and corniche promenade'. No Jeddah photography in the repo. GAP: King Fahd Fountain / Jeddah Corniche."
"137","bali.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/bali/bali-01.jpg","Unverified boulder-and-pool resort (also used for Japan and Thailand) replaced with the verified Bali rice-terrace destination photograph."
"212","caribbean.html","assets/img/luxury/caribbean/index/caribbean-about-01.jpg","Verify / replace","replaced","assets/img/hotels/fairmont-royal-pavilion/fairmont-royal-pavilion-ext-01.jpg","The legacy image shows a private-island bluff with a kitesurfer (reads as Necker, BVI), not the west coast of Barbados the caption describes. Replaced with Fairmont Royal Pavilion press photography, which genuinely is the Barbados west coast - flat water and beachfront hotels in a row - so the caption stands; the alt names the property."
"514","luxury-travel.html","assets/img/luxury/index/luxury-region-villas.jpg","Caption / replace","caption-corrected","","Alt changed from 'Interiors from the Vedere luxury collection' to describe what is shown: a villa infinity pool and loungers on a hillside terrace. No location claimed, as the property is not identified."
"674","nordics.html","assets/img/luxury/europe/index/europe-hero-02.jpg","Replace","replaced","assets/img/destinations/nordics/nordics-01.jpg","Amalfi Coast / Positano on a Nordics page replaced with the verified Nordic destination photograph - a river through forest beneath mountains in Norway."
"985","us-sports.html","assets/img/sports/library/nba/nba-02.jpg","Caption / replace","verified-correct-no-change","","Checked the file: it genuinely is the Madison Square Garden exterior (Knicks signage, Chase entrances, Penn Station) and the existing alt already says so. The mismatch is with the card's 'Courtside at Madison Square Garden' line, and the library holds no NBA courtside photography - both NBA assets are MSG exteriors. GAP: NBA courtside photography if the card is to show the product."
