page,area,issue,change,needs_client_approval,notes
"africa.html","copy/trust","Loyalty scheme heading used ""The Founders Club"".","Heading renamed to ""Vedere Founders Club"".","NO",""
"africa.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"antigua.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"antigua.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"antigua.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"arizona.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"arizona.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"arizona.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"asia.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"asia.html","copy/trust","Loyalty scheme heading used ""The Founders Club"".","Heading renamed to ""Vedere Founders Club"".","NO",""
"asia.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"atol.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"".","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"atol.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"austin.html","copy/trust","Enquiry-form note claimed ""We never share your details with third parties"" — inaccurate for a travel business.","Replaced with accurate, non-absolute wording (suppliers needed to deliver the trip; we never sell your data).","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"austin.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"austin.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"austin.html","copy/trust","Absolute ticket promise (""never resold, never uncertain"").","Replaced with supportable wording.","YES","Personalised-ticket claim needs supplier confirmation per event."
"australian-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"australian-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"australian-grand-prix-2027.html","copy/trust","""for premium clients"" is internal client-tier language in customer copy.","Rewritten as ""by helicopter, on request"".","NO",""
"australian-open-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"australian-open-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"austrian-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"austrian-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"azerbaijan-grand-prix-2026.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"azerbaijan-grand-prix-2026.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"bahrain-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"bahrain-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"bali.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"bali.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"bali.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"barbados.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"barbados.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"barbados.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"belgian-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"belgian-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"booking-conditions.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"".","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"booking-conditions.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"botswana.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"botswana.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"botswana.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"boxing.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"boxing.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"british-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"british-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"british-virgin-islands.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"british-virgin-islands.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"british-virgin-islands.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"california.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"california.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"california.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"canadian-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"canadian-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"canadian-grand-prix-2027.html","copy/trust","Customer copy carried a bracketed instruction to staff, ""(set expectations: everyone walks a little at this one)"", and trade segmentation (""premium clients"").","Rewritten as plain customer copy; the bracketed staff note and the client-tier language removed.","NO","Appears in the visible band, the ""getting there"" section, the FAQ and the FAQPage JSON-LD."
"caribbean.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"caribbean.html","copy/trust","Loyalty scheme heading used ""The Founders Club"".","Heading renamed to ""Vedere Founders Club"".","NO",""
"caribbean.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"caribbean.html","copy/trust","Trade phrasing (""where we send clients who..."") plus a dismissive aside about another destination.","Rewritten as neutral customer copy.","NO",""
"chinese-grand-prix-2027.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"chinese-grand-prix-2027.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"contact.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"".","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"contact.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"contact.html","copy/trust","Telephone field label read ""Telephone (optional) optional"".","Removed the duplicated ""(optional)"" from the label text; the styled ""optional"" tag remains.","NO","Known issue named in the brief."
"cricket.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"cricket.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"croatia.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"croatia.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"croatia.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"darts.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"darts.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"dubai.html","copy/trust","Enquiry-form note claimed ""We never share your details with third parties"" — inaccurate for a travel business.","Replaced with accurate, non-absolute wording (suppliers needed to deliver the trip; we never sell your data).","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"dubai.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"dubai.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"dutch-grand-prix-2026.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"dutch-grand-prix-2026.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"england-tour-of-south-africa-2026-27.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"england-tour-of-south-africa-2026-27.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"euro-2028.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"euro-2028.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"europe.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"europe.html","copy/trust","Loyalty scheme heading used ""The Founders Club"".","Heading renamed to ""Vedere Founders Club"".","NO",""
"europe.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"european-football-breaks.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"european-football-breaks.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"finland.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"finland.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"finland.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"florida.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"florida.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"florida.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"football.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"football.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"formula-one.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"formula-one.html","copy/trust","Loyalty scheme heading used ""The Founders Club"".","Heading renamed to ""Vedere Founders Club"".","NO",""
"formula-one.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"formula-one.html","copy/trust","Absolute ticket promise (""never resold, never uncertain"") and a blanket personalisation claim.","Replaced with the supportable ""sourced through official channels, not the resale market"" wording.","YES","Whether every ticket is issued in the lead traveller's name needs supplier confirmation per event."
"france.html","copy/trust","Enquiry-form note claimed ""We never share your details"" — inaccurate for a travel business that must pass details to airlines, hotels and ticketing partners.","Replaced with accurate, non-absolute wording: details used to answer the enquiry and arrange travel, shared only with the suppliers needed to deliver it; we never sell your data.","YES","Final wording needs client/legal approval. No privacy-policy page exists in the repo, so no link could be added."
"france.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"france.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
"france.html","copy/trust","Internal phrasing (""cross-links this page"") in customer copy.","Rewritten as a customer-facing lead-in.","NO",""
"golf.html","copy/trust","Loyalty scheme appeared as ""The Founders Club"" rather than the brief's exact name.","Renamed navigation and footer links to ""Vedere Founders Club"". (2 occurrences)","NO","Brief s.8 requires the exact name ""Vedere Founders Club"" throughout. Matching change needed on the other half of the site."
"golf.html","accessibility","Site search input and enquiry-form fields set outline:none with no replacement focus ring, so keyboard focus was invisible (WCAG 2.4.7).","Added :focus-visible outline rules for the search input and for form inputs/selects/textareas.","NO","Global :focus-visible rule was being overridden by the component rules."
