page,item,old_value,new_value,notes
spanish-grand-prix-2026.html,meta description + og:description,"Spanish Grand Prix 2026 packages from £1,595pp...",The inaugural Madrid Grand Prix was run at MADRING on 13 September 2026. Archive page: Madrid returns 10–12 September 2027 — register now.,138 chars.
spanish-grand-prix-2026.html,Product JSON-LD,live product; availability InStock,archive wording; availability SoldOut,
spanish-grand-prix-2026.html,packages lede,"""The 2026 race has now taken place...""","""Completed event — 2026 archive"" + 2026 price basis + Madrid 10–12 September 2027",
spanish-grand-prix-2026.html,about copy,"Future tense: ""demand for this one has been exceptional, so talk to us early about what remains available.""","Past tense: race run 13 September 2026; Madrid confirmed for 2027 as round 15, 10–12 September 2027",The body copy was still selling a race that had been run.
spanish-grand-prix-2026.html,included section headings,What is included / Included as standard / etc.,What was included in 2026 / Was included as standard / etc.,
spanish-grand-prix-2026.html,package card fields,"Card 3 had the entire hospitality product, hotel and transfers inside a single ""Transfers"" row",Access / Hotel / Flights / Transfers split out correctly on all four cards; driver appearances qualified,"MADRING hospitality + hotel were mis-filed under ""Transfers""."
spanish-grand-prix-2026.html,enquire heading,Plan your Spanish Grand Prix trip,Register for Madrid 2027,
malaysian-grand-prix-2026.html,event naming (brief §7),Malaysian Grand Prix 2026,"Bahrain Grand Prix 2026, hosted in Malaysia at Sepang — H1, breadcrumb, hero sub, hero meta, about heading, title, meta/og descriptions, Product + SportsEvent JSON-LD (alternateName ""Malaysian Grand Prix 2026"" retained)","Aligned to the official naming. Event NOT removed; ""Malaysian Grand Prix"" kept as an alternate name and as search aliases so the page stays findable."
malaysian-grand-prix-2026.html,hero note,(none),"""This round keeps the Bahrain Grand Prix name but is hosted in Malaysia, at Sepang... no Sepang round on the 2027 calendar, and the Bahrain Grand Prix returns to Sakhir on 12–14 March 2027"" with link to bahrain-grand-prix-2027.html",Forward routing: there is no Malaysian/Sepang round in 2027.
malaysian-grand-prix-2026.html,status,(not completed),"Left as a live, on-sale event","Page states 2–4 October 2026, which is after today (19 September 2026), so no completed treatment applied."
malaysian-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 4 had the whole package inside ""Transfers""",Access / Hotel / Nights / Flights / Transfers on all four cards,"Nights (4, Kuala Lumpur) taken from the page's own packages lede."
malaysian-grand-prix-2026.html,ticket wording,Official 2026 Malaysian Grand Prix ticket,Official 2026 Bahrain Grand Prix (Sepang) ticket,
malaysian-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights, Kuala Lumpur.""","+ ""All prices are in GBP and are reconfirmed at the time of booking; the trip length is the nights shown, not the race-weekend dates.""",GBP basis and event-vs-travel-dates separation.
las-vegas-grand-prix-2026.html,Wynn & Encore location claim,"ht-loc ""North Strip · Paddock side""","""North Strip · on the circuit's Las Vegas Boulevard straight""",The paddock claim was false.
las-vegas-grand-prix-2026.html,Wynn & Encore position claim,"""Directly opposite the paddock complex on the north Strip, and the shortest walk of any hotel to team hospitality.""","""Fronts the Las Vegas Boulevard section of the circuit at its northern end. The paddock and pit complex are at the other end of the track, off Koval Lane — not opposite the hotel..."" plus gate/route/timing confirmation against the published event access map","Removed the ""opposite the paddock"" claim as required by brief §7."
las-vegas-grand-prix-2026.html,"""two-minute walk"" claim","""Clients on team hospitality and corporate parties who need discretion and a two-minute walk.""","""...who want discretion and a room on the circuit itself, and who are content to be at the opposite end of the track from the paddock.""",Removed the two-minute walk claim.
las-vegas-grand-prix-2026.html,"""paddock-adjacent"" claim","""The paddock-adjacent power base and the address everyone in the sport actually stays at.""","""The north-Strip power base, on the circuit itself, and the address much of the sport actually stays at.""",
las-vegas-grand-prix-2026.html,"race-day travel guidance (FAQ, HTML + JSON-LD, and circuit section)","""Nobody drives during race week — the circuit closes the roads. We choose hotels so that you can walk to your viewing zone...""","Gate-specific: Las Vegas Boulevard, Koval Lane, Harmon Avenue and Sands Avenue close in stages from mid-afternoon on running days; the ticket names the gate; Vedere supplies gate, walking route and departure time checked against the published event access map; arrival transfer timed outside the closures","Applied in the circuit section, the on-page FAQ and the FAQPage JSON-LD so all three match."
las-vegas-grand-prix-2026.html,hotels section lede,"""...you walk to your viewing zone rather than negotiate road closures.""","""...Which gate you use, and how long the walk is, depends on your ticket..."" with the named road closures and access-map confirmation",
las-vegas-grand-prix-2026.html,included-as-standard,"""Hotels chosen so you walk to your viewing zone, with no race-week driving""","""Hotels chosen so you walk to your gate... gate, route and timings confirmed against the published event access map""",
las-vegas-grand-prix-2026.html,third-party club products,"Package card and upgrade list named Wynn Grid Club, Bellagio Fountain Club and Gordon Ramsay at F1 Garage, with the internal note ""(Circuit ultra options for upsell: ...)"" published on the page","""Ultra-premium circuit hospitality, quoted individually on request""",Internal sales note was live on the page. Third-party club products removed in line with the instruction found on the sister page.
las-vegas-grand-prix-2026.html,package card fields,Access / Stay / Travel; cards 3 and 4 had no hotel or flights row and card 4 carried the upsell note inside Access,Access / Hotel / Nights / Flights / Transfers on all four cards; Wynn/Encore row states that which of the two hotels applies is confirmed before anything is held,Nights (4) from the page's own packages lede; flights from the page's Included-as-standard panel.
austin.html,3-night vs 4-night offer,"Homepage feature card: ""From £3,995 per person · 3 nights · hotel · 3-day ticket · flights"". Event page lead-in: £3,995, 4 nights, Deluxe King, room only, 3-Day Reserved Grandstand.","Event page made internally consistent on its own stated basis: hero basis now reads ""From price: 4 nights, two adults sharing..."", packages lede states four nights on the first three tiers and five on Luxury Race Weekend, and every pk-basis reads ""Two adults sharing · nights as listed""","The event page states 4 nights on every tier and never states 3 nights, so 4 nights is the product basis on the page. The homepage card is the outlier. CONTENT DEPENDENCY — see report: index.html was not in my page set and has not been changed."
austin.html,package card fields,"Hotel / Stay (""4 nights · Deluxe King · Room only"") / Ticket / Travel (""Return economy from Heathrow · Airport & circuit transfers"")",Access / Hotel / Room / Nights / Board / Flights / Transfers,Compound fields split into the standard vocabulary; no values invented.
austin.html,price basis,"""Two adults sharing · Flights, hotel, official race access and transfers included""","+ ""4 nights"" and ""Guide price, reconfirmed at booking""",GBP basis with sharing assumption and reconfirmation wording.
austin.html,status,(race 22–25 October 2026),"Left as a live, on-sale event",Race day 25 October 2026 is after today (19 September 2026).
wimbledon-2027.html,debenture vs hospitality (above the fold),(none),"Hero note: ""Debenture and hospitality are not the same thing. A debenture seat carries access to the holders' lounges, restaurants and bars — food and drink there are bought on the day. Only the official-hospitality tiers include dining.""",Core brief §7 clarification.
wimbledon-2027.html,access section copy,"""A debenture carries a named seat... along with access to the debenture holders' lounges, restaurants and bars — which is where a Wimbledon day stops being a queue for a sandwich...""","Added: ""Access to those rooms is not the same as an inclusive hospitality package. A debenture gets you through the door; what you eat and drink inside is ordered and paid for on the day...""",
wimbledon-2027.html,figure caption,"""Debenture lounges, restaurants and bars — included with the seat.""","""— access comes with the seat; food and drink are bought on the day.""",The old caption directly implied inclusive catering.
wimbledon-2027.html,"FAQ ""What exactly is a debenture seat?"" (HTML + JSON-LD)","""...plus access to the debenture lounges, restaurants and bars. Crucially, debentures are the only Wimbledon tickets...""","""...That access is to the rooms themselves: food and drink in them are bought on the day, so a debenture is not by itself an inclusive hospitality package...""",Both copies kept in sync.
wimbledon-2027.html,included-as-standard list,"""Debenture lounge, restaurant and bar access with debenture seats""","""...— access to the rooms; food and drink bought on the day""",
wimbledon-2027.html,upgrade list,"""Official hospitality dining, with champagne and strawberries""","""...— the only way food and drink at the Club are included""",
wimbledon-2027.html,"""Debenture seats"" combo tile","""Centre Court and No.1 Court, with holders' lounges, restaurants and bars.""","""...with access to the holders' lounges, restaurants and bars — access to the rooms, with food and drink bought on the day.""",
wimbledon-2027.html,package card fields,Stay / Tennis / Included / Transfers,Access / Hotel / Nights / Board / Flights / Transfers,"""Included: Debenture lounge access"", ""Included: Champagne and strawberries included"" and ""Included: Hospitality throughout"" were ambiguous; each is now a Board row that states whether food and drink are included."
wimbledon-2027.html,Finals Weekend card,"""Included: Hospitality throughout""","""Board: Official hospitality dining added for the finals day or days you choose; confirmed, day by day, on your quotation""","CONTENT DEPENDENCY — the page never states whether the £9,950 Finals Weekend price includes catered hospitality on one or both finals days."
wimbledon-2027.html,packages lede,"""Guide from prices per person, two adults sharing, including hotel and transfers.""","+ ""over four nights"" and an explicit debenture-vs-hospitality sentence pointing to the Board row",
arizona.html,Amangiri positioning,"Listed and described as an Arizona hotel; FAQ, Getting There, itinerary and ""Why we selected it"" copy all read as Arizona","Described throughout as a southern Utah extension to Arizona: FAQ answer, ""Getting There"" (""four hours north by road, over the state line into southern Utah — or fifty minutes by charter to Page, Arizona... an extension to an Arizona trip rather than an Arizona property""), the 7-night itinerary, and the hotel card rationale","Brief §7. The hotel card already carried ""Canyon Point, southern Utah""; the rest of the page did not."
arizona.html,meta description + TouristDestination JSON-LD,"""Luxury Arizona holidays — Amangiri's canyon, The Phoenician, Troon North golf and Castle Hot Springs, with WM Phoenix Open weeks built in. ATOL protected.""","""Luxury Arizona holidays — The Phoenician, Troon North golf and Castle Hot Springs, plus Amangiri as a southern Utah extension. ATOL protected.""",142 chars.
dubai.html,Atlantis The Royal dining venue,"""Dinner by Heston Blumenthal, Nobu and Estiatorio Milos all deliver.""","""Dinner by Heston Blumenthal, Nobu by the Beach and Estiatorio Milos all deliver.""",Brief §7: the Atlantis The Royal venue is Nobu by the Beach.
dubai.html,itinerary dining reference,"""dinner at Ossiano or Nobu""","""dinner at Ossiano or Nobu by the Beach""",Same correction on the Seven Nights on the Palm itinerary.
abu-dhabi-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 3 held the whole hospitality product inside ""Transfers""; card 4 held hotel, concert upgrades and the transfer programme inside ""Access""",Access / Hotel / Nights / Flights / Transfers on all four cards,"Hotel detail was under ""Transfers"". Nights (4, or 5 with the Wednesday concert) from the page's own packages lede."
abu-dhabi-grand-prix-2026.html,status,(race weekend stated 3–6 December 2026),"Left as a live, on-sale event",Not yet run.
abu-dhabi-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights (5 with Bocelli on the Wed).""","+ GBP and reconfirmation wording, and ""the trip length is the nights shown, not the race-weekend dates""",
azerbaijan-grand-prix-2026.html,status,(race weekend stated 24–26 September 2026),"Left as a live, on-sale event — NOT labelled completed","My assignment listed Azerbaijan among the completed rounds, but the page's own stated date (24–26 September 2026) is five days after today (19 September 2026). Working from the page's dates as instructed, it has not been run. SEE REPORT."
azerbaijan-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 3 held ""all-inclusive; 5* hotel; private transfers"" in one Transfers row; card 4 held the hotel inside Access",Access / Hotel / Nights / Flights / Transfers on all four cards,"Nights (""four nights, Wednesday or Thursday arrival"") from the page's own packages lede and Included panel."
azerbaijan-grand-prix-2026.html,price basis,"""Guide from prices... over four nights...""",+ GBP and reconfirmation wording,
mexico-city-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 4 held the whole package inside ""Transfers""",Access / Hotel / Nights / Flights / Transfers on all four cards,
mexico-city-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights.""",+ GBP and reconfirmation wording,
qatar-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 4 held the whole package inside ""Transfers""",Access / Hotel / Nights / Flights / Transfers on all four cards,
qatar-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights, Doha.""",+ GBP and reconfirmation wording,
sao-paulo-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 4 held the whole package inside ""Transfers""",Access / Hotel / Nights / Flights / Transfers on all four cards,
sao-paulo-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights.""",+ GBP and reconfirmation wording,
singapore-grand-prix-2026.html,package card fields,"Access / Stay / Travel / Transfers; card 3 held ""dedicated viewing; 5*; private transfers"" in one Transfers row; card 4 held the whole package inside ""Transfers""","Access / Hotel / Nights / Flights / Transfers on all four cards; driver appearances qualified ""subject to the team's own schedule""",
singapore-grand-prix-2026.html,price basis,"""Guide from prices... 4 nights (long-haul standard).""",+ GBP and reconfirmation wording,
assets/js/vx-search.js,Dutch Grand Prix entry,"t ""Dutch Grand Prix""; n ""Zandvoort, Netherlands · 21–23 August 2026 · Circuit Zandvoort""","t ""Dutch Grand Prix 2026 (completed)""; n ""Completed — run 23 August 2026. No Dutch round in 2027; see Spa or the 2027 season.""; alias ""2026 archive"" added",Status change.
assets/js/vx-search.js,Italian Grand Prix entry,"t ""Italian Grand Prix""; n ""Monza, Italy · 4–6 September 2026 · Autodromo Nazionale Monza""","t ""Italian Grand Prix 2026 (completed)""; n ""Completed — run 6 September 2026 at Monza. Monza returns 3–5 September 2027.""",Status change.
assets/js/vx-search.js,Spanish Grand Prix entry,"t ""Spanish Grand Prix""; n ""Madrid, Spain · 11–13 September 2026 · MADRING, IFEMA Madrid""","t ""Spanish Grand Prix 2026 (completed)""; n ""Completed — inaugural MADRING race run 13 September 2026. Madrid returns 10–12 September 2027.""",Status change.
assets/js/vx-search.js,Malaysian Grand Prix entry,"t ""Malaysian Grand Prix""; n ""Sepang, Malaysia · 2–4 October 2026 · Sepang International Circuit""","t ""Bahrain Grand Prix at Sepang, Malaysia""; n ""Officially the Bahrain Grand Prix, hosted in Malaysia · Sepang · 2–4 October 2026""; aliases extended with ""malaysian grand prix"", ""malaysia"", ""bahrain gp sepang""",Naming change; aliases keep the old name searchable.
assets/js/vx-search.js,Amangiri hotel entry,"n ""Arizona""","n ""Canyon Point, southern Utah — an extension to Arizona""; aliases ""canyon point"", ""utah"" added",Location correction.
assets/js/vx-search.js,file integrity,—,Five targeted string replacements only; index array re-parsed as JSON after writing,"No other entry touched, so the 2027 agent's edits are unaffected."
azerbaijan-grand-prix-2026.html,season nav label,Malaysian Grand Prix →,Bahrain GP at Sepang →,Matches the renamed event.
singapore-grand-prix-2026.html,season nav label,← Malaysian Grand Prix,← Bahrain GP at Sepang,Matches the renamed event.
