page,item,old_value,new_value,notes
"australian-grand-prix-2027.html","FAQ","<p>March Melbourne: famously four seasons in a day, 15&ndash;28&deg;C. Layers, always.</p>","<p>Melbourne is famously four seasons in a day &mdash; layers, always. Temperature guidance is being reconfirmed for the April slot.</p>","Pack answer no longer cites March figures"
"japanese-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Suzuka, Japan &middot; 2027 provisional &mdash; expect late March/early April slot (sakura season) &middot; Suzuka Circuit</p>","<p class=""hero-sub"">Suzuka, Japan &middot; 9&ndash;11 April 2027, race Sunday 11 April &middot; Suzuka Circuit</p>","Round 4. Provisional / sakura hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"japanese-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: The purists' race</p>","<p class=""hero-meta"">Format: Round 4 of 24 &middot; sprint weekend &middot; the purists' race</p>","Japan is a sprint event in 2027"
"japanese-grand-prix-2027.html","body copy","Drivers' favourite circuit, fans like nowhere else, and &mdash; if the slot holds &mdash; cherry blossom season. The trip writes itself: Suzuka plus Kyoto in bloom is the single most beautiful itinerary on the F1 calendar.","Drivers' favourite circuit, fans like nowhere else, and a confirmed 9&ndash;11 April weekend. The trip writes itself: Suzuka plus Kyoto in April is the single most beautiful itinerary on the F1 calendar.","Blossom promise removed - bloom timing varies year to year; dependency logged"
"japanese-grand-prix-2027.html","hotel copy","If the 2027 slot holds in blossom season, this is where the trip is won.","With the 2027 round confirmed for 9&ndash;11 April, this is where the trip is won.","Blossom promise removed"
"japanese-grand-prix-2027.html","hotel copy","Ritz-Carlton/Hoshinoya &mdash; sakura season if the slot holds; THE headline pairing","Ritz-Carlton/Hoshinoya &mdash; Kyoto in April; THE headline pairing","Blossom promise removed"
"japanese-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Late March/early April</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">9&ndash;11 April 2027</p>","Confirmed weekend"
"japanese-grand-prix-2027.html","FAQ / climate note","Late March/early April: 8&ndash;17&deg;C","Early&ndash;mid April: 8&ndash;17&deg;C","Label matched to confirmed April slot"
"japanese-grand-prix-2027.html","JSON-LD FAQ","""text"": ""Late March/early April: 8–17°C","""text"": ""Early–mid April: 8–17°C","Label matched to confirmed April slot"
"chinese-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-03-26"",""endDate"":""2027-03-28""","""startDate"":""2027-04-16"",""endDate"":""2027-04-18""","Was 26-28 Mar 2027; official weekend is 16-18 Apr 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"chinese-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Shanghai, China &middot; 2027 provisional &mdash; expect March slot &middot; Shanghai International Circuit</p>","<p class=""hero-sub"">Shanghai, China &middot; 16&ndash;18 April 2027, race Sunday 18 April &middot; Shanghai International Circuit</p>","Round 5. ""expect March slot"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"chinese-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional sprint candidate</p>","<p class=""hero-meta"">Format: Round 5 of 24 &middot; conventional race weekend (no sprint)</p>","Shanghai is NOT a 2027 sprint event; speculative sprint claim removed"
"chinese-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">March Shanghai</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">16&ndash;18 April 2027, Shanghai</p>","Confirmed weekend"
"chinese-grand-prix-2027.html","at a glance / climate","<p class=""cl-v"">8&ndash;16&deg;C</p><p class=""cl-n"">8&ndash;16&deg;C, damp &mdash; coats and layers.</p>","<p class=""cl-v"">Changeable</p><p class=""cl-n"">Shanghai in April: changeable and often damp &mdash; coats and layers. Temperature guidance is being reconfirmed for the April slot.</p>","March figures no longer apply to an April race; dependency logged"
"chinese-grand-prix-2027.html","JSON-LD FAQ","""text"": ""March Shanghai: 8–16°C, damp — coats and layers.""","""text"": ""Shanghai in April: changeable and often damp — coats and layers. Temperature guidance is being reconfirmed for the April slot.""","Pack answer no longer cites March figures"
"chinese-grand-prix-2027.html","FAQ","<p>March Shanghai: 8&ndash;16&deg;C, damp &mdash; coats and layers.</p>","<p>Shanghai in April: changeable and often damp &mdash; coats and layers. Temperature guidance is being reconfirmed for the April slot.</p>","Pack answer no longer cites March figures"
"miami-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-05-07"",""endDate"":""2027-05-09""","""startDate"":""2027-04-30"",""endDate"":""2027-05-02""","Was 7-9 May 2027; official weekend is 30 Apr-2 May 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"miami-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Miami, USA &middot; 2027 provisional &mdash; expect early May slot &middot; Miami International Autodrome, Hard Rock Stadium</p>","<p class=""hero-sub"">Miami, USA &middot; 30 April &ndash; 2 May 2027, race Sunday 2 May &middot; Miami International Autodrome, Hard Rock Stadium</p>","Round 6. ""expect early May slot"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"miami-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional sprint candidate</p>","<p class=""hero-meta"">Format: Round 6 of 24 &middot; conventional race weekend (no sprint)</p>","Miami is NOT a 2027 sprint event; speculative sprint claim removed"
"miami-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Early May Miami</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">30 April &ndash; 2 May 2027, Miami</p>","Confirmed weekend"
"miami-grand-prix-2027.html","FAQ / climate note","Early May Miami: 30&deg;C","Late April into early May, Miami: 30&deg;C","Label matched to confirmed weekend"
"miami-grand-prix-2027.html","JSON-LD FAQ","""text"": ""Early May Miami: 30°C","""text"": ""Late April into early May, Miami: 30°C","Label matched to confirmed weekend"
"canadian-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-05-28"",""endDate"":""2027-05-30""","""startDate"":""2027-05-21"",""endDate"":""2027-05-23""","Was 28-30 May 2027; official weekend is 21-23 May 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"canadian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Montréal, Canada &middot; 2027 provisional &mdash; expect late May slot (moved earlier from 2026) &middot; Circuit Gilles Villeneuve, Île Notre-Dame</p>","<p class=""hero-sub"">Montréal, Canada &middot; 21&ndash;23 May 2027, race Sunday 23 May &middot; Circuit Gilles Villeneuve, Île Notre-Dame</p>","Round 7. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"canadian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional sprint candidate</p>","<p class=""hero-meta"">Format: Round 7 of 24 &middot; sprint weekend</p>","Montreal is a confirmed 2027 sprint event"
"canadian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Late May Montréal</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">21&ndash;23 May 2027, Montréal</p>","Confirmed weekend"
"canadian-grand-prix-2027.html","FAQ / climate note","Late May Montréal: 15&ndash;24&deg;C","Late May, Montréal: 15&ndash;24&deg;C","Wording tidy"
"monaco-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">2027 dates provisional <i></i> Circuit de Monaco <i></i> Monte Carlo, Monaco</p>","<p class=""hero-meta"">4&ndash;6 June 2027 <i></i> Circuit de Monaco <i></i> Monte Carlo, Monaco</p>","Round 8, confirmed weekend. Official 2027 F1 calendar announced 16 Sep 2026"
"monaco-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Race weekend: expect the first week of June &mdash; 2027 calendar to be confirmed</p>","<p class=""hero-meta"">Race weekend: Friday 4 &ndash; Sunday 6 June 2027 &middot; Round 8 of 24 &middot; sprint weekend</p>","""calendar to be confirmed"" removed; Monaco carries a sprint for the first time in 2027"
"monaco-grand-prix-2027.html","at a glance / race weekend rhythm","<div class=""glance-row""><span class=""glance-k"">Thursday</span><span class=""glance-v"">Practice &middot; the traditional Monaco running day</span></div>         <div class=""glance-row""><span class=""glance-k"">Friday</span><span class=""glance-v"">No track action &middot; the Principality at its best</span></div>         <div class=""glance-row""><span class=""glance-k"">Saturday</span><span class=""glance-v"">Practice &middot; qualifying &mdash; the decisive session</span></div>         <div class=""glance-row""><span class=""glance-k"">Sunday</span><span class=""glance-v"">Grand Prix</span></div>","<div class=""glance-row""><span class=""glance-k"">Weekend</span><span class=""glance-v"">Friday 4 &ndash; Sunday 6 June 2027 &middot; sprint weekend</span></div>         <div class=""glance-row""><span class=""glance-k"">Friday</span><span class=""glance-v"">Practice &middot; sprint qualifying</span></div>         <div class=""glance-row""><span class=""glance-k"">Saturday</span><span class=""glance-v"">Sprint race &middot; Grand Prix qualifying</span></div>         <div class=""glance-row""><span class=""glance-k"">Sunday</span><span class=""glance-v"">Grand Prix</span></div>         <div class=""glance-row""><span class=""glance-k"">Timetable</span><span class=""glance-v"">Session times confirmed on release</span></div>","Thursday-practice / Friday-no-track-action rhythm is wrong for 2027: Monaco is a sprint weekend. Exact session times are a content dependency."
"portuguese-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-09-10"",""endDate"":""2027-09-12""","""startDate"":""2027-06-18"",""endDate"":""2027-06-20""","Was 10-12 Sep 2027; official weekend is 18-20 Jun 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"portuguese-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Portimão, Portugal &middot; 2027 provisional &mdash; slot TBC on autumn announcement &middot; Autódromo Internacional do Algarve, Portimão</p>","<p class=""hero-sub"">Portimão, Portugal &middot; 18&ndash;20 June 2027, race Sunday 20 June &middot; Autódromo Internacional do Algarve, Portimão</p>","Round 9 confirmed. ""slot TBC on autumn announcement"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"portuguese-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Returning venue — first Portuguese GP since 2021</p>","<p class=""hero-meta"">Format: Round 9 of 24 &middot; conventional race weekend (no sprint) &middot; first Portuguese GP since 2021</p>","Portugal is a confirmed round and not a sprint event"
"portuguese-grand-prix-2027.html","at a glance / climate","<div class=""cl""><p class=""cl-k"">Typical temperature</p>","<div class=""cl""><p class=""cl-k"">Race slot</p><p class=""cl-v"">18&ndash;20 June 2027</p><p class=""cl-n"">Historical seasonal guidance for this point in the calendar, not a forecast.</p></div>       <div class=""cl""><p class=""cl-k"">Typical temperature</p>","Race slot row added now the round is confirmed"
"portuguese-grand-prix-2027.html","at a glance / climate + FAQ","Algarve sunshine near-guaranteed; pack for 24&ndash;30&deg;C if the slot lands spring/autumn as expected.","Algarve sunshine near-guaranteed; 24&ndash;30&deg;C is the historical guide for the confirmed late-June slot.","Conditional ""if the slot lands spring/autumn"" removed (2 occurrences)"
"portuguese-grand-prix-2027.html","JSON-LD FAQ","""text"": ""Algarve sunshine near-guaranteed; pack for 24–30°C if the slot lands spring/autumn as expected.""","""text"": ""Algarve sunshine near-guaranteed; 24–30°C is the historical guide for the confirmed late-June slot.""","Conditional removed"
"british-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-07-09"",""endDate"":""2027-07-11""","""startDate"":""2027-07-02"",""endDate"":""2027-07-04""","Was 9-11 Jul 2027; official weekend is 2-4 Jul 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"british-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Silverstone, England &middot; 2027 provisional &mdash; expect early July slot &middot; Silverstone Circuit</p>","<p class=""hero-sub"">Silverstone, England &middot; 2&ndash;4 July 2027, race Sunday 4 July &middot; Silverstone Circuit</p>","Round 10. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"british-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional sprint candidate; the home race</p>","<p class=""hero-meta"">Format: Round 10 of 24 &middot; sprint weekend &middot; the home race</p>","Silverstone is a confirmed 2027 sprint event"
"british-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">July in Northamptonshire</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">2&ndash;4 July 2027, Northamptonshire</p>","Confirmed weekend"
"austrian-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-06-25"",""endDate"":""2027-06-27""","""startDate"":""2027-07-09"",""endDate"":""2027-07-11""","Was 25-27 Jun 2027; official weekend is 9-11 Jul 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"austrian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Spielberg, Austria &middot; 2027 provisional &mdash; expect late June/early July slot &middot; Red Bull Ring, Styria</p>","<p class=""hero-sub"">Spielberg, Austria &middot; 9&ndash;11 July 2027, race Sunday 11 July &middot; Red Bull Ring, Styria</p>","Round 11. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"austrian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional sprint candidate</p>","<p class=""hero-meta"">Format: Round 11 of 24 &middot; conventional race weekend (no sprint)</p>","Red Bull Ring is NOT a 2027 sprint event; speculative sprint claim removed"
"austrian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Alpine summer</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">9&ndash;11 July 2027, Spielberg</p>","Confirmed weekend"
"belgian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Spa-Francorchamps, Belgium &middot; 2027 provisional &mdash; expect mid&ndash;late July slot &middot; Circuit de Spa-Francorchamps</p>","<p class=""hero-sub"">Spa-Francorchamps, Belgium &middot; 23&ndash;25 July 2027, race Sunday 25 July &middot; Circuit de Spa-Francorchamps</p>","Round 12. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"belgian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Provisional rotation-era classic</p>","<p class=""hero-meta"">Format: Round 12 of 24 &middot; conventional race weekend (no sprint)</p>","Spa is on the 2027 calendar and is not a sprint event"
"belgian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Spa microclimate</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">23&ndash;25 July 2027, Spa</p>","Confirmed weekend"
"hungarian-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Budapest, Hungary &middot; 2027 provisional &mdash; expect late July/early August slot &middot; Hungaroring</p>","<p class=""hero-sub"">Budapest, Hungary &middot; 30 July &ndash; 1 August 2027, race Sunday 1 August &middot; Hungaroring</p>","Round 13. Provisional hedge removed. Official 2027 F1 calendar announced 16 Sep 2026"
"hungarian-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Summer-break closer</p>","<p class=""hero-meta"">Format: Round 13 of 24 &middot; conventional race weekend (no sprint) &middot; summer-break closer</p>","Hungaroring is not a 2027 sprint event"
"hungarian-grand-prix-2027.html","at a glance / climate","<p class=""cl-k"">Race slot</p><p class=""cl-v"">Late July Budapest</p>","<p class=""cl-k"">Race slot</p><p class=""cl-v"">30 July &ndash; 1 August 2027, Budapest</p>","Confirmed weekend"
"turkish-grand-prix-2027.html","JSON-LD SportsEvent","""startDate"":""2027-09-24"",""endDate"":""2027-09-26""","""startDate"":""2027-10-01"",""endDate"":""2027-10-03""","Was 24-26 Sep 2027; official weekend is 1-3 Oct 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"turkish-grand-prix-2027.html","hero-sub","<p class=""hero-sub"">Istanbul, Türkiye &middot; 2027 provisional &mdash; slot TBC on autumn announcement &middot; Istanbul Park</p>","<p class=""hero-sub"">Istanbul, Türkiye &middot; 1&ndash;3 October 2027, race Sunday 3 October &middot; Istanbul Park</p>","Round 17 confirmed. ""slot TBC on autumn announcement"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"turkish-grand-prix-2027.html","hero-meta","<p class=""hero-meta"">Format: Returning venue — home of Turn 8</p>","<p class=""hero-meta"">Format: Round 17 of 24 &middot; conventional race weekend (no sprint) &middot; home of Turn 8</p>","Türkiye is a confirmed round and not a sprint event"
"turkish-grand-prix-2027.html","at a glance / climate","<div class=""cl""><p class=""cl-k"">Typical temperature</p>","<div class=""cl""><p class=""cl-k"">Race slot</p><p class=""cl-v"">1&ndash;3 October 2027</p><p class=""cl-n"">Historical seasonal guidance for this point in the calendar, not a forecast.</p></div>       <div class=""cl""><p class=""cl-k"">Typical temperature</p>","Race slot row added now the round is confirmed"
"turkish-grand-prix-2027.html","FAQ / climate note","Istanbul is season-dependent pending the slot; assume 20&ndash;28&deg;C spring/autumn.","Istanbul in early October: 20&ndash;28&deg;C on the autumn guide.","""season-dependent pending the slot"" removed (2 occurrences)"
"turkish-grand-prix-2027.html","JSON-LD FAQ","""text"": ""Istanbul is season-dependent pending the slot; assume 20–28°C spring/autumn.","""text"": ""Istanbul in early October: 20–28°C on the autumn guide.","""pending the slot"" removed"
"bahrain-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Merchant House or Wyndham Grand Manama (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Race-day shuttle and taxi guidance</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"bahrain-grand-prix-2027.html","package card: premium-bahrain","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (covered, opposite pits), 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand (covered, opposite pits), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Ritz-Carlton Bahrain (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Club Level</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"bahrain-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Bahrain International Circuit hospitality suites over the pit straight</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive (confirm 2027 product names on release); private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Bahrain International Circuit hospitality suites over the pit straight, all-inclusive (2027 product names confirmed on release)</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Ritz-Carlton Bahrain (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King / Club Level</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"bahrain-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Transfers</dt><dd>Official Team Hospitality with your preferred team; Four Seasons Bahrain Bay; full private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Four Seasons Bahrain Bay (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Bay View King / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"saudi-arabian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand complex, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand complex, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Shangri-La Jeddah (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Sea View King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Circuit shuttles</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
