page,location,before,after,reason
"formula-one/british-grand-prix","things-to-do card","heading: Bicester Village for the internationally-minded","heading: Bicester Village | added description: The designer outlet village near Bicester, well over a hundred boutiques, is an easy drive from Silverstone. We arrange a driver and personal shopping appointments.","note-style heading; card had no description"
"formula-one/british-grand-prix","things-to-do card","heading: Oxford colleges afternoon"," | added description: Walk the colleges, quads and the Bodleian with a Blue Badge guide, then finish with a drink at one of the city’s old pubs.","card had no description"
"formula-one/chinese-grand-prix","things-to-do card","heading: The Bund at night and Pudong observation decks"," | added description: Walk the Bund’s historic waterfront after dark, with the Pudong skyline lit up across the river, then see the city from the observation deck of the Shanghai Tower.","card had no description"
"formula-one/chinese-grand-prix","things-to-do card","heading: Yu Garden and the old town tea houses"," | added description: A Ming-dynasty classical garden in the old city, with the Huxinting tea house on its lake alongside. Go early, before the crowds.","card had no description"
"formula-one/chinese-grand-prix","things-to-do card","heading: Xintiandi and Found 158 dining"," | added description: The restored shikumen lanes of Xintiandi and the sunken courtyard of Found 158 are two of the city’s liveliest places to eat and drink in the evening.","card had no description"
"formula-one/chinese-grand-prix","things-to-do card","heading: Zhujiajiao water town half-day"," | added description: An old canal town on the western edge of Shanghai, about an hour by car, with stone bridges, boat rides and waterside tea houses.","card had no description"
"formula-one/hungarian-grand-prix","things-to-do card","heading: Danube dinner cruise past the Parliament lit up","heading: Danube dinner cruise | added description: A dinner cruise on the Danube passes the floodlit Parliament, the Chain Bridge and Buda Castle — the best way to see the city’s riverfront at night.","note-style heading; card had no description"
"formula-one/hungarian-grand-prix","things-to-do card","heading: Fisherman's Bastion and Buda Castle at golden hour"," | added description: Climb to the terraces of Fisherman’s Bastion on Castle Hill for the view across the Danube to Parliament, then walk the castle district as the evening light turns gold.","card had no description"
"formula-one/italian-grand-prix","things-to-do card","heading: Duomo rooftop and Galleria Vittorio Emanuele II"," | added description: Walk among the spires on the cathedral’s rooftop terraces, then step next door into the Galleria, the nineteenth-century glass-roofed arcade, for coffee.","card had no description"
"formula-one/italian-grand-prix","things-to-do card","heading: San Siro tour or a Serie A fixture if the calendar aligns","heading: San Siro stadium tour | added description: Tour San Siro, home of AC Milan and Inter, and its museum. If the fixture list allows, we can arrange tickets for a Serie A match instead.","note-style heading; card had no description"
"formula-one/malaysian-grand-prix","things-to-do card","heading: Petronas Towers skybridge and KLCC at night"," | added description: Cross the skybridge between the twin towers and go on up to the observation deck. After dark, the towers and the KLCC park fountains are at their best.","card had no description"
"formula-one/malaysian-grand-prix","things-to-do card","heading: Jalan Alor street food and Chinatown's Petaling Street"," | added description: Jalan Alor in Bukit Bintang is Kuala Lumpur’s best-known street-food strip after dark. Petaling Street in Chinatown is the place for a market walk.","card had no description"
"formula-one/malaysian-grand-prix","things-to-do card","heading: Batu Caves at dawn before the heat"," | added description: The Hindu temple caves north of the city are reached by 272 brightly painted steps beneath a giant golden statue of Lord Murugan. Go early, before the heat.","card had no description"
"formula-one/miami-grand-prix","things-to-do card","heading: South Beach, Ocean Drive and the Wynwood Walls"," | added description: The Art Deco hotels of Ocean Drive and the sand of South Beach, then the open-air murals of the Wynwood Walls on the mainland.","card had no description"
"formula-one/miami-grand-prix","things-to-do card","heading: Joe's Stone Crab (season permitting) and Little Havana's Calle Ocho","heading: Joe’s Stone Crab and Little Havana | added description: Joe’s has been a South Beach institution since 1913. Florida’s stone crab season closes in early May, so whether it is on the menu depends on the race date. In Little Havana, Calle Ocho is the place for Cuban coffee and cigars.","note-style heading; card had no description"
"formula-one/qatar-grand-prix","things-to-do card","heading: Museum of Islamic Art and the National Museum (the desert-rose building)","heading: Museum of Islamic Art and the National Museum of Qatar | added description: I. M. Pei’s Museum of Islamic Art stands on its own island off the Corniche. Jean Nouvel’s National Museum of Qatar is built in the form of a desert rose.","note-style heading; card had no description"
"formula-one/qatar-grand-prix","things-to-do card","heading: Katara Cultural Village and the Corniche promenade"," | added description: Katara’s galleries, amphitheatre and beach restaurants, then an evening walk along the Corniche, Doha’s bayfront promenade.","card had no description"
"formula-one/sao-paulo-grand-prix","things-to-do card","heading: Beco do Batman street art and Vila Madalena bars"," | added description: The mural-covered alleys of Beco do Batman sit in Vila Madalena, São Paulo’s liveliest bar district. Come for the street art in the afternoon and stay for a caipirinha.","card had no description"
"formula-one/sao-paulo-grand-prix","things-to-do card","heading: Ibirapuera Park and MASP on Paulista"," | added description: Ibirapuera is the city’s great park, with museum buildings by Oscar Niemeyer. On Avenida Paulista, the São Paulo Museum of Art, raised on red concrete beams, holds one of Latin America’s finest collections of European art.","card had no description"
"formula-one/sao-paulo-grand-prix","things-to-do card","heading: Steak at Fogo de Chão origin territory","heading: Churrasco and A Casa do Porco","note-style heading"
"formula-one/saudi-arabian-grand-prix","things-to-do card","heading: King Fahd Fountain and corniche promenade"," | added description: King Fahd’s Fountain sends its jet high over the Red Sea off Jeddah’s corniche. The waterfront promenade is at its best in the evening, when the heat eases.","card had no description"
"formula-one/saudi-arabian-grand-prix","things-to-do card","heading: Red Sea diving/day cruise","heading: Red Sea diving and day cruises | added description: The reefs off Jeddah are within easy reach by boat. We arrange a private boat for a day of snorkelling or diving, with lunch on board.","note-style heading; card had no description"
"formula-one/saudi-arabian-grand-prix","things-to-do card","heading: Race-week concerts (MDLBEAST programming)","heading: Race-week concerts","note-style heading"
"formula-one/singapore-grand-prix","things-to-do card","heading: Gardens by the Bay light show and Marina Bay Sands SkyPark"," | added description: The Garden Rhapsody light and sound show plays among the Supertrees each evening. For the view over the bay, go up to the SkyPark observation deck at Marina Bay Sands.","card had no description"
"formula-one/turkish-grand-prix","things-to-do card","heading: Grand Bazaar and Spice Bazaar with a shopping fixer","heading: Grand Bazaar and Spice Bazaar with a guide | added description: A private guide takes you through the Grand Bazaar’s covered lanes to the carpet, ceramics and jewellery dealers worth knowing, then on to the Spice Bazaar by the Golden Horn.","note-style heading; card had no description"
"formula-one/mexico-city-grand-prix","things-to-do card","heading: Teotihuacán pyramids at sunrise; Frida Kahlo's Casa Azul (pre-book)","heading: Teotihuacán at sunrise and Frida Kahlo’s Casa Azul","note-style heading"
"luxury-travel/villas","things-to-do card","heading: Privacy-sensitive clients","heading: Privacy and discretion","note-style heading"
"formula-one/sao-paulo-grand-prix","things-to-do card","body: Plus A Casa do Porco, a regular on the world’s best restaurant lists, if a table can be booked.","body: São Paulo is a great steak city… A Casa do Porco is a regular on the world’s best restaurant lists; we book ahead where a table can be had.","fragment; heading changed from Fogo de Chão origin territory (Fogo de Chão originated in Rio Grande do Sul)"
"formula-one/austrian-grand-prix","hotel card heading","Falkensteiner / G'Schlössl Murtal","G'Schlössl Murtal","note-style heading; photos and copy are G'Schlössl Murtal. Package line still says Falkensteiner / G'Schlössl — client to confirm which Falkensteiner property, if any"
