page,card_heading,old_src,action,new_file,alt,credit,licence,source_url,image_url,reason
"/formula-one/mexico-city-grand-prix","Lucha libre at Arena México","/assets/img/sports/other-sports/index/other-sports-band-01.jpg","replaced","/assets/img/sourced/mexico-city-grand-prix/lucha-libre-arena-mexico-01.jpg","A lucha libre bout under coloured lights inside Arena México, Mexico City","Luisalvaz","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Combate_en_la_Arena_M%C3%A9xico_en_el_5to_Encuentro_WikiEducaci%C3%B3_27.jpg","https://upload.wikimedia.org/wikipedia/commons/9/96/Combate_en_la_Arena_M%C3%A9xico_en_el_5to_Encuentro_WikiEducaci%C3%B3_27.jpg","Boxing night in a US arena, not lucha libre / Arena México"
"/formula-one/miami-grand-prix","South Beach, Ocean Drive and the Wynwood Walls","/assets/img/destinations/florida/florida-01.jpg","replaced","/assets/img/sourced/miami-grand-prix/wynwood-walls-01.jpg","The entrance sign and murals of the Wynwood Walls, Miami","Dan Lundberg","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Wynwood_Walls_Miami_Florida_October_2013.jpg","https://upload.wikimedia.org/wikipedia/commons/9/94/Wynwood_Walls_Miami_Florida_October_2013.jpg","Unidentifiable palm-lined beach - not recognisably South Beach/Ocean Drive/Wynwood"
"/formula-one/monaco-grand-prix","Casino de Monte-Carlo","/assets/img/luxury/europe/france/france-band-01.jpg","replaced","/assets/img/sourced/monaco-grand-prix/casino-de-monte-carlo-01.jpg","The ornate façade and glass canopy of the Casino de Monte-Carlo, Monaco","Miguel Mendez","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Monte_Carlo_Casino_(46940444965).jpg","https://upload.wikimedia.org/wikipedia/commons/7/7c/Monte_Carlo_Casino_%2846940444965%29.jpg","Night aerial of Monaco; the Casino is not the subject"
"/formula-one/monaco-grand-prix","Dinner, booked early","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/monaco-grand-prix/hotel-de-paris-01.jpg","The Belle Époque façade of the Hôtel de Paris on Place du Casino, Monte-Carlo","Jorge Láscar from Australia","CC BY 2.0","https://commons.wikimedia.org/wiki/File:H%C3%B4tel_de_Paris_Monte-Carlo_(50326791071).jpg","https://upload.wikimedia.org/wikipedia/commons/7/7b/H%C3%B4tel_de_Paris_Monte-Carlo_%2850326791071%29.jpg","Roland-Garros hospitality dining room"
"/formula-one/portuguese-grand-prix","Benagil caves and coastal boat day","/assets/img/destinations/portugal/portugal-01.jpg","replaced","/assets/img/sourced/portuguese-grand-prix/benagil-cave-01.jpg","Inside the Benagil sea cave, with its domed roof and small beach, Algarve","Joseolgon","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Benagil_Cave_(3).jpg","https://upload.wikimedia.org/wikipedia/commons/1/15/Benagil_Cave_%283%29.jpg","Algarve cliffs and beach, not the Benagil cave"
"/formula-one/sao-paulo-grand-prix","Steak at Fogo de Chão origin territory","/assets/img/sports/f1/austin/austin-city-barbecue.jpg","removed","","","","","","","Texas barbecue platter from the Austin page"
"/formula-one/sao-paulo-grand-prix","Football","/assets/img/sports/football/index/football-hero-02.jpg","replaced","/assets/img/sourced/sao-paulo-grand-prix/neo-quimica-arena-match-01.jpg","Corinthians and Santos in action in front of a full crowd at the Neo Química Arena, São Paulo","SOCCER DIGITAL","Public domain","https://commons.wikimedia.org/wiki/File:S%C3%89RIE_A_-_CORINTHIANS_0_X_0_SANTOS_FC_-_52173241901.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0a/S%C3%89RIE_A_-_CORINTHIANS_0_X_0_SANTOS_FC_-_52173241901.jpg","Unidentified floodlit stadium bowl - not Morumbi/Neo Química Arena"
"/formula-one/saudi-arabian-grand-prix","Red Sea diving/day cruise","/assets/img/sports/rugby/rugby-world-cup-2027/rugby-world-cup-section-extend.jpg","replaced","/assets/img/sourced/saudi-arabian-grand-prix/red-sea-coral-jeddah-01.jpg","Sunlight over a coral reef in the Red Sea north of Jeddah, Saudi Arabia","Saudi Press Agency (SPA)","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:%D8%B4%D8%B9%D8%A7%D8%A8_%D9%85%D8%B1%D8%AC%D8%A7%D9%86%D9%8A%D8%A9_%D8%A8%D9%83%D9%87%D9%88%D9%81_%22%D8%A3%D8%A8%D9%88_%D9%85%D8%AF%D8%A7%D9%81%D8%B9%22_%D8%B4%D9%85%D8%A7%D9%84_%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9_%D8%AC%D8%AF%D8%A9_(2025).jpg","https://upload.wikimedia.org/wikipedia/commons/0/02/%D8%B4%D8%B9%D8%A7%D8%A8_%D9%85%D8%B1%D8%AC%D8%A7%D9%86%D9%8A%D8%A9_%D8%A8%D9%83%D9%87%D9%88%D9%81_%22%D8%A3%D8%A8%D9%88_%D9%85%D8%AF%D8%A7%D9%81%D8%B9%22_%D8%B4%D9%85%D8%A7%D9%84_%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9_%D8%AC%D8%AF%D8%A9_%282025%29.jpg","Aerial of a coral cay (Great Barrier Reef-style image from the Rugby World Cup page)"
"/formula-one/saudi-arabian-grand-prix","Race-week concerts (MDLBEAST programming)","/assets/img/sports/f1/austin/austin-city-live-music.jpg","removed","","","","","","","Austin music-venue interior"
"/formula-one/singapore-grand-prix","The concerts","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/singapore-grand-prix/padang-concert-stage-01.jpg","A band on the Padang concert stage during the Singapore Grand Prix weekend","Chinnian","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:F1_Rocks_Singapore.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5e/F1_Rocks_Singapore.jpg","Austin music-venue interior"
"/formula-one/singapore-grand-prix","Hawker-to-Michelin dining","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/singapore-grand-prix/lau-pa-sat-satay-street-01.jpg","Diners at the satay stalls outside Lau Pa Sat hawker centre at night, Singapore","kallerna","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Satay_Street_Lau_Pa_Sat_Singapore.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Satay_Street_Lau_Pa_Sat_Singapore.jpg","Roland-Garros hospitality dining room"
"/sports-travel/cricket/england-tour-of-south-africa-2026-27","The Garden Route","/assets/img/hotels/birkenhead-house/birkenhead-house-ext-01.jpg","replaced","/assets/img/sourced/england-tour-of-south-africa-2026-27/knysna-heads-01.jpg","The Knysna Heads and the lagoon mouth on a clear day, Garden Route, South Africa","Ad Meskens","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Knysna_Heads_01.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0f/Knysna_Heads_01.jpg","Birkenhead House, Hermanus (Whale Coast) - not the Garden Route"
"/sports-travel/cricket/the-ashes-2027","Test Match Day","/assets/img/sports/football/index/football-hero-03.jpg","replaced","/assets/img/sourced/the-ashes-2027/edgbaston-ashes-test-01.jpg","An England batter drives during an Ashes Test against Australia at Edgbaston","Gareth Williams from Redhill, England","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Edgbaston_E_v_A_2009_-_Flintoff_Drives_Through_Mid-On_(3851685579).jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Edgbaston_E_v_A_2009_-_Flintoff_Drives_Through_Mid-On_%283851685579%29.jpg","Black-and-white football floodlight"
"/sports-travel/cricket/the-ashes-2027","Ashes Series Journey","/assets/img/sports/f1/british-grand-prix-2027/f1-british-section-hotels.jpg","replaced","/assets/img/sourced/the-ashes-2027/headingley-ashes-test-01.jpg","England and Australia in play at Headingley during an Ashes Test","Ben Sutherland","CC BY 2.0","https://commons.wikimedia.org/wiki/File:3rd_2019_Ashes_Test_at_Headingley.jpg","https://upload.wikimedia.org/wikipedia/commons/0/08/3rd_2019_Ashes_Test_at_Headingley.jpg","Hilton Garden Inn at Silverstone (F1 hotel)"
"/sports-travel/cricket/the-ashes-2027","A London weekend","/assets/img/sports/tennis/wimbledon-2027/wimbledon-package-finals.jpg","replaced","/assets/img/sourced/the-ashes-2027/shaftesbury-avenue-theatres-01.jpg","The Lyric and Apollo theatres on Shaftesbury Avenue in London's West End","Bryn Holmes","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Lyric_Theatre_and_Apollo_Theatre,_Shaftesbury_Avenue_-_geograph.org.uk_-_7405934.jpg","https://upload.wikimedia.org/wikipedia/commons/2/23/Lyric_Theatre_and_Apollo_Theatre%2C_Shaftesbury_Avenue_-_geograph.org.uk_-_7405934.jpg","Entrance of an unnamed hotel (Wimbledon package image) - not identifiable as London"
"/sports-travel/football/euro-2028","Follow Your Nation","/assets/img/sports/football/premier-league-wembley-hospitality/domestic-hero-01.jpg","replaced","/assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-08.jpg","Wembley Stadium pitch and red seating bowl, London, a Euro 2028 venue","client library","client-supplied","client library","","Club fans with scarves in a red-seated ground (Anfield-type), not a Euro 2028 venue"
"/sports-travel/football/euro-2028","Knockout Rounds","/assets/img/sports/football/index/football-hero-02.jpg","replaced","/assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-03.jpg","Principality Stadium pitch beneath the closed roof, Cardiff, a Euro 2028 venue","client library","client-supplied","client library","","Unidentified floodlit stadium bowl, not a named Euro 2028 venue"
"/sports-travel/football/euro-2028","London","/assets/img/sports/tennis/wimbledon-2027/wimbledon-package-finals.jpg","replaced","/assets/img/sourced/euro-2028/thames-from-tower-bridge-01.jpg","The Thames from Tower Bridge, with the Shard and the City of London skyline","APK","CC BY 4.0","https://commons.wikimedia.org/wiki/File:River_Thames_viewed_from_the_Tower_Bridge.jpg","https://upload.wikimedia.org/wikipedia/commons/3/31/River_Thames_viewed_from_the_Tower_Bridge.jpg","Entrance of an unnamed hotel (Wimbledon package image)"
"/sports-travel/football/european-football-breaks","Juventus","/assets/img/destinations/turin/turin-01.jpg","replaced","/assets/img/sourced/european-football-breaks/allianz-stadium-juventus-01.jpg","A floodlit match at the Allianz Stadium, home of Juventus, in Turin","Snowdog","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:UWCL_Juventus_-_Chelsea_13-10-2021.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a2/UWCL_Juventus_-_Chelsea_13-10-2021.jpg","Turin skyline and the Alps - no Juventus/stadium"
"/sports-travel/other-sports/boxing","Fight Hospitality","/assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","replaced","/assets/img/sports/library/other-sports-boxing/other-sports-boxing-01.jpg","Ryan Garcia punches Conor Benn in their WBC welterweight championship bout","client library","client-supplied","client library","","Augusta Masters ""Map & Flag"" dining room"
"/sports-travel/other-sports/boxing","Fight Week","/assets/img/hotels/the-peninsula-new-york/the-peninsula-new-york-ext-01.jpg","replaced","/assets/img/sourced/boxing/weigh-in-mgm-grand-01.jpg","Manny Pacquiao on the scales at the official weigh-in at the MGM Grand, Las Vegas","rcelis","CC0","https://commons.wikimedia.org/wiki/File:Manny_Pacquiao_weigh-in.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8c/Manny_Pacquiao_weigh-in.jpg","Bar of The Peninsula New York - stand-in hotel interior, not fight week"
"/sports-travel/other-sports/boxing","Las Vegas shows","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/las-vegas-grand-prix/colosseum-caesars-palace-01.jpg","The Colosseum theatre at Caesars Palace lit up at night, Las Vegas","Supercarwaar","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","Austin music-venue interior"
"/sports-travel/other-sports/boxing","Dinner on the Strip","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/las-vegas-grand-prix/strip-night-01.jpg","The Las Vegas Strip at night, with casino signs and the Paris Las Vegas Eiffel Tower","Dietmar Rabich","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Las_Vegas_(Nevada,_USA),_The_Strip_--_2012_--_6232.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a1/Las_Vegas_%28Nevada%2C_USA%29%2C_The_Strip_--_2012_--_6232.jpg","Roland-Garros hospitality dining room"
"/sports-travel/other-sports/darts","London at Christmas","/assets/img/sports/tennis/wimbledon-2027/wimbledon-package-finals.jpg","replaced","/assets/img/sourced/darts/regent-street-christmas-lights-01.jpg","An illuminated angel from the Regent Street Christmas lights, London","Robert Lamb","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Looking_up_at_one_of_the_angel_decorations_on_Regent_Street_-_geograph.org.uk_-_7679632.jpg","https://upload.wikimedia.org/wikipedia/commons/2/23/Looking_up_at_one_of_the_angel_decorations_on_Regent_Street_-_geograph.org.uk_-_7679632.jpg","Entrance of an unnamed hotel (Wimbledon package image)"
"/sports-travel/rugby/six-nations","Hospitality Weekend","/assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","replaced","/assets/img/sports/library/rugby-six-nations/rugby-six-nations-01.jpg","Antoine Dupont lifts the 2026 Six Nations Championship trophy flanked by his France teammates","client library","client-supplied","client library","","Augusta Masters ""Map & Flag"" dining room"
"/sports-travel/us-sports/mlb","Ballpark Tour","/assets/img/luxury/north-america/index/north-america-destination-new-york.jpg","replaced","/assets/img/sourced/mlb/wrigley-field-01.jpg","Fans in the stands at Wrigley Field during a Chicago Cubs game","TaylorSteiner","CC0","https://commons.wikimedia.org/wiki/File:Wrigley_Field_Panorama.jpg","https://upload.wikimedia.org/wikipedia/commons/0/04/Wrigley_Field_Panorama.jpg","Terrace/pool of a New York hotel - not a ballpark"
"/sports-travel/us-sports/mlb","Boston","/assets/img/luxury/north-america/new-england/new-england-about-01.jpg","replaced","/assets/img/sourced/mlb/boston-skyline-charles-01.jpg","The Boston skyline and Back Bay lit up at night across the Charles River","Archon Fung (Arfung at en.wikipedia)","Public domain","https://commons.wikimedia.org/wiki/File:Boston_Skyline,_as_Seen_From_Cambridge.JPG","https://upload.wikimedia.org/wikipedia/commons/3/3a/Boston_Skyline%2C_as_Seen_From_Cambridge.JPG","Autumn lake and foliage (rural New England), not Boston"
"/sports-travel/us-sports/mlb","A ballpark road trip","/assets/img/sports/us-sports/index/us-sports-league-nfl.jpg","replaced","/assets/img/sourced/mlb/fenway-park-01.jpg","A game in progress at Fenway Park, Boston, with the Green Monster in left field","Rick Dikeman","CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:Fenway_park.jpg","https://upload.wikimedia.org/wikipedia/commons/6/64/Fenway_park.jpg","Denver's NFL stadium exterior - a football stadium"
"/sports-travel/us-sports/nba","Game Night","/assets/img/luxury/north-america/index/north-america-destination-new-york.jpg","replaced","/assets/img/sports/library/nba/nba-02.jpg","Madison Square Garden arena exterior in Midtown Manhattan, New York","client library","client-supplied","client library","","Terrace/pool of a New York hotel"
"/sports-travel/us-sports/nba","Los Angeles","/assets/img/luxury/north-america/index/north-america-destination-california.jpg","replaced","/assets/img/sourced/nba/los-angeles-downtown-01.jpg","Downtown Los Angeles and the city spread below, seen from Griffith Observatory","The Fun Chronicles","CC0","https://commons.wikimedia.org/wiki/File:Griffith_Observatory_Views,_Downtown_Los_Angeles_-_54084191764.jpg","https://upload.wikimedia.org/wikipedia/commons/6/64/Griffith_Observatory_Views%2C_Downtown_Los_Angeles_-_54084191764.jpg","Hotel room with fireplace on a Big Sur-type coast, not Los Angeles"
"/sports-travel/us-sports/nfl","Thanksgiving football","/assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","replaced","/assets/img/sourced/us-sports/thanksgiving-ford-field-01.jpg","The Detroit Lions and Green Bay Packers at the line of scrimmage in the Thanksgiving Day game at Ford Field","Dave Hogg","CC BY 2.0","https://commons.wikimedia.org/wiki/File:DetroitLionsRunningPlay-2007.jpg","https://upload.wikimedia.org/wikipedia/commons/0/06/DetroitLionsRunningPlay-2007.jpg","Roland-Garros hospitality dining room"
"/sports-travel/us-sports/nhl","Game Night","/assets/img/luxury/north-america/index/north-america-destination-new-york.jpg","replaced","/assets/img/sports/library/nba/nba-02.jpg","Madison Square Garden arena exterior in Midtown Manhattan, New York","client library","client-supplied","client library","","Terrace/pool of a New York hotel"
"/sports-travel/us-sports/nhl","Stanley Cup Playoffs","/assets/img/site/entry/entry-stadium-01.jpg","replaced","/assets/img/sourced/nhl/stanley-cup-playoffs-01.jpg","The Washington Capitals and New York Rangers around the goal in a Stanley Cup playoff game","PackaPucksPics","CC BY 2.0","https://commons.wikimedia.org/wiki/File:Holtby_peers_over_a_crowd_(7137931653).jpg","https://upload.wikimedia.org/wikipedia/commons/3/3e/Holtby_peers_over_a_crowd_%287137931653%29.jpg","Empty green stadium seats - generic, no hockey"
"/formula-one/australian-grand-prix","MCG tour","/assets/img/sports/tennis/australian-open-2027/australian-open-band-01.jpg","replaced","/assets/img/sourced/australian-grand-prix/mcg-01.jpg","The Melbourne Cricket Ground from above, with Melbourne Park and Rod Laver Arena in the foreground","Dietmar Rabich","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Melbourne_(AU),_View_from_Eureka_Tower,_Melbourne_Cricket_Ground_--_2019_--_1450.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0d/Melbourne_%28AU%29%2C_View_from_Eureka_Tower%2C_Melbourne_Cricket_Ground_--_2019_--_1450.jpg","Australian Open image: Melbourne Park and the Yarra from above - the MCG is not the subject"
"/sports-travel/other-sports/ufc","Las Vegas shows","/assets/img/sports/f1/austin/austin-city-live-music.jpg","replaced","/assets/img/sourced/las-vegas-grand-prix/colosseum-caesars-palace-01.jpg","The Colosseum theatre at Caesars Palace lit up at night, Las Vegas","Supercarwaar","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2a/Colosseum_at_Caesars_Palace_in_Las_Vegas.jpg","Austin music-venue interior"
