reference,page,image,action,resolution,new_image,notes
"258","darts.html","assets/img/sports/index/sports-hero-02.jpg","Replace","replaced","assets/img/sports/library/other-sports-darts/other-sports-darts-02.jpg","Football-crowd stock under 'The atmosphere is the reason to go' replaced with the library's genuine darts crowd/stage scene. NOTE: this file is now used twice on the page (also the Premier League Night card) - only two genuine darts photographs exist. A third darts crowd photograph would remove the duplication."
"261","darts.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street lights under 'New Year's Eve ... a memorable London trip'. No London imagery in the library. Image removed. NEEDED: London at New Year / Christmas lights."
"262","darts.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-england.jpg","Replace","removed-gap-recorded","","Wembley arch under 'The view from Ally Pally'. No Alexandra Palace photography exists in the repo. Image removed. NEEDED: Alexandra Palace exterior and the view over London."
"272","dutch-grand-prix-2026.html","assets/img/sports/f1/dutch-grand-prix-2026/f1-dutch-package-grandstand-experience.jpg","Quality","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"277","dutch-grand-prix-2026.html","assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-02.jpg","Quality","replaced","assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-04.jpg","The flagged frame is a panning shot in which most of the image (foreground dunes) is motion-blurred. Swapped for the sharp, edge-to-edge Antonelli/Norris on-track frame from the same 2026 Zandvoort library set; caption unchanged."
"279","dutch-grand-prix-2026.html","assets/img/luxury/europe/croatia/croatia-about-01.jpg","Replace","removed-gap-recorded","","Croatian stone harbour village under 'Canal-side Amsterdam'. The only genuine Amsterdam images in the library are the three hotel galleries already used on this same page. Image removed rather than duplicated. NEEDED: an Amsterdam canal / Jordaan street photograph."
"281","dutch-grand-prix-2026.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","removed-gap-recorded","","Galway pub street under ""Haarlem's old town"". No Haarlem imagery in the library. Image removed. NEEDED: Haarlem old town / Grote Markt."
"350","european-football-breaks.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","replaced","assets/img/hotels/mandarin-oriental-madrid/mandarin-oriental-madrid-ext-01.jpg","Old Town Scottsdale under the 'Madrid' city card. Replaced with genuine central-Madrid photography, matching this grid's existing pattern (the Barcelona and Milan cards also use city hotel exteriors). Not used elsewhere on this page."
"351","european-football-breaks.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant reused for 'Munich - beer halls, Marienplatz'. The only Munich asset is the Allianz Arena, which belongs to the Bayern club block. Image removed. NEEDED: Munich beer hall / Marienplatz."
"400","horse-racing.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"401","horse-racing.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"406","horse-racing.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-luxury.jpg","Replace","removed-gap-recorded","","Irish country estate under 'The Cotswolds'. No Cotswolds imagery in the library (Estelle Manor is Oxfordshire, not the Cotswolds, so it was not substituted). Image removed. NEEDED: a Cotswolds village / country pub."
"407","horse-racing.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-hotels.jpg","Replace","removed-gap-recorded","","Ashford Castle, Ireland, under 'Windsor - the castle and the town'. No Windsor imagery in the library. Image removed. NEEDED: Windsor Castle / Windsor town."
"477","japan.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/japan/japan-01.jpg","Verified wrong: the band image is a thatched rock-villa resort on a Vietnamese bay (Six Senses Ninh Van Bay style), reused for Bali, Japan and Thailand. Replaced with the library's genuine Mount Fuji photograph; alt rewritten without naming the lake, which is not confirmed."
"489","japanese-grand-prix-2027.html","assets/img/luxury/asia/japan/japan-hero-01.jpg","Replace","removed-gap-recorded","","Kyoto temple maples under a 'Nagoya' card. The only genuine Nagoya assets are two hotel press photographs (Hilton Nagoya, Nagoya Marriott Associa), which picture a branded hotel rather than the castle. Image removed. NEEDED: Nagoya Castle / Osu or Nishiki izakaya alleys."
"490","japanese-grand-prix-2027.html","assets/img/luxury/asia/japan/japan-about-01.jpg","Replace","removed-gap-recorded","","Arashiyama bamboo grove (Kyoto) under 'Ise Grand Shrine'. No Ise imagery in the library. Image removed. NEEDED: Ise Grand Shrine / Oharaimachi."
"491","japanese-grand-prix-2027.html","assets/img/sports/f1/index/f1-hero-01.jpg","Replace","removed-gap-recorded","","Formula 1 grid shot under 'Toyota museums'. No museum imagery in the library. Image removed. NEEDED: Toyota Commemorative Museum of Industry and Technology or the Toyota Automobile Museum, Nagoya."
"598","mlb.html","assets/img/sports/f1/miami-grand-prix-2027/f1-miami-section-beyond.jpg","Verify / replace","replaced","assets/img/sports/us-sports/index/us-sports-band-01.jpg","A Miami Grand Prix skyline asset was standing in for Chicago. Replaced with the genuine Chicago skyline photograph (Willis Tower, Kennedy Expressway, Lake Shore Drive signage) already held on the site. NOTE: that file is also used in the 'Chicago - home of Wrigley Field' figure higher up the page; a second Chicago photograph would remove the duplication. MLB library images were not used here because their baked-in white border suits cards, not this slot."
"614","monaco-grand-prix-2027.html","assets/img/luxury/europe/france/france-hero-01.jpg","Replace","removed-gap-recorded","","Verified wrong: the photograph is Antibes old town and its ramparts (Chateau Grimaldi), not Eze, which is a hilltop village well above the sea. No Eze or Moyenne Corniche imagery in the library. Image removed. NEEDED: the hilltop village of Eze / the Moyenne Corniche."
"615","monaco-grand-prix-2027.html","assets/img/luxury/europe/france/france-about-01.jpg","Replace","replaced","assets/img/sports/f1/monaco-grand-prix-2027/f1-monaco-section-beyond.jpg","Verified wrong: the photograph is the old port of Saint-Tropez. Replaced with genuine Monaco-Ville photography already held for this page (the rock, the Palace above it and the harbour below), previously unused on any page."
"646","nfl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-lounge.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"647","nfl.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"649","nfl.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-club-seats.jpg","Replace","replaced","assets/img/sports/library/us-sports-nfl/us-sports-nfl-03.jpg","Confirmed the seats overlook a US ballpark (Sutter Health branding), not an NFL stadium. Replaced with genuine Super Bowl LX photography from the NFL library; caption changed to match what is shown. No genuine NFL club-level lounge photograph exists in the library."
"748","qatar-grand-prix-2026.html","assets/img/luxury/africa/index/africa-about-01.jpg","Replace","removed-gap-recorded","","Ornate Moorish courtyard under 'Museum of Islamic Art and the National Museum'. No Doha museum imagery in the library. Image removed. NEEDED: Museum of Islamic Art and/or the National Museum of Qatar (the desert-rose building)."
"749","qatar-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Souq Waqif evenings'. No Souq Waqif imagery in the library. Image removed. NEEDED: Souq Waqif in the evening / the falcon souq."
"750","qatar-grand-prix-2026.html","assets/img/luxury/north-america/index/north-america-destination-arizona.jpg","Replace","removed-gap-recorded","","Arizona desert resort under 'Desert safari - inland sea dune drive'. No Qatari desert imagery in the library. Image removed. NEEDED: the Khor Al Adaid inland sea / Qatari dune drive at sunset."
"751","qatar-grand-prix-2026.html","assets/img/luxury/middle-east/abu-dhabi/abu-dhabi-conrad-etihad-towers-ext-01.jpg","Replace","removed-gap-recorded","","Abu Dhabi's Etihad Towers under 'Katara Cultural Village and the Corniche'. The only Doha assets are hotel press photographs and the Katara Towers in Lusail, which is a different place from Katara Cultural Village, so nothing was substituted. Image removed. NEEDED: Katara Cultural Village and/or the Doha Corniche promenade."
"805","sao-paulo-grand-prix-2026.html","assets/img/sports/f1/sao-paulo-grand-prix-2026/f1-sao-paulo-package-hospitality-experience.jpg","Replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"810","sao-paulo-grand-prix-2026.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale under 'Beco do Batman street art and Vila Madalena bars'. No Sao Paulo street imagery in the library (only Interlagos race photography and two hotel sets). Image removed. NEEDED: Beco do Batman / Vila Madalena."
"811","sao-paulo-grand-prix-2026.html","assets/img/luxury/asia/index/asia-hero-03.jpg","Verify / replace","removed-gap-recorded","","An Asian tropical-forest pavilion under 'Ibirapuera Park and MASP on Paulista'; unverifiable as Sao Paulo and plainly not either named landmark. Image removed. NEEDED: Ibirapuera Park or MASP on Avenida Paulista."
"863","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-grandstand-experience.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"864","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-premium-madrid.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"866","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-package-luxury-race-weekend.jpg","Verify / replace","already-resolved","","The package card grid is no longer on the page; the flagged image is not deployed."
"867","spanish-grand-prix-2026.html","assets/img/sports/f1/spanish-grand-prix-2026/f1-spanish-section-circuit.jpg","Verify / replace","replaced","assets/img/sports/library/f1-spain-madrid-2026/f1-spain-madrid-2026-04.jpg","Verified wrong: the image is an aerial of the MADRING site under construction (bare earthworks for the Turn 12 bowl) captioned as 'the main grandstand'. Replaced with confirmed post-opening 2026 Madrid photography of a car on the banking; figcaption 'MADRING, Madrid' remains accurate."
"870","spanish-grand-prix-2026.html","assets/img/sports/football/index/football-hero-01.jpg","Verify / replace","replaced","assets/img/sports/library/football-real-madrid/football-real-madrid-01.jpg","Generic floodlit stadium under 'Bernabeu stadium tour'. Replaced with the library's Santiago Bernabeu photograph showing the completed new roof and 360-degree scoreboard on a match day - i.e. the renovated venue the copy promises."
"871","spanish-grand-prix-2026.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant under 'Tapas crawl - Mercado de San Miguel to La Latina'. No Madrid food-market imagery in the library. Image removed. NEEDED: Mercado de San Miguel / La Latina tapas bars."
"872","spanish-grand-prix-2026.html","assets/img/luxury/index/luxury-region-north-america.jpg","Replace","removed-gap-recorded","","Clifftop seaside terrace under 'Rooftops at sunset - Circulo de Bellas Artes'. The only Madrid rooftop in the library is The Madrid EDITION pool, already used in this page's hotel gallery and a hotel rather than the named rooftop. Image removed. NEEDED: Circulo de Bellas Artes rooftop or another recognisable Madrid rooftop at sunset."
"912","thailand.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/thailand/thailand-01.jpg","Same Vietnamese rock-villa resort as the Bali and Japan bands. Replaced with the library's genuine Phang Nga Bay photograph."
"916","the-ashes-2027.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as Map & Flag hospitality at Augusta, reused on the Ashes Hospitality card. No Test-ground hospitality photography exists (the cricket library is South Africa only). pk-media block removed. NEEDED: hospitality at an English Test ground (Lord's, Edgbaston or the Oval)."
"917","the-ashes-2027.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","replaced","assets/img/sports/cricket/index/cricket-event-ashes.jpg","Wimbledon hospitality asset on 'The Lord's Test' card replaced with the site's genuine photograph of the Lord's Pavilion during an Ashes Test. NOTE: the same file also appears lower down the page in the grounds figure; a second Lord's photograph would remove the duplication."
"921","the-ashes-2027.html","assets/img/sports/golf/the-open-2027/the-open-section-included.jpg","Replace","removed-gap-recorded","","Chandeliered banquet hall under 'The MCC Museum'. No museum imagery in the library. Image removed rather than reusing the Lord's Pavilion photograph, which shows a different building. NEEDED: the MCC Museum / the Ashes urn / a Lord's ground tour."
"922","the-ashes-2027.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant under ""Birmingham's food scene"". No Birmingham imagery in the library beyond Villa Park. Image removed. NEEDED: a Birmingham restaurant / city scene."
"923","the-ashes-2027.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-about.jpg","Replace","removed-gap-recorded","","Adare Manor, Ireland, under 'The New Forest'. No New Forest or Hampshire coast imagery in the library. Image removed. NEEDED: the New Forest / the Hampshire coast."
"924","the-ashes-2027.html","assets/img/sports/f1/british-grand-prix-2027/f1-british-section-beyond.jpg","Verify / replace","replaced","assets/img/hotels/estelle-manor/estelle-manor-ext-02.jpg","The flagged photograph shows contemporary timber-clad lodges on a landscaped development, not countryside, and its location is unverified. Replaced with genuine, named English country-house photography (Estelle Manor, Oxfordshire) that honestly supports the 'English countryside' caption; alt names the property."
