"reference","page","image","action","resolution","new_image","notes"
"231","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-grandstand-experience.jpg","Quality","replaced","assets/img/sports/library/f1-china-2026/f1-china-2026-05.jpg","Correct venue (Shanghai International Circuit canopies) but a soft 900x600 pan. Replaced with a sharp 2000x1333 frame of the start in front of the packed SIC main grandstand, with the 'Welcome to Shanghai' race signage visible."
"233","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-package-hospitality-experience.jpg","Replace","replaced","assets/img/sports/library/f1-china-2026/f1-china-2026-02.jpg","Confirmed the file is a twin hotel bedroom on a card selling Shanghai International Circuit hospitality suites. No authentic SIC hospitality photograph exists in the library, so replaced with a genuine sharp 2026 Chinese Grand Prix racing frame rather than leave a hotel room standing in for hospitality. GAP: a photograph of the Shanghai International Circuit hospitality suites in the pit building is still needed."
"236","chinese-grand-prix-2027.html","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/chinese-grand-prix-2027/f1-chinese-band-01.jpg","Photograph is the Pudong skyline and Oriental Pearl Tower seen from the Bund at dusk, not the circuit. Alt and figcaption rewritten."
"237","chinese-grand-prix-2027.html","assets/img/sports/f1/miami-grand-prix-2027/f1-miami-section-beyond.jpg","Replace","replaced","assets/img/hotels/the-peninsula-shanghai/the-peninsula-shanghai-ext-01.jpg","Miami skyline removed. Replaced with the official Peninsula Shanghai press photograph of the Pudong skyline across the Huangpu from the hotel's Bund rooftop terrace - the exact named view."
"238","chinese-grand-prix-2027.html","assets/img/luxury/asia/index/asia-hero-02.jpg","Replace","removed-gap-recorded","","Japanese-style timber pavilion removed from the Yu Garden card. NEEDS: Yu Garden / Shanghai old town tea house photograph."
"240","chinese-grand-prix-2027.html","assets/img/luxury/asia/vietnam/vietnam-about-01.jpg","Verify / replace","removed-gap-recorded","","Verified as Hoi An, Vietnam - Vietnamese signage and HA-prefixed boat registrations are legible in the frame. Not Zhujiajiao, so removed. NEEDS: Zhujiajiao water town photograph."
"253","darts.html","assets/img/sports/us-sports/index/us-sports-league-nba.jpg","Replace","replaced","assets/img/sports/library/other-sports-darts/other-sports-darts-01.jpg","NBA arena bowl on the Session Tickets card replaced with genuine PDC darts action from the client's 'Other Sports - Darts' library; alt names the actual event (Premier League Darts Night 8, Berlin, March 2026)."
"254","darts.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","removed-gap-recorded","","Verified as Map & Flag hospitality at Augusta (the Masters), reused on a darts hospitality card. No authentic darts hospitality photography exists. pk-media block removed. NEEDED: official PDC hospitality at Alexandra Palace (dining/reserved seating)."
"255","darts.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","removed-gap-recorded","","Wimbledon debenture-lounge asset reused on the darts Group Tables card. pk-media block removed. NEEDED: table seating / group area at Alexandra Palace during the World Championship."
"258","darts.html","assets/img/sports/index/sports-hero-02.jpg","Replace","replaced","assets/img/sports/library/other-sports-darts/other-sports-darts-02.jpg","Football-crowd stock under 'The atmosphere is the reason to go' replaced with the library's genuine darts crowd/stage scene. NOTE: this file is now used twice on the page (also the Premier League Night card) - only two genuine darts photographs exist. A third darts crowd photograph would remove the duplication."
"261","darts.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","removed-gap-recorded","","Old Town Scottsdale street lights under 'New Year's Eve ... a memorable London trip'. No London imagery in the library. Image removed. NEEDED: London at New Year / Christmas lights."
"262","darts.html","assets/img/sports/football/premier-league-wembley-hospitality/domestic-section-england.jpg","Replace","removed-gap-recorded","","Wembley arch under 'The view from Ally Pally'. No Alexandra Palace photography exists in the repo. Image removed. NEEDED: Alexandra Palace exterior and the view over London."
"272","dutch-grand-prix-2026.html","assets/img/sports/f1/dutch-grand-prix-2026/f1-dutch-package-grandstand-experience.jpg","Quality","replaced","assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-06.jpg","Correct venue but a soft 900x600 long-lens frame. Replaced with a sharp 2000x1333 Zandvoort frame of two cars between the dunes. Note: the discarded frame's orange crowd suited the Oranje Army copy, so if a sharp packed-Zandvoort-grandstand frame is ever supplied it would be the better image here."
"277","dutch-grand-prix-2026.html","assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-02.jpg","Quality","replaced","assets/img/sports/library/f1-netherlands-2026/f1-netherlands-2026-04.jpg","The flagged frame is a panning shot in which most of the image (foreground dunes) is motion-blurred. Swapped for the sharp, edge-to-edge Antonelli/Norris on-track frame from the same 2026 Zandvoort library set; caption unchanged."
"279","dutch-grand-prix-2026.html","assets/img/luxury/europe/croatia/croatia-about-01.jpg","Replace","removed-gap-recorded","","Croatian stone harbour village under 'Canal-side Amsterdam'. The only genuine Amsterdam images in the library are the three hotel galleries already used on this same page. Image removed rather than duplicated. NEEDED: an Amsterdam canal / Jordaan street photograph."
"281","dutch-grand-prix-2026.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","removed-gap-recorded","","Galway pub street under ""Haarlem's old town"". No Haarlem imagery in the library. Image removed. NEEDED: Haarlem old town / Grote Markt."
"288","england-tour-of-south-africa-2026-27.html","assets/img/site/entry/entry-stadium-01.jpg","Quality","replaced","assets/img/sports/library/cricket-south-africa/cricket-south-africa-03.jpg","Generic empty-seat stock on the Boxing Day Test (Centurion) card. Replaced with sharp cricket action photographed in South Africa, alt written so it makes no claim about the ground. GAP: no SuperSport Park, Centurion photograph exists in the library — a Test-match or England-supporters frame at Centurion is still needed."
"292","england-tour-of-south-africa-2026-27.html","assets/img/sports/library/cricket-south-africa/cricket-south-africa-02.jpg","Caption / replace","replaced","assets/img/sports/library/cricket-south-africa/cricket-south-africa-04.jpg","Tight batting crop replaced with the library's genuine wide Newlands view with the Table Mountain range behind, which is what the caption promises. Separately, the page hero's alt now dates the Barmy Army photograph (January 2020) so it cannot be read as the forthcoming tour."
"299","euro-2028.html","assets/img/sports/football/euro-2028/euro-2028-band-01.jpg","Verify / replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-07.jpg","The unverified bowl could not be authenticated to a named Euro 2028 venue (it reads as the Etihad, but nothing in the repo confirms the stadium or its renovation date). The band now uses the verified Wembley match photograph; the second placement of the same file (the 'Twenty-four nations' figure) now uses the verified Villa Park photograph."
"315","euro-2028.html","assets/img/sports/golf/the-open-2027/the-open-band-01.jpg","Replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-02.jpg","St Andrews West Sands under 'Glasgow' replaced with the verified aerial of Hampden Park, the card's own named subject."
"316","euro-2028.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-experience.jpg","Replace","replaced","assets/img/sports/library/football-euro-2028-venues/football-euro-2028-venues-01.jpg","Galway pub street under 'Dublin' replaced with the verified Aviva Stadium, Dublin photograph."
"319","europe.html","assets/img/luxury/europe/index/europe-hero-03.jpg","Verify / replace","already-resolved","assets/img/heroes/europe/europe-hero-01.jpg","Legacy slide no longer deployed; the page now carries the approved Caruso, Ravello hero."
"320","europe.html","assets/img/luxury/europe/index/europe-about-01.jpg","Verify / replace","replaced","assets/img/hotels/hotel-du-cap-eden-roc/hotel-du-cap-eden-roc-ext-02.jpg","Subject verified: the legacy file is a crop of the official Hotel du Cap-Eden-Roc press photograph already held in the library. Swapped to the library master and given an accurate alt and caption; the previous caption attached it to Greece."
"350","european-football-breaks.html","assets/img/sports/golf/phoenix-open-2027/phoenix-open-section-beyond.jpg","Replace","replaced","assets/img/hotels/mandarin-oriental-madrid/mandarin-oriental-madrid-ext-01.jpg","Old Town Scottsdale under the 'Madrid' city card. Replaced with genuine central-Madrid photography, matching this grid's existing pattern (the Barcelona and Milan cards also use city hotel exteriors). Not used elsewhere on this page."
"351","european-football-breaks.html","assets/img/sports/tennis/roland-garros-2027/roland-garros-package-hospitality.jpg","Verify / replace","removed-gap-recorded","","Roland-Garros hospitality restaurant reused for 'Munich - beer halls, Marienplatz'. The only Munich asset is the Allianz Arena, which belongs to the Bayern club block. Image removed. NEEDED: Munich beer hall / Marienplatz."
"357","florida.html","assets/img/luxury/north-america/florida/florida-about-01.jpg","Verify / replace","replaced","assets/img/destinations/florida/florida-01.jpg","The Palm Beaches could not be confirmed for the legacy aerial, so it was replaced with the verified Florida destination photograph from the library rather than kept on a plausible-looking claim."
"394","grenada.html","assets/img/luxury/caribbean/grenada/grenada-about-01.jpg","Verify / replace","replaced","assets/img/destinations/grenada/grenada-01.jpg","The twin-cascade waterfall is the same unverified asset used for Coo in the Ardennes and could not be authenticated to Grenada. Replaced with the verified Grenada destination photograph (hillside village above its bay), which also fits the 'green hills, quiet sand' caption. The verified Grenada waterfall is Concord Falls, a different photograph (see ref 395)."
"395","grenada.html","assets/img/luxury/caribbean/index/caribbean-band-01.jpg","Verify / replace","replaced","assets/img/destinations/grenada/grenada-02.jpg","Unverified legacy Caribbean band image replaced with the verified Concord Waterfall photograph from the Grenada destination folder, matching the band's copy about the island's falls."
"400","horse-racing.html","assets/img/sports/golf/us-masters-2027/us-masters-package-map-and-flag.jpg","Verify / replace","replaced","assets/img/sports/library/other-sports-horse-racing/other-sports-horse-racing-01.jpg","Confirmed a US Masters (Augusta) asset reused on the Racecourse Hospitality card. Replaced with a genuine Royal Ascot frame: the field on the run to the finish past the grandstand's packed hospitality balconies, which is exactly what the card sells. 1920x1080."
"401","horse-racing.html","assets/img/sports/tennis/wimbledon-2027/wimbledon-section-debenture-lounge.jpg","Verify / replace","replaced","assets/img/sports/library/other-sports-horse-racing/other-sports-horse-racing-02.jpg","Confirmed a Wimbledon hospitality asset reused on the Private Box card. Replaced with a genuine Royal Ascot winner's-enclosure frame. 1920x1080. GAP: no photograph of a private box or suite at a racecourse exists in the library; one is needed for this card."
"406","horse-racing.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-package-galway-luxury.jpg","Replace","removed-gap-recorded","","Irish country estate under 'The Cotswolds'. No Cotswolds imagery in the library (Estelle Manor is Oxfordshire, not the Cotswolds, so it was not substituted). Image removed. NEEDED: a Cotswolds village / country pub."
"407","horse-racing.html","assets/img/sports/golf/ryder-cup-2027/ryder-cup-section-hotels.jpg","Replace","removed-gap-recorded","","Ashford Castle, Ireland, under 'Windsor - the castle and the town'. No Windsor imagery in the library. Image removed. NEEDED: Windsor Castle / Windsor town."
"420","hungarian-grand-prix-2027.html","assets/img/sports/f1/hungarian-grand-prix-2027/f1-hungarian-band-01.jpg","Caption / replace","already-resolved","","Re-checked after the section restore: the Parliament photograph is correctly placed on the 'Danube dinner cruise past the Parliament lit up' card with accurate alt, and the circuit figure carries a genuine Hungaroring frame — the earlier fix survived. One residual defect was fixed: the circuit figure and the editorial band both used f1-hungary-2026-01.jpg. The circuit figure now uses f1-hungary-2026-02.jpg, spectators on a grass bank watching cars through a corner, which also supports its 'natural amphitheatre with sightlines across most of the lap' caption."
"421","hungarian-grand-prix-2027.html","assets/img/luxury/europe/nordics/nordics-about-01.jpg","Replace","removed-gap-recorded","","Icelandic geothermal lagoon under 'Szechenyi baths morning'. GAP: Szechenyi or Gellert thermal baths, Budapest."
"423","hungarian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-band-01.jpg","Replace","replaced","assets/img/sports/f1/hungarian-grand-prix-2027/f1-hungarian-band-01.jpg","Montenegro bay replaced with the page's own genuine photograph of the Hungarian Parliament reflected in the Danube at sunset - exactly the named subject."
"424","hungarian-grand-prix-2027.html","assets/img/luxury/europe/montenegro/montenegro-about-01.jpg","Replace","removed-gap-recorded","","Perast, Montenegro under 'Fisherman's Bastion and Buda Castle'. The page's other Budapest photograph is taken FROM the Buda side, so it cannot show the Bastion. GAP: Fisherman's Bastion / Buda Castle at golden hour."
"427","index.html","assets/img/sports/index/sports-hero-02.jpg","Caption / replace","already-resolved","assets/img/heroes/index/index-slide-01.jpg","The homepage carousel was rebuilt with the approved slides; the flagged asset is no longer deployed. Checked the new slide alts: the football slide describes the crowd only and names no player."
"428","index.html","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-01.jpg","Quality","replaced","assets/img/sports/library/f1-monaco-2026/f1-monaco-2026-03.jpg","Restored Featured Sports Journeys section. Old image was a heavy zoom/pan blur and the alt named Fernando Alonso although the car is a Mercedes. Swapped for the sharp wide Monaco 2026 frame (Rascasse / pit lane, Prince’s Palace above); alt rewritten with no driver named."
"440","index.html","assets/img/sports/index/sports-card-formula-one.jpg","Caption / replace","caption-corrected","assets/img/sports/index/sports-card-formula-one.jpg","Photograph is the Yas Marina main straight beneath its sail canopies at dusk - there is no car in frame. Alt rewritten; the figcaption makes no visual claim and was left."
"462","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-premium-monza.jpg","Quality","replaced","assets/img/sports/library/f1-italy-2026/f1-italy-2026-02.jpg","Restored packages section. Old file was a soft 900x600 pan shot. Replaced with sharp 2000x1333 client library photography from the 2026 Italian Grand Prix."
"463","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-package-hospitality-experience.jpg","Replace","replaced","assets/img/sports/library/f1-italy-2026/f1-italy-2026-03.jpg","Old file was a dated hotel bedroom on a card selling Race Club circuit hospitality. No Monza hospitality photography exists in the library, so used the verified Monza main-straight/pit-lane frame (the view the Race Club overlooks) with alt that describes only the circuit. NEEDS SOURCING: interior/terrace photograph of the Race Club hospitality building at Monza."
"466","italian-grand-prix-2026.html","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-band-01.jpg","Caption / replace","caption-corrected","assets/img/sports/f1/italian-grand-prix-2026/f1-italian-band-01.jpg","Photograph is the Villa Reale di Monza and its royal park from the air, not the Autodromo. Alt and figcaption rewritten - the royal-park link in the original caption is genuine."
"468","italian-grand-prix-2026.html","assets/img/luxury/europe/italy/italy-carlton-milan-ext-01.jpg","Replace","removed-gap-recorded","","Hotel terrace at dusk removed from the Duomo rooftop card. The library holds no Duomo or Galleria photography. NEEDS: Duomo rooftop / Galleria Vittorio Emanuele II photograph."
"477","japan.html","assets/img/luxury/asia/index/asia-band-01.jpg","Verify / replace","replaced","assets/img/destinations/japan/japan-01.jpg","Verified wrong: the band image is a thatched rock-villa resort on a Vietnamese bay (Six Senses Ninh Van Bay style), reused for Bali, Japan and Thailand. Replaced with the library's genuine Mount Fuji photograph; alt rewritten without naming the lake, which is not confirmed."
"489","japanese-grand-prix-2027.html","assets/img/luxury/asia/japan/japan-hero-01.jpg","Replace","removed-gap-recorded","","Kyoto temple maples under a 'Nagoya' card. The only genuine Nagoya assets are two hotel press photographs (Hilton Nagoya, Nagoya Marriott Associa), which picture a branded hotel rather than the castle. Image removed. NEEDED: Nagoya Castle / Osu or Nishiki izakaya alleys."
