page,location,before,after,reason
"formula-one/canadian-grand-prix","Extend · Mont-Tremblant","Mont-Tremblant (2 nts) lakeside reset","Mont-Tremblant (two nights). A quiet lakeside stay in the Laurentians after the noise of race week.","Brief note fragment"
"formula-one/canadian-grand-prix","Extend · New York","New York (3 nts). 1h30 flight south","New York (three nights). Around an hour and a half’s flight south.","Brief note fragment"
"formula-one/canadian-grand-prix","FAQ · flights answer","LHR–YUL direct (BA/Air Canada, ~7h). Air Transat seasonal direct from MAN and GLA — real regional options.","British Airways and Air Canada fly direct from London Heathrow to Montréal in around seven hours. Air Transat also flies direct from Manchester and Glasgow in season, so regional departures are a genuine option.","Airport-code shorthand / note fragment"
"formula-one/canadian-grand-prix","JSON-LD FAQ · flights answer","LHR–YUL direct (BA/Air Canada, ~7h). Air Transat seasonal direct from MAN and GLA — real regional options.","British Airways and Air Canada fly direct from London Heathrow to Montréal in around seven hours. Air Transat also flies direct from Manchester and Glasgow in season, so regional departures are a genuine option.","Airport-code shorthand / note fragment"
"formula-one/canadian-grand-prix","FAQ · tiers answer","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Grandstand Experience gives you a reserved seat in Grandstand 15/21 at the hairpin end. Premium Montréal moves you to Grandstand 1 opposite the pits, with the start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own all-inclusive hospitality lounges.","Internal jargon (""ladders"", ""product"") and template text (""such as Turn 1"") that did not match this race"
"formula-one/canadian-grand-prix","JSON-LD FAQ · tiers answer","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Grandstand Experience gives you a reserved seat in Grandstand 15/21 at the hairpin end. Premium Montréal moves you to Grandstand 1 opposite the pits, with the start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own all-inclusive hospitality lounges.","Internal jargon (""ladders"", ""product"") and template text (""such as Turn 1"") that did not match this race"
"formula-one/canadian-grand-prix","FAQ · packing answer","Late May, Montréal: 15–24°C, sunshine likely, evening cool. Layers.","Late May in Montréal is typically 15–24°C with a good chance of sunshine, but evenings turn cool, so pack layers.","Shorthand fragment"
"formula-one/canadian-grand-prix","JSON-LD FAQ · packing answer","Late May Montréal: 15–24°C, sunshine likely, evening cool. Layers.","Late May in Montréal is typically 15–24°C with a good chance of sunshine, but evenings turn cool, so pack layers.","Shorthand fragment"
"formula-one/japanese-grand-prix","Hero meta","Format: Round 4 of 24 · sprint weekend · the purists' race","Round 4 of 24 · sprint weekend · the purists’ race","Internal field label (""Format:"") in customer copy"
"formula-one/japanese-grand-prix","Vedere Says band quote","Nagoya → Shiroko by Kintetsu express (~45 min) + circuit shuttle — the entry-tier standard and honestly the best way in.","The drivers’ favourite circuit, a crowd like no other, and Kyoto in spring close at hand.","Band quote was a shorthand transport note (arrows, ""+"", ""entry-tier standard""); replaced with a line drawn from the page intro"
"formula-one/japanese-grand-prix","Packages lede","Guide “from” prices per person, two adults sharing, including flights and hotel. 5 nights (built around Nagoya + extension).","Guide prices are per person, two adults sharing, and include return flights and five nights’ accommodation, based in Nagoya with the option to extend.","Shorthand fragment (""5 nights (built around Nagoya + extension)"")"
"formula-one/japanese-grand-prix","Package Grandstand Experience · hotel","Hilton Nagoya (Nagoya base)","Hilton Nagoya · 4★","Writer note ""(Nagoya base)""; star rating taken from the hotel card on the same page"
"formula-one/japanese-grand-prix","Package Premium Suzuka · hotel","Nagoya Marriott Associa (luxury Nagoya base)","Nagoya Marriott Associa · above Nagoya Station","Writer note ""(luxury Nagoya base)"""
"formula-one/japanese-grand-prix","Package Hospitality Experience · access","Suzuka Circuit VIP/premium suites over the pit straight, all-inclusive","Suzuka Circuit premium suites over the pit straight, all-inclusive","Undecided wording ""VIP/premium"""
"formula-one/japanese-grand-prix","Package Luxury Race Weekend · room","As listed on your selected hotel","As listed for your chosen hotel","Awkward phrasing"
"formula-one/japanese-grand-prix","Grandstand Experience card + ticket guide (x2)","Grandstand B/C — the S Curves, where you finally understand what an F1 car does; the connoisseur's cheap seat.","Grandstand B/C overlooks the S Curves, where you see what a Formula One car can really do — the connoisseur’s choice at the entry price.","Shorthand fragment / slangy note (""cheap seat"")"
"formula-one/japanese-grand-prix","Premium Suzuka card + ticket guide (x2)","Main Grandstand — pit straight opposite the garages; Suzuka's grid walk-up atmosphere is unique.","The Main Grandstand on the pit straight, opposite the garages, with a pre-race grid atmosphere unlike anywhere else.","Shorthand fragment"
"formula-one/japanese-grand-prix","Hospitality Experience card + ticket guide (x2)","Suzuka's own premium suites above the pit straight — all-inclusive, with final product names confirmed with your quotation.","Suzuka’s own all-inclusive premium suites above the pit straight. The exact suite is confirmed with your quotation.","Internal phrasing (""final product names"")"
"formula-one/japanese-grand-prix","Luxury Race Weekend card + ticket guide (x2)","Official Team Hospitality — preferred team's suite; Honda-era passion makes Suzuka garages special.","Official Team Hospitality in your preferred team’s suite. Suzuka is Honda’s home circuit, and the passion around the garages is something special.","Shorthand fragment"
"formula-one/japanese-grand-prix","Race weekend intro","Drivers' favourite circuit, fans like nowhere else, and a confirmed 9–11 April weekend. The trip writes itself: Suzuka plus Kyoto in April is the single most beautiful itinerary on the F1 calendar.","The drivers’ favourite circuit, a crowd like nowhere else, and a race weekend confirmed for 9–11 April. Pair Suzuka with Kyoto in spring and you have one of the most beautiful trips on the Formula One calendar.","Clipped phrasing and overstatement (""the trip writes itself"", ""single most beautiful"")"
"formula-one/japanese-grand-prix","FAQ+LD · circuit access (also circuit section body) (x2)","Nagoya → Shiroko by Kintetsu express (~45 min) + circuit shuttle — the entry-tier standard and honestly the best way in. Premium: private car with driver holding (traffic out of Suzuka on Sunday is legendary — manage expectations).","The Kintetsu express from Nagoya to Shiroko takes around 45 minutes, with a shuttle bus on to the circuit. It is included on the Grandstand Experience and is honestly the best way in. Premium packages and above include a private car and driver who waits for you, but traffic leaving Suzuka on Sunday evening is notoriously slow, so allow plenty of time.","Shorthand note with arrows/""+"" and a staff instruction (""manage expectations"")"
"formula-one/japanese-grand-prix","JSON-LD FAQ · circuit access (also circuit section body)","Nagoya → Shiroko by Kintetsu express (~45 min) + circuit shuttle — the entry-tier standard and honestly the best way in. Premium: private car with driver holding (traffic out of Suzuka on Sunday is legendary — manage expectations).","The Kintetsu express from Nagoya to Shiroko takes around 45 minutes, with a shuttle bus on to the circuit. It is included on the Grandstand Experience and is honestly the best way in. Premium packages and above include a private car and driver who waits for you, but traffic leaving Suzuka on Sunday evening is notoriously slow, so allow plenty of time.","Shorthand note with arrows/""+"" and a staff instruction (""manage expectations"")"
"formula-one/japanese-grand-prix","FAQ+LD · flights answer (also At a glance) (x2)","LHR–Tokyo Haneda direct (BA/JAL/ANA, ~14h) then Shinkansen to Nagoya (1h40); or one-stop into Nagoya (Chubu) via Gulf/Asian hubs from LHR and MAN.","British Airways, JAL and ANA fly direct from London Heathrow to Tokyo Haneda in around 14 hours, then the Shinkansen reaches Nagoya in 1 hour 40 minutes. Alternatively, one-stop routings via the Gulf or Asia fly into Nagoya’s Chubu airport from Heathrow or Manchester.","Airport/airline-code shorthand"
"formula-one/japanese-grand-prix","JSON-LD FAQ · flights answer (also At a glance)","LHR–Tokyo Haneda direct (BA/JAL/ANA, ~14h) then Shinkansen to Nagoya (1h40); or one-stop into Nagoya (Chubu) via Gulf/Asian hubs from LHR and MAN.","British Airways, JAL and ANA fly direct from London Heathrow to Tokyo Haneda in around 14 hours, then the Shinkansen reaches Nagoya in 1 hour 40 minutes. Alternatively, one-stop routings via the Gulf or Asia fly into Nagoya’s Chubu airport from Heathrow or Manchester.","Airport/airline-code shorthand"
"formula-one/japanese-grand-prix","Hotels lede","Nobody stays in Suzuka itself. Nagoya is the working base — forty-five minutes by Kintetsu express to Shiroko and the circuit shuttle — with Kyoto held for the bookend nights.","Few visitors stay in Suzuka itself. Nagoya is the practical base — forty-five minutes by Kintetsu express to Shiroko and the circuit shuttle — with Kyoto for the nights either side of the race.","Internal phrasing (""working base"", ""held for the bookend nights"")"
"formula-one/japanese-grand-prix","Hotel · Hilton Nagoya · why","The most reliable four-star base in the city and the one we can hold rooms at when Nagoya fills.","The most reliable four-star base in the city, and one where we can usually still secure rooms when Nagoya fills.","Internal phrasing (""hold rooms at"")"
"formula-one/japanese-grand-prix","Hotel · Hilton Nagoya · best suited","Guests on the entry tier who want a dependable","Guests who want a dependable","Internal tier language"
"formula-one/japanese-grand-prix","Hotel · Nagoya Marriott Associa · position","Literally inside the JR Central Towers above Nagoya station.","Inside the JR Central Towers above Nagoya Station.","Filler (""Literally"")"
"formula-one/japanese-grand-prix","Hotel · Nagoya Marriott Associa · why","The Shinkansen play. On a weekend","The practical choice. On a weekend","Internal sales shorthand (""The Shinkansen play"")"
"formula-one/japanese-grand-prix","Hotel · Nagoya Marriott Associa · why","High-floor rooms look straight down the city.","High-floor rooms look out across the city.","Awkward phrasing"
"formula-one/japanese-grand-prix","Hotel · Ritz-Carlton Kyoto · location","Kyoto · Kamogawa riverside · extension base","Kyoto · Kamogawa riverside","Internal label (""extension base"")"
"formula-one/japanese-grand-prix","Hotel · Ritz-Carlton Kyoto · why","Kamogawa riverside serenity for the bookend nights, and the only Kyoto address that handles Western expectations without diluting the Japanese one. With the 2027 round confirmed for 9–11 April, this is where the trip is won.","A calm riverside base for the nights either side of the race, and a Kyoto address that meets Western expectations without diluting its Japanese character.","Sales-note phrasing (""bookend nights"", ""this is where the trip is won"") and unsupported superlative (""the only"")"
"formula-one/japanese-grand-prix","Hotel · Ritz-Carlton Kyoto · best suited","Couples and clients extending either side","Couples and guests extending either side","Internal language (""clients"")"
"formula-one/japanese-grand-prix","Hotel · Aman Tokyo · location","Tokyo · Otemachi · ultra option","Tokyo · Otemachi","Internal label (""ultra option"")"
"formula-one/japanese-grand-prix","Hotel · Aman Tokyo · why","For clients topping the trip with Tokyo. The rooms are among the largest in the city and the lobby is the single most impressive interior space in Japanese hotelkeeping","The place to finish a trip in Tokyo. The rooms are among the largest in the city and the lobby is one of the most striking hotel interiors in Japan","Internal language (""clients topping the trip"") and overstatement"
"formula-one/japanese-grand-prix","Hotel · Aman Tokyo · best suited","Clients extending into Tokyo who want the ultra-luxury end of the trip at the finish rather than the start.","Guests extending into Tokyo who want to end the trip at its most luxurious address.","Internal language (""clients"", ""ultra-luxury end"")"
"formula-one/japanese-grand-prix","Things to do · fan culture card (has image)","Suzuka's fan culture itself costume grandstands, merch halls; allow browsing time","Suzuka's fan culture Suzuka’s crowd is famous for home-made costumes and team colours in every grandstand. Leave time to browse the merchandise halls, too.","Brief note fragment; heading tidied (card has an image)"
"formula-one/japanese-grand-prix","Things to do · Nagoya card body","castle, miso katsu, izakaya alleys","Nagoya Castle, the city’s signature miso katsu, and narrow lanes of izakaya for a late dinner after the circuit.","Brief note fragment"
"formula-one/japanese-grand-prix","Things to do · Ise Grand Shrine card body","Japan's holiest site, 40 min from Suzuka","Japan’s most sacred Shinto shrine, around 40 minutes from Suzuka and an easy half-day away from the circuit.","Brief note fragment"
"formula-one/japanese-grand-prix","Things to do · Toyota card (body added; heading kept)","Toyota museums for the engineering-minded","Toyota museums for the engineering-minded Toyota’s museums in and around Nagoya trace the company from its origins in textile looms to the modern car, and are well worth a morning away from the track.","Card had only a heading and no body; heading left unchanged (no-image card rule)"
"formula-one/japanese-grand-prix","Climate · temperature note","8–17°C, changeable, rain possible — Suzuka weather is part of its legend. Layers and waterproofs.","Changeable, with rain possible — Suzuka’s weather is part of its legend. Pack layers and waterproofs.","Shorthand fragment"
"formula-one/japanese-grand-prix","FAQ+LD · packing answer","Early–mid April: 8–17°C, changeable, rain possible — Suzuka weather is part of its legend. Layers and waterproofs.","Early to mid April is typically 8–17°C and changeable, with rain possible — Suzuka’s weather is part of its legend. Pack layers and waterproofs.","Shorthand fragment"
"formula-one/japanese-grand-prix","JSON-LD FAQ · packing answer","Early–mid April: 8–17°C, changeable, rain possible — Suzuka weather is part of its legend. Layers and waterproofs.","Early to mid April is typically 8–17°C and changeable, with rain possible — Suzuka’s weather is part of its legend. Pack layers and waterproofs.","Shorthand fragment"
"formula-one/japanese-grand-prix","Extend · Kyoto","Kyoto (3–4 nts). Ritz-Carlton/Hoshinoya — Kyoto in April; THE headline pairing","Kyoto (three to four nights). The Ritz-Carlton, Kyoto or Hoshinoya Kyoto. Kyoto in April is the natural partner to Suzuka.","Brief note fragment (""THE headline pairing"")"
"formula-one/japanese-grand-prix","Extend · Tokyo","Tokyo (3–4 nts). Aman/Peninsula; bullet-train linked","Tokyo (three to four nights). Aman Tokyo or The Peninsula Tokyo, linked to Nagoya by bullet train.","Brief note fragment"
"formula-one/japanese-grand-prix","Extend · Hakone","Hakone onsen ryokan (2 nts). Gōra Kadan","Hakone (two nights). A traditional onsen ryokan stay at Gōra Kadan.","Brief note fragment"
"formula-one/japanese-grand-prix","Hero basis","Two adults sharing · guide from price","Guide price per person, two adults sharing","Shorthand fragment"
"formula-one/japanese-grand-prix","Circuit section lede","The full ticket ladder follows below.","Each ticket option is set out in the guide below.","Internal jargon (""ticket ladder"")"
"formula-one/japanese-grand-prix","At a glance · Transfers","Local transport on entry tiers; private transfers above","Train and shuttle on the entry package; private transfers on all others","Internal tier shorthand"
"formula-one/japanese-grand-prix","Ticket guide lede","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Four ways to watch the race, from a grandstand seat at the S Curves to a place in a team’s own hospitality suite.","Note about how the copy was written (""named here rather than described generically"")"
"formula-one/japanese-grand-prix","FAQ+LD · tiers answer","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Grandstand Experience gives you a reserved seat in Grandstand B/C at the S Curves. Premium Suzuka moves you to the Main Grandstand opposite the pits, with the start-finish, pit lane and podium in view. Hospitality Experience adds Suzuka’s own all-inclusive premium suites.","Internal jargon (""ladders"", ""product"") and template text (""such as Turn 1"") that did not match this race"
"formula-one/japanese-grand-prix","JSON-LD FAQ · tiers answer","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Grandstand Experience gives you a reserved seat in Grandstand B/C at the S Curves. Premium Suzuka moves you to the Main Grandstand opposite the pits, with the start-finish, pit lane and podium in view. Hospitality Experience adds Suzuka’s own all-inclusive premium suites.","Internal jargon (""ladders"", ""product"") and template text (""such as Turn 1"") that did not match this race"
"formula-one/mexico-city-grand-prix","Hero meta","Format: Standard weekend — coincides with Día de Muertos","Standard race weekend · coincides with Día de Muertos","Internal field label (""Format:"") in customer copy"
"formula-one/mexico-city-grand-prix","Vedere Says band quote","Entry: Metro Line 9 to Ciudad Deportiva or race-day rideshare drop zones.","The loudest crowd in Formula One, and a city at its most atmospheric for Día de Muertos.","Band quote was an internal transport note (""Entry: …""); replaced with a line drawn from the page intro"
"formula-one/mexico-city-grand-prix","Packages lede","Guide “from” prices per person, two adults sharing, including flights and hotel. 4 nights. All prices are in GBP","Guide prices are per person, two adults sharing, and include return flights and four nights’ accommodation. All prices are in pounds sterling","Shorthand fragment (""4 nights."")"
"formula-one/mexico-city-grand-prix","Package Grandstand Experience · hotel","5* Mexico City hotel, Paseo de la Reforma","Sofitel Mexico City Reforma · 5★","Placeholder-style hotel line; named the hotel the page itself assigns to this package (Sofitel card: ""Grandstand Experience"")"
"formula-one/mexico-city-grand-prix","Package Premium Mexico City · hotel","Luxury 5* Mexico City, Paseo de la Reforma","Four Seasons Hotel Mexico City · 5★","Placeholder-style hotel line; named the hotel the page itself assigns to this package (Four Seasons card: ""Premium Mexico City"")"
"formula-one/mexico-city-grand-prix","Package Hospitality Experience · hotel","Hand-picked Mexico City hotel on Paseo de la Reforma, room category as listed","Four Seasons Hotel Mexico City · 5★","Placeholder-style hotel line; named the hotel the page itself assigns to this package (Four Seasons card: ""Hospitality Experience"")"
"formula-one/mexico-city-grand-prix","Grandstand Experience card + ticket guide (x2)","Foro Sol (Estadio GNP) stadium section — the baseball-stadium amphitheatre where the noise is unlike anywhere else in F1; the podium ceremony happens inside it.","The Foro Sol (Estadio GNP) stadium section: a baseball-stadium amphitheatre where the noise is unlike anywhere else in Formula One, and where the podium ceremony takes place.","Shorthand fragment"
"formula-one/mexico-city-grand-prix","Premium card + ticket guide (x2)","Main Grandstand — start/finish straight directly opposite the pits.","The Main Grandstand on the start-finish straight, directly opposite the pits.","Shorthand fragment"
"formula-one/mexico-city-grand-prix","Luxury Race Weekend card + ticket guide (x2)","Official Team Hospitality — preferred team's own suite; note Checo-era demand has normalised but Mexico remains a hot ticket.","Official Team Hospitality in your preferred team’s own suite. Demand in Mexico City remains high, so places are limited.","Staff note (""note Checo-era demand has normalised…"") in customer copy"
"formula-one/mexico-city-grand-prix","FAQ+LD · circuit access (also circuit section body) (x2)","Entry: Metro Line 9 to Ciudad Deportiva or race-day rideshare drop zones. Premium: private transfers with security-vetted drivers, hotel to circuit ~30–45 min in race traffic.","On the Grandstand Experience, Metro Line 9 takes you to Ciudad Deportiva beside the circuit, or you can use the race-day rideshare drop zones. Premium packages and above include private transfers with security-vetted drivers; allow around 30–45 minutes from hotel to circuit in race traffic.","Internal shorthand (""Entry:"", ""Premium:"", ""~"")"
"formula-one/mexico-city-grand-prix","JSON-LD FAQ · circuit access (also circuit section body)","Entry: Metro Line 9 to Ciudad Deportiva or race-day rideshare drop zones. Premium: private transfers with security-vetted drivers, hotel to circuit ~30–45 min in race traffic.","On the Grandstand Experience, Metro Line 9 takes you to Ciudad Deportiva beside the circuit, or you can use the race-day rideshare drop zones. Premium packages and above include private transfers with security-vetted drivers; allow around 30–45 minutes from hotel to circuit in race traffic.","Internal shorthand (""Entry:"", ""Premium:"", ""~"")"
"formula-one/mexico-city-grand-prix","At a glance · Flights","LHR–MEX direct (BA daily, ~11h30).","Direct daily from Heathrow with British Airways, around 11 hrs 30 mins","Airport-code shorthand"
"formula-one/mexico-city-grand-prix","FAQ+LD · flights answer","LHR–MEX direct (BA daily, ~11h30). Regionals via Amsterdam (KLM from MAN/regional) or US hubs.","British Airways flies direct from London Heathrow to Mexico City daily, in around 11 hours 30 minutes. From Manchester and other UK regional airports, KLM connects via Amsterdam, or you can connect through a US hub.","Airport-code shorthand / note fragment (""Regionals via…"")"
"formula-one/mexico-city-grand-prix","JSON-LD FAQ · flights answer","LHR–MEX direct (BA daily, ~11h30). Regionals via Amsterdam (KLM from MAN/regional) or US hubs.","British Airways flies direct from London Heathrow to Mexico City daily, in around 11 hours 30 minutes. From Manchester and other UK regional airports, KLM connects via Amsterdam, or you can connect through a US hub.","Airport-code shorthand / note fragment (""Regionals via…"")"
"formula-one/mexico-city-grand-prix","Hotel · Sofitel · facilities","Balcón del Zócalo’s sibling dining","an outpost of Balcón del Zócalo","Note-style phrasing (""sibling dining"")"
"formula-one/mexico-city-grand-prix","Hotel · Sofitel · why","The knockout rooftop is the reason. At 2,240 metres the light over Reforma at dusk is genuinely different, and this is the best seat in the city to watch it from — for an entry-tier rate.","The rooftop is the reason to stay. At 2,240 metres the light over Reforma at dusk is genuinely different, and there are few better places in the city to watch it — at an entry-level rate.","Internal tier language (""entry-tier rate"") and overstatement"
"formula-one/mexico-city-grand-prix","Hotel · Sofitel · best suited","First-time visitors on the grandstand tier who want","First-time visitors who want","Internal tier language"
"formula-one/mexico-city-grand-prix","Hotel · St. Regis · why","and the tightest operation in the city for clients who arrive late","and the most polished service in the city for guests who arrive late","Internal language (""tightest operation"", ""clients"")"
"formula-one/mexico-city-grand-prix","Hotel · St. Regis · best suited","Clients on team hospitality and anyone","Guests on the Luxury Race Weekend and anyone","Internal language (""clients"")"
"formula-one/mexico-city-grand-prix","Hotel · Ritz-Carlton · why","The modern statement address in the city.","The city’s most striking modern address.","Sales jargon (""statement address"")"
"formula-one/mexico-city-grand-prix","Hotel · Ritz-Carlton · best suited","and clients for whom the outlook is the point.","and anyone for whom the view is the point.","Internal language (""clients"")"
"formula-one/mexico-city-grand-prix","Things to do · Día de Muertos card body","ofrendas, painted faces, the parade; time the trip to catch it","Ofrendas in every neighbourhood, painted faces and the great parade through the city. The race weekend runs straight into the celebrations, so it is well worth staying on.","Brief note fragment"
"formula-one/mexico-city-grand-prix","Things to do · Pujol card body","book at booking, not on arrival","Two of the most sought-after tables in Mexico City. Reservations go quickly, so we secure them when you book your trip rather than on arrival.","Staff instruction (""book at booking, not on arrival"")"
"formula-one/mexico-city-grand-prix","Things to do · Lucha libre card body","Friday night institution","Masked wrestlers, a roaring crowd and pure theatre — Friday night at Arena México is a city institution.","Brief note fragment"
"formula-one/mexico-city-grand-prix","Things to do · Teotihuacán card (body added; heading kept)","Teotihuacán pyramids at sunrise; Frida Kahlo's Casa Azul (pre-book)","Teotihuacán pyramids at sunrise; Frida Kahlo's Casa Azul (pre-book) Reach the Pyramid of the Sun at first light, then spend an afternoon at Frida Kahlo’s house in Coyoacán. Both need booking ahead, and we arrange the tickets for you.","Card had only a note-style heading and no body; heading left unchanged (no-image card rule) but it contains a writer note ""(pre-book)"" — see report"
"formula-one/mexico-city-grand-prix","Climate · race slot value","Race slot Altitude makes it mild","Race slot 30 October – 1 November 2026","Value did not match its label (a note fragment in place of the dates); dates taken from the hero"
"formula-one/mexico-city-grand-prix","Climate · temperature note","22°C days, 10°C evenings, thin air — pace the tequila. Layers essential.","Days around 22°C, evenings nearer 10°C. The altitude keeps it mild but the air is thin, so pace yourself. Layers are essential.","Shorthand fragment"
"formula-one/mexico-city-grand-prix","FAQ+LD · packing answer","Altitude makes it mild: 22°C days, 10°C evenings, thin air — pace the tequila. Layers essential.","The altitude keeps it mild: expect around 22°C by day and 10°C in the evening. The air is thin, so pace yourself (and the tequila), and pack layers.","Shorthand fragment"
"formula-one/mexico-city-grand-prix","JSON-LD FAQ · packing answer","Altitude makes it mild: 22°C days, 10°C evenings, thin air — pace the tequila. Layers essential.","The altitude keeps it mild: expect around 22°C by day and 10°C in the evening. The air is thin, so pace yourself (and the tequila), and pack layers.","Shorthand fragment"
"formula-one/mexico-city-grand-prix","Extend · Riviera Maya","Riviera Maya (4 nts). Rosewood Mayakoba or Banyan Tree — direct 2h hop to Cancún","Riviera Maya (four nights). Rosewood Mayakoba or Banyan Tree Mayakoba, a direct two-hour flight to Cancún.","Brief note fragment"
"formula-one/mexico-city-grand-prix","Extend · Oaxaca","Oaxaca (3 nts) for the full Día de Muertos immersion. the connoisseur's add-on","Oaxaca (three nights). For the fullest experience of Día de Muertos, Oaxaca is the connoisseur’s choice.","Brief note fragment (""the connoisseur's add-on"")"
"formula-one/mexico-city-grand-prix","Hero basis","Two adults sharing · guide from price","Guide price per person, two adults sharing","Shorthand fragment"
