page,location,before,after,reason
"formula-one/azerbaijan-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/azerbaijan-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/italian-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
"formula-one/italian-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/italian-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/malaysian-grand-prix","Circuit section lede (#tickets area)","The full ticket ladder follows below.","The full choice of seats and hospitality follows below.","Internal jargon (""ticket ladder"")"
"formula-one/malaysian-grand-prix","Grandstands section lede (section.dark p.lede)","The ladder is the same at every race we sell. What changes is the grandstand names and the circuit’s own hospitality product — both are named here rather than described generically.","Our four packages follow the same pattern at every race. What changes from circuit to circuit is where you sit and whose hospitality you enjoy, so each is named below.","Internal/process language (""the ladder"", ""every race we sell"", ""hospitality product"")"
"formula-one/malaysian-grand-prix","FAQ ""difference between the package tiers"" (HTML + JSON-LD FAQPage)","Every Formula One package ladders the same way. Grandstand Experience puts you in a named entry grandstand such as Turn 1. Premium moves you to the main grandstand opposite the pits, with start-finish, pit lane and podium in view. Hospitality Experience adds the circuit’s own named hospitality product.","Our Formula One packages follow the same four steps at every race. Grandstand Experience puts you in a named grandstand at a key corner, such as Turn 1. Premium moves you to the main grandstand opposite the pits, with the start-finish straight, pit lane and podium in view. Hospitality Experience adds the circuit’s own hospitality lounge or suite.","Internal jargon (""ladders"", ""hospitality product"")"
"formula-one/abu-dhabi-grand-prix","Hero subtitle (p.hero-sub)","Yas Marina, Abu Dhabi · 3–6 December 2026 (Thursday access; race Sun 6 Dec; subject to final confirmation) · Yas Marina Circuit","Yas Island, Abu Dhabi · 3–6 December 2026, race Sunday 6 December · Yas Marina Circuit","Parenthetical internal note (""subject to final confirmation"") and shorthand"
"formula-one/abu-dhabi-grand-prix","Vedere Says band quote (p.band-q)","Yas Island hotels walk or shuttle to the gates; Etihad Live is 10 min on foot from the circuit for concerts.","Stay on Yas Island and you can walk or take the shuttle to the gates, with the after-race concerts at Etihad Live ten minutes away on foot.","Brief shorthand, not customer copy"
"formula-one/abu-dhabi-grand-prix","Packages lede (#packages p.lede)","4 nights (5 with Bocelli on the Wed). All prices are in GBP and are reconfirmed at the time of booking; the trip length is the nights shown, not the race-weekend dates.","Packages are four nights, or five if you arrive for Andrea Bocelli on the Wednesday. All prices are in GBP and are reconfirmed at the time of booking; your stay is the number of nights shown, not just the race-weekend dates.","Shorthand fragment (""5 with Bocelli on the Wed"") and robotic phrasing"
"formula-one/abu-dhabi-grand-prix","Hospitality Experience card (p.pk-who) + Circuit hospitality combo card","Luna Lounge — rooftop premium hospitality with CÉ LA VI catering and full concert/fanzone access; North Yas Suite and North Straight Grandstand Club sit beneath it in the ladder. Golden Circle concert upgrades bolt onto any tier.","Luna Lounge — rooftop hospitality with CÉ LA VI catering and full access to the concerts and fan zone. North Yas Suite and the North Straight Grandstand Club are also available, and Golden Circle concert upgrades can be added to any package.","Internal jargon (""in the ladder"", ""bolt onto any tier"")"
"formula-one/abu-dhabi-grand-prix","What is included list","on Yas Island at entry level","on Yas Island for the Grandstand Experience","Internal jargon (""entry level"")"
"formula-one/abu-dhabi-grand-prix","Race weekend body (The Race Weekend)","The finale. Twilight race, superyachts in the marina, and the biggest entertainment slate of the year: Imagine Dragons headline Saturday, Lewis Capaldi and Zara Larsson open Thursday, Andrea Bocelli plays Etihad Arena on the Wednesday — every race ticket includes the After-Race Concerts at Etihad Live. This is Vedere's flagship event; our Abu Dhabi destination page carries the full hotel product.","The season finale is a twilight race among the superyachts of Yas Marina, with the biggest entertainment line-up of the year: Imagine Dragons headline Saturday, Lewis Capaldi and Zara Larsson open Thursday, and Andrea Bocelli plays Etihad Arena on the Wednesday — every race ticket includes the After-Race Concerts at Etihad Live. It is Vedere's flagship race of the year; if you would like to stay longer, our Abu Dhabi destination page covers the city's hotels in full.","Fragments and internal note (""carries the full hotel product"")"
"formula-one/abu-dhabi-grand-prix","Circuit section body + FAQ ""How do I get to Yas Marina Circuit"" (HTML + JSON-LD)","Yas Island hotels walk or shuttle to the gates; Etihad Live is 10 min on foot from the circuit for concerts. Saadiyat/Corniche hotels: private transfers on premium tiers (~20–30 min).","From Yas Island hotels you can walk or take the shuttle to the gates, and Etihad Live, home of the after-race concerts, is ten minutes from the circuit on foot. From Saadiyat Island and the Corniche, premium packages include private transfers of around 20–30 minutes.","Brief shorthand, not customer copy"
"formula-one/abu-dhabi-grand-prix","At a glance — Flights","LHR–AUH direct (Etihad, ~7h) and MAN–AUH direct (Etihad).","Direct with Etihad from London Heathrow (around 7 hours) and Manchester","Airport-code shorthand"
"formula-one/abu-dhabi-grand-prix","At a glance — Transfers","Local transport on entry tiers; private transfers above","Walk or shuttle from Yas Island on Grandstand Experience; private transfers on the other packages","Internal shorthand (""entry tiers"", ""above"")"
"formula-one/abu-dhabi-grand-prix","FAQ ""Which flights work for Abu Dhabi?"" (HTML + JSON-LD)","LHR–AUH direct (Etihad, ~7h) and MAN–AUH direct (Etihad). Emirates to DXB from LHR, MAN, BHX, GLA, NCL with a 60–75 min transfer — national regional coverage.","Etihad flies direct to Abu Dhabi from London Heathrow (around 7 hours) and Manchester. From elsewhere in the UK, Emirates flies to Dubai from Heathrow, Manchester, Birmingham, Glasgow and Newcastle, followed by a 60–75 minute transfer to Abu Dhabi.","Airport-code shorthand and brief note (""national regional coverage"")"
"formula-one/abu-dhabi-grand-prix","FAQ ""What should I pack?"" (HTML + JSON-LD)","Early December Abu Dhabi: 27°C days, perfect evenings — the payoff race for UK guests. Light layers for the night sessions.","Expect days of around 27°C and warm, comfortable evenings in early December — a welcome escape from the UK winter. Bring a light layer for the evening sessions.","Shorthand fragments and internal framing (""the payoff race"")"
"formula-one/abu-dhabi-grand-prix","Climate card note (p.cl-n)","27°C days, perfect evenings — the payoff race for UK guests. Light layers for the night sessions.","Days of around 27°C and warm, comfortable evenings — a welcome escape from the UK winter. Bring a light layer for the evening sessions.","Shorthand fragments and internal framing (""the payoff race"")"
"formula-one/abu-dhabi-grand-prix","Emirates Palace card — Why we selected it","The most famous address in the city and the standard every other Gulf hotel is measured against — the fitting base for the season finale.","The most famous address in the city, and a fitting base for the season finale.","Hype / superlative"
"formula-one/abu-dhabi-grand-prix","Emirates Palace card — Best suited to","Guests who want the single best hotel in Abu Dhabi, whatever the occasion.","Guests who want Abu Dhabi's grandest hotel, whatever the occasion.","Hype / superlative"
"formula-one/abu-dhabi-grand-prix","Beyond the race — After-Race Concerts card (p.au-b)","Imagine Dragons (Sat), Capaldi + Zara Larsson (Thu), more TBA; Golden Circle upgrade for front-of-stage","Imagine Dragons headline Saturday and Lewis Capaldi and Zara Larsson play Thursday, with more acts to follow. A Golden Circle upgrade puts you in front of the stage.","Brief shorthand with ""TBA"""
"formula-one/abu-dhabi-grand-prix","Beyond the race — Andrea Bocelli card (p.au-b)","worth arriving a night early for","Worth arriving a night early for: Andrea Bocelli opens race week at Etihad Arena on the Wednesday evening.","Shorthand fragment"
"formula-one/abu-dhabi-grand-prix","Beyond the race — Ferrari World card (p.au-b)","Yas Waterworld and Louvre Abu Dhabi (many tickets include attraction entry)","Ferrari World sits beside the circuit, with Yas Waterworld next door and the Louvre Abu Dhabi on Saadiyat. Many race tickets include attraction entry.","Shorthand fragment with parenthetical note"
"formula-one/abu-dhabi-grand-prix","Beyond the race — Grand Mosque card (h3.au-t, card has an image; body added)","Sheikh Zayed Grand Mosque at dusk; Qasr Al Watan","Sheikh Zayed Grand Mosque and Qasr Al Watan Visit the Grand Mosque at dusk, then see Qasr Al Watan, the presidential palace that opens its halls to visitors.","Shorthand note used as heading (card already has its photograph)"
"formula-one/abu-dhabi-grand-prix","Extend your trip — Maldives","Maldives (4–5 nts). Conrad Rangali or Waldorf Astoria Ithaafushi; direct from AUH/DXB. THE flagship finale pairing","Maldives (4–5 nights). Conrad Maldives Rangali Island or Waldorf Astoria Maldives Ithaafushi, with direct flights from Abu Dhabi or Dubai — our favourite way to follow the season finale.","Brief shorthand (""nts"", airport codes, ""THE flagship finale pairing"")"
"formula-one/abu-dhabi-grand-prix","Extend your trip — Mauritius","Mauritius (5 nts). One&Only Le Saint Géran; direct Emirates via DXB","Mauritius (5 nights). One&Only Le Saint Géran, reached with Emirates via Dubai.","Brief shorthand (""nts"", ""direct … via DXB"")"
"formula-one/abu-dhabi-grand-prix","Extend your trip — Dubai","Dubai city add-on (2–3 nts) for shopping and Burj views","Dubai (2–3 nights). A city stay for shopping and the Burj Khalifa skyline.","Brief shorthand (""add-on"", ""nts"")"
"formula-one/australian-grand-prix","Band quote + circuit body + FAQ ""How do I get to Albert Park"" (HTML + JSON-LD)","Trams run straight to Albert Park — the local way; premium tiers private transfers to the closest gate with walk-in escort.","Trams run straight to Albert Park, just as the locals travel. Premium packages include private transfers to the closest gate, with an escort to walk you in.","Brief shorthand, not customer copy"
"formula-one/australian-grand-prix","Packages lede (#packages p.lede)","5 nights (ultra-long-haul exception).","Five nights, to allow for the long journey.","Internal note (""ultra-long-haul exception"")"
"formula-one/australian-grand-prix","Hospitality Experience card (p.pk-who) + Circuit hospitality combo card","Australian GP corporate suites above the pit straight — all-inclusive; product naming changes year to year, confirm at contracting.","Australian Grand Prix corporate suites above the pit straight, all-inclusive. The names of the hospitality packages change from year to year, and we confirm the exact one with your quotation.","Internal note to staff (""confirm at contracting"")"
"formula-one/australian-grand-prix","Luxury Race Weekend card (p.pk-who) + Official Team Hospitality combo card","Official Team Hospitality — preferred team's suite; McLaren/Ferrari demand spikes with Piastri-era crowds.","Official Team Hospitality — your preferred team's own suite. McLaren and Ferrari are in especially high demand in Melbourne, so book early for either.","Internal sales note / shorthand"
"formula-one/australian-grand-prix","At a glance — Flights + FAQ ""Which flights work for Melbourne?"" (HTML + JSON-LD)","No nonstop LHR–MEL: Qantas via Perth (LHR–PER nonstop then domestic), or one-stop EK/QR/SQ from LHR and MAN/BHX/regional via their hubs — QR from MAN/EDI is the strong regional play.","There is no nonstop flight from London to Melbourne. Qantas flies nonstop from Heathrow to Perth and connects on to Melbourne, or you can fly one-stop with Emirates, Qatar Airways or Singapore Airlines from Heathrow, Manchester, Birmingham and other UK airports. Outside London, Qatar Airways from Manchester or Edinburgh is the best option.","Airline/airport-code shorthand and sales jargon (""the strong regional play"")"
"formula-one/australian-grand-prix","At a glance — Transfers","Local transport on entry tiers; private transfers above","Tram on Grandstand Experience; private transfers on the other packages","Internal shorthand (""entry tiers"", ""above"")"
"formula-one/australian-grand-prix","W Melbourne card — Why we selected it","The best-located entry-lux base for race week","The best-located of our Melbourne hotels for race week","Internal jargon (""entry-lux"")"
"formula-one/australian-grand-prix","Ritz-Carlton Melbourne card — Why we selected it","Melbourne's most talked-about opening in years — the views alone justify the tier, and the service matches the address.","One of Melbourne's most talked-about hotel openings in years; the views alone make the case, and the service matches them.","Internal jargon (""justify the tier"")"
"formula-one/australian-grand-prix","Beyond the race — MCG tour card (p.au-b)","or an AFL/cricket fixture if scheduling allows","Tour the Melbourne Cricket Ground, or catch an AFL or cricket fixture if the calendar allows.","Shorthand fragment"
"formula-one/australian-grand-prix","Beyond the race — Great Ocean Road card (p.au-b)","Twelve Apostles by helicopter, on request","See the Twelve Apostles from the air, with helicopter flights arranged on request.","Shorthand fragment"
"formula-one/australian-grand-prix","Climate card note + FAQ ""What should I pack?"" (HTML + JSON-LD)","Melbourne is famously four seasons in a day — layers, always. Temperature guidance is being reconfirmed for the April slot.","Melbourne is famous for having four seasons in a day, so pack layers whatever the forecast.","Internal note (""guidance is being reconfirmed"")"
"formula-one/australian-grand-prix","Extend your trip — qualia","qualia, Hamilton Island (4 nts). Whitehaven Beach heli picnic; the honeymoon-grade add-on","qualia, Hamilton Island (4 nights). Fly by helicopter to a picnic on Whitehaven Beach — a perfect honeymoon extension.","Brief shorthand (""nts"", ""heli"", ""honeymoon-grade add-on"")"
"formula-one/australian-grand-prix","Extend your trip — Sydney","Sydney (3 nts). Capella or Park Hyatt opposite the Opera House","Sydney (3 nights). Stay at Capella Sydney, or at Park Hyatt Sydney opposite the Opera House.","Brief shorthand"
"formula-one/australian-grand-prix","Extend your trip — New Zealand","New Zealand South Island (5 nts) for the adventurous","New Zealand’s South Island (5 nights). For the adventurous, a week of mountains, lakes and fjords.","Brief shorthand (""nts"")"
"formula-one/austrian-grand-prix","Band quote + circuit body + FAQ ""How do I get to Red Bull Ring"" (HTML + JSON-LD)","Graz–Spielberg ~1h: coach shuttle programme entry tier, private transfers premium (drivers briefed on the P-route into the Ring; race-day queues from 7am).","Spielberg is about an hour from Graz. Grandstand Experience guests travel on our coach shuttle; premium packages have private transfers, with drivers who know the best route into the Ring, as race-day queues start from 7am.","Brief shorthand, not customer copy"
"formula-one/austrian-grand-prix","Circuit body + FAQ (HTML + JSON-LD)"," Steirerschlössl guests stroll comparative victory laps."," Guests at Hotel Steirerschlössl are only minutes from the gates.","Garbled/robotic phrasing"
"formula-one/austrian-grand-prix","Packages lede (#packages p.lede)","3 nights, Graz base.","Three nights, based in Graz.","Shorthand fragment"
"formula-one/austrian-grand-prix","Grandstand Experience card (p.pk-who) + Entry grandstand combo card","where the uphill braking duels happen; the atmosphere seat.","where the uphill braking duels happen, and the best seat for atmosphere.","Shorthand fragment"
"formula-one/austrian-grand-prix","Luxury Race Weekend card (p.pk-who) + Official Team Hospitality combo card","Official Team Hospitality — preferred team's suite; the home-team option needs no explanation here.","Official Team Hospitality — your preferred team's own suite, and at Red Bull's home race the Red Bull suite is the obvious choice.","Shorthand / writer's aside"
"formula-one/austrian-grand-prix","At a glance — Flights + FAQ ""Which flights work for Spielberg?"" (HTML + JSON-LD)","No direct London–Graz: LHR–Vienna direct (BA/AUA) + 2h drive/rail, or one-stop to Graz via Frankfurt/Amsterdam from LHR and MAN.","There are no direct London–Graz flights: fly direct from Heathrow to Vienna with BA or Austrian Airlines, then around two hours by road or rail, or fly one-stop to Graz via Frankfurt or Amsterdam from Heathrow or Manchester.","Airport-code shorthand"
"formula-one/austrian-grand-prix","FAQ ""Which flights work for Spielberg?"" (HTML + JSON-LD)"," Ryanair STN–GRZ seasonal — verify at sale."," Ryanair's seasonal Stansted–Graz service is another option when it operates.","Note to staff (""verify at sale"")"
"formula-one/austrian-grand-prix","At a glance — Transfers","Local transport on entry tiers; private transfers above","Coach shuttle from Graz on Grandstand Experience; private transfers on the other packages","Internal shorthand (""entry tiers"", ""above"")"
"formula-one/austrian-grand-prix","Kai 36 card — Why we selected it","the one we default to for guests","the one we recommend first for guests","Internal phrasing (""default to"")"
"formula-one/austrian-grand-prix","Hotel Steirerschlössl card — Facilities","Restaurant, gardens, a handful of rooms only — contract a year out","Restaurant, gardens and only a handful of rooms — best booked a year ahead","Note to staff (""contract a year out"")"
"formula-one/austrian-grand-prix","Falkensteiner / G'Schlössl Murtal card — location line (p.ht-pos)","Near-circuit inventory in the Murtal valley, a short drive from the Red Bull Ring — our alternative base when the Zeltweg rooms have gone.","In the Murtal valley, a short drive from the Red Bull Ring — our alternative base when the rooms at Zeltweg have gone.","Internal jargon (""inventory"")"
"formula-one/austrian-grand-prix","Falkensteiner / G'Schlössl Murtal card — Why we selected it","Backup near-circuit inventory, and on this weekend that is worth holding.","Rooms close to the circuit are scarce on this weekend, and these are worth securing early.","Internal jargon (""backup inventory"", ""worth holding"")"
"formula-one/austrian-grand-prix","Beyond the race — Graz old town card (p.au-b)","UNESCO core, Schlossberg clock tower, Kunsthaus","Explore the UNESCO-listed old town, the Schlossberg clock tower and the Kunsthaus.","Shorthand list"
"formula-one/austrian-grand-prix","Beyond the race — Styrian wine roads card (p.au-b)","Sauvignon country, buschenschank taverns","Sauvignon Blanc country, with traditional buschenschank wine taverns along the way.","Shorthand list"
"formula-one/austrian-grand-prix","Beyond the race — Alpine day card (p.au-b)","Grüner See or the Erzberg mine oddity","Head for the Grüner See, or the vast terraced Erzberg iron-ore mine.","Shorthand fragment"
"formula-one/austrian-grand-prix","FAQ ""What should I pack?"" (HTML + JSON-LD)","Alpine summer: 18–28°C and capable of all of it in one afternoon; mountain storms roll fast. Layers + shell.","Alpine summer weather ranges from 18 to 28°C, sometimes within a single afternoon, and mountain storms arrive quickly. Pack layers and a waterproof.","Shorthand (""Layers + shell"")"
"formula-one/austrian-grand-prix","Climate card note (p.cl-n)","18–28°C and capable of all of it in one afternoon; mountain storms roll fast. Layers + shell.","Anywhere from 18 to 28°C, sometimes within a single afternoon, and mountain storms arrive quickly. Pack layers and a waterproof.","Shorthand (""Layers + shell"")"
"formula-one/austrian-grand-prix","Extend your trip — Vienna","Vienna (2–3 nts). Rosewood/Sacher — 2h30 rail","Vienna (2–3 nights). Stay at Rosewood Vienna or Hotel Sacher, around two and a half hours away by rail.","Brief shorthand"
"formula-one/austrian-grand-prix","Extend your trip — Salzburg","Salzburg & lakes (2–3 nts). Schloss Fuschl reopened glory","Salzburg & the lakes (2–3 nights). Schloss Fuschl, beautifully reopened on the shore of the Fuschlsee.","Brief shorthand fragment"
"formula-one/azerbaijan-grand-prix","Hero format line (p.hero-meta)","Format: SATURDAY race — unique schedule","Format: Saturday race, leaving Sunday free to explore","Shouty shorthand"
"formula-one/azerbaijan-grand-prix","Circuit body + FAQ ""How do I get to Baku City Circuit"" (HTML + JSON-LD)"," Airport transfers private on all tiers (~25 min); road closures make local knowledge valuable — brief drivers on gate access."," Private airport transfers of around 25 minutes are included on every package, and our drivers are briefed on road closures and gate access.","Note to staff (""brief drivers on gate access"")"
"formula-one/azerbaijan-grand-prix","Packages lede (#packages p.lede)","All prices are in GBP and are reconfirmed at the time of booking; the trip length is the nights shown, not the race-weekend dates.","All prices are in GBP and are reconfirmed at the time of booking; your stay is the number of nights shown, not just the race-weekend dates.","Robotic phrasing"
"formula-one/azerbaijan-grand-prix","Premium Baku card — hotel row","Entry 5* Baku","5* Baku hotel","Internal jargon (""Entry 5*"")"
"formula-one/azerbaijan-grand-prix","Grandstand Experience card (p.pk-who) + Entry grandstand combo card","with cars visible in BOTH directions","with cars visible in both directions","Shouty capitals"
"formula-one/azerbaijan-grand-prix","Hospitality Experience card (p.pk-who) + Circuit hospitality combo card","with grandstand seating; note ALL race tickets already include Crystal Hall concert entry, included at every tier.","with grandstand seating. As with every race ticket in Baku, Crystal Hall concert entry is included.","Note to staff (""note ALL…"") and repetition"
"formula-one/azerbaijan-grand-prix","Luxury Race Weekend card (p.pk-who) + Official Team Hospitality combo card","Official Team Hospitality — preferred team's suite; sharpest 'from' price of the season for this tier, which makes Baku the smart first taste of team-level access.","Official Team Hospitality — your preferred team's own suite. Baku has the lowest team hospitality prices of the season, which makes it an ideal first taste of team-level access.","Internal sales shorthand"
"formula-one/azerbaijan-grand-prix","At a glance — Flights + FAQ (HTML + JSON-LD)","LHR–GYD direct with Azerbaijan Airlines (~5h45); BA seasonal direct.","Direct from Heathrow to Baku with Azerbaijan Airlines (around 5 hours 45 minutes), and seasonal direct flights with BA.","Airport-code shorthand"
"formula-one/azerbaijan-grand-prix","FAQ ""Which flights work for Baku?"" (HTML + JSON-LD)"," Regionals connect via Istanbul (Turkish from MAN/BHX/EDI) or Dubai. E-visa required — 3 working days, flag at booking."," From elsewhere in the UK, connect via Istanbul with Turkish Airlines (from Manchester, Birmingham and Edinburgh) or via Dubai. UK visitors need an e-visa, which takes around three working days; we will guide you through it when you book.","Airport-code shorthand and note to staff (""flag at booking"")"
"formula-one/azerbaijan-grand-prix","At a glance — Transfers","Local transport on entry tiers; private transfers above","Walk to the circuit on Grandstand Experience; private transfers on the other packages","Internal shorthand (""entry tiers"", ""above"")"
"formula-one/azerbaijan-grand-prix","Four Seasons Hotel Baku card — Why we selected it","where the architecture and the location both operate at the very top of the market","where both the architecture and the location are in a class of their own","Sales jargon (""top of the market"")"
"formula-one/azerbaijan-grand-prix","Courtyard Baku card — Why we selected it","The contrast option. A high four-star on the circuit itself for guests who want the same walk to the gates at a sharper price point than the five-stars either side of it.","A high-quality four-star on the circuit itself, for guests who want the same walk to the gates at a lower price than the five-star hotels on either side.","Internal jargon (""the contrast option"", ""price point"")"
"formula-one/azerbaijan-grand-prix","Beyond the race — Crystal Hall card (p.au-b)","included with race tickets; headline acts announced near the event","Included with every race ticket, with headline acts announced closer to the event.","Shorthand fragment"
"formula-one/azerbaijan-grand-prix","Beyond the race — Icheri Sheher card (p.au-b)","Maiden Tower, Shirvanshahs' Palace, carpet houses","Walk the old city to the Maiden Tower, the Shirvanshahs' Palace and the carpet houses.","Shorthand list"
"formula-one/azerbaijan-grand-prix","Beyond the race — Day trip card (p.au-b)","Gobustan rock art and the mud volcanoes — otherworldly","See the ancient rock art at Gobustan and the otherworldly mud volcanoes nearby.","Shorthand fragment"
"formula-one/azerbaijan-grand-prix","FAQ ""What should I pack?"" (HTML + JSON-LD)","Late September Baku: 20–25°C, famous wind ('city of winds'), evenings cool on the water. Layers and a windproof.","In late September Baku sees 20–25°C, with the famous wind that earns it the name 'city of winds', and cool evenings by the water. Pack layers and a windproof jacket.","Shorthand fragments"
"formula-one/azerbaijan-grand-prix","Climate card note (p.cl-n)","20–25°C, famous wind ('city of winds'), evenings cool on the water. Layers and a windproof.","20–25°C, with the famous wind that earns Baku the name 'city of winds', and cool evenings by the water. Pack layers and a windproof jacket.","Shorthand fragments"
"formula-one/azerbaijan-grand-prix","Extend your trip — Dubai","Dubai stopover (3 nts) on the return. natural flight geometry via EK/flydubai","Dubai stopover (3 nights) on the way home. An easy break in the journey with Emirates or flydubai.","Brief shorthand (""nts"", ""flight geometry"", ""EK"")"
"formula-one/azerbaijan-grand-prix","Extend your trip — Istanbul","Istanbul (2–3 nts) with Turkish Airlines routing. two cities, one trip","Istanbul (2–3 nights) with Turkish Airlines. Two great cities in one trip.","Brief shorthand (""nts"", ""routing"")"
"formula-one/italian-grand-prix","Band quote + circuit body + FAQ ""How do I get to Monza"" (HTML + JSON-LD)","Entry: train Milano Centrale–Monza (~15 min) then shuttle/45-min walk through the Parco di Monza.","On the Grandstand package, take the train from Milano Centrale to Monza (around 15 minutes), then the shuttle or a 45-minute walk through the Parco di Monza.","Brief shorthand, not customer copy"
"formula-one/italian-grand-prix","Circuit body + FAQ (HTML + JSON-LD)"," Premium: private transfer to the circuit gates with driver on standby — worth every penny on Sunday night."," Premium packages include a private transfer to the circuit gates, with your driver on standby — invaluable on Sunday night.","Shorthand (""Premium:"")"
